lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.494933269170105	0.684604484364277
Belong	=~	sbmyself	1	1	.p2.	0.966604517420068	0.0311905679185659	30.9902827016082	0	0.905472127642329	1.02773690719781	0.478404733801306	0.705350219248458
Belong	=~	sbcommunity	1	1	.p3.	1.13273633619736	0.0363337340027498	31.1758856414712	0	1.06152352612811	1.20394914626661	0.560628897981927	0.712702151161223
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.390135877489991	0.638946957416253
Gains	=~	pgthink	1	1	.p5.	0.66628937163754	0.0359386370418084	18.539639409876	0	0.595850937382138	0.736727805892941	0.259943388666066	0.466992493466544
Gains	=~	pgwork	1	1	.p6.	0.765321877445308	0.0387478775579648	19.7513238318777	0	0.689377432954329	0.841266321936287	0.298579522219413	0.500145001974877
Gains	=~	pgvalues	1	1	.p7.	0.754722700121756	0.0406247133861004	18.5779206107576	0	0.675099725002737	0.834345675240775	0.294444402873617	0.517182287993221
Gains	=~	pgprobsolve	1	1	.p8.	0.906029776926162	0.0429277130766839	21.1059409409413	0	0.821893005357193	0.990166548495132	0.353474722053149	0.571009374216371
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.287205064236196	0.554686041620464
SupportEnv	=~	SEwellness	1	1	.p10.	1.26479710184806	0.0561771564975504	22.5144379086401	0	1.15469189835899	1.37490230533712	0.363256132882025	0.615703626657399
SupportEnv	=~	SEnonacad	1	1	.p11.	1.28925221278046	0.0568866263274083	22.6635379176861	0	1.17775647397675	1.40074795158417	0.370279764588269	0.626707177786889
SupportEnv	=~	SEactivities	1	1	.p12.	1.44028092249537	0.0606483445108636	23.7480665649065	0	1.3214123515321	1.55914949345864	0.413655974863449	0.666209659151789
SupportEnv	=~	SEdiverse	1	1	.p13.	1.11810813913983	0.05306394050091	21.0709594610798	0	1.01410472688027	1.22211155139939	0.321126319924667	0.541108173970302
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.47176977528821	0.716033698910215
Satisf	=~	evalexp	1	1	.p15.	1.10893490332887	0.075469138219811	14.693885864961	0	0.961018110473763	1.25685169618397	0.523161970152713	0.749572004323229
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.493342618919795	0.493342618919795
DevAdj	=~	Gains	1	1	.p17.	0.883133773607224	0.0777879765814799	11.3530883874088	0	0.730672141077278	1.03559540613717	0.552720898978281	0.552720898978281
DevAdj	=~	SupportEnv	1	1	.p18.	0.443079032192776	0.0431643291569353	10.2649349786451	0	0.35847850162835	0.527679562757201	0.376690257274934	0.376690257274934
DevAdj	=~	Satisf	1	1	.p19.	0.989034451328596	0.092061228286539	10.743224587991	0	0.808597759514459	1.16947114314273	0.511889933319208	0.511889933319208
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.821783306395202	0.554646514032212
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.906107015903732	0.0433869267413588	20.8843327692989	0	0.821070202090791	0.991143829716673	0.744623619477258	0.510560243592778
EmoDiss	=~	MHWdmental	1	1	.p22.	1.17551758765567	0.0481170119204857	24.4303945888874	0	1.08120997724783	1.2698251980635	0.966020729909384	0.633234948675036
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.03808513881971	0.0468465457760283	22.1592674897048	0	0.946267596298587	1.12990268134083	0.853081037698983	0.564399742491826
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.07762116326735	0.0456252332307769	23.6189732514163	0	0.988197349348786	1.16704497718591	0.885571082591285	0.612019378338282
EmoDiss	=~	MHWdfinancial	1	1	.p25.	1.10149890532072	0.0491627434918022	22.4051553490784	0	1.00514169869561	1.19785611194584	0.905193412405158	0.607486800704462
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	1.08438851194238	0.737064767750343
QualEngag	=~	QIstudent	1	1	.p27.	0.860011670863072	0.0247529923777444	34.7437456344194	0	0.811496697293098	0.908526644433045	0.932586776020289	0.701977021333256
QualEngag	=~	QIadvisor	1	1	.p28.	0.923122120746115	0.0248593918541387	37.1337370665577	0	0.874398608034435	0.971845633457795	1.00102302285698	0.754114681849261
QualEngag	=~	QIfaculty	1	1	.p29.	0.889863084047102	0.0247994210844584	35.8824135860483	0	0.841257111884121	0.938469056210084	0.964957305542298	0.697339981957456
QualEngag	=~	QIstaff	1	1	.p30.	0.873133996554931	0.0246977073158376	35.3528360098035	0	0.824727379715178	0.921540613394684	0.946816475250508	0.702967410877494
sbvalued	~~	sbvalued	1	1		0.27769450314331	0.0181594288024001	15.2920285194547	0	0.242102676710787	0.313286329575833	0.27769450314331	0.531316699988322
sbmyself	~~	sbmyself	1	1		0.231153795555323	0.0157411042765354	14.684725511913	0	0.200301798096424	0.262005793014222	0.231153795555323	0.502481068206153
sbcommunity	~~	sbcommunity	1	1		0.304473176474005	0.0230553156951458	13.206202877461	0	0.259285588059318	0.349660764888692	0.304473176474005	0.492055643730165
pganalyze	~~	pganalyze	1	1		0.220616543346838	0.0154619137458835	14.2683853352612	0	0.190311749272842	0.250921337420835	0.220616543346838	0.591746785608512
pgthink	~~	pgthink	1	1		0.242269626605885	0.0166788956860094	14.5255196247259	0	0.209579591759406	0.274959661452364	0.242269626605885	0.7819180110459
pgwork	~~	pgwork	1	1		0.267242453010819	0.0144404307825942	18.5065429857495	0	0.238939728755691	0.295545177265947	0.267242453010819	0.749854976999551
