lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.684604484364277	0.0205463929689439	33.3199352995469	0	0.64433429413294	0.724874674595615
Belong	=~	sbmyself	1	.p2.	0.705350219248458	0.0207288385940573	34.027483790176	0	0.664722442162761	0.745977996334154
Belong	=~	sbcommunity	1	.p3.	0.712702151161223	0.0212538074145358	33.53291658575	0	0.671045454094383	0.754358848228064
Gains	=~	pganalyze	1		0.638946957416253	0.0240803386769697	26.5339688941891	0	0.591750360873866	0.686143553958641
Gains	=~	pgthink	1	.p5.	0.466992493466544	0.0247259531422947	18.8867337400125	0	0.418530515824222	0.515454471108867
Gains	=~	pgwork	1	.p6.	0.500145001974877	0.0259059882855505	19.30615410082	0	0.449370197951281	0.550919805998472
Gains	=~	pgvalues	1	.p7.	0.517182287993221	0.0234309545681427	22.0726085439299	0	0.471258460916267	0.563106115070175
Gains	=~	pgprobsolve	1	.p8.	0.571009374216371	0.0235535732825445	24.2430041236905	0	0.524845218875359	0.617173529557383
SupportEnv	=~	SEacademic	1		0.554686041620464	0.0228939584495904	24.2284899241785	0	0.50981470759571	0.599557375645217
SupportEnv	=~	SEwellness	1	.p10.	0.615703626657399	0.0243620842565034	25.2730275527652	0	0.567954818926322	0.663452434388475
SupportEnv	=~	SEnonacad	1	.p11.	0.626707177786889	0.0251919382440557	24.8772909696524	0	0.577331886127782	0.676082469445995
SupportEnv	=~	SEactivities	1	.p12.	0.666209659151789	0.0236435867390756	28.1771825275032	0	0.619869080677852	0.712550237625726
SupportEnv	=~	SEdiverse	1	.p13.	0.541108173970302	0.0229099624203902	23.6189027306613	0	0.496205472739171	0.586010875201433
Satisf	=~	sameinst	1		0.716033698910215	0.031232262633856	22.926091116243	0	0.654819588992161	0.777247808828268
Satisf	=~	evalexp	1	.p15.	0.749572004323229	0.0312433951657794	23.9913748280541	0	0.688336075043549	0.81080793360291
DevAdj	=~	Belong	1		0.493342618919795	0.0372352354375801	13.2493487182811	0	0.420362898506268	0.566322339333321
DevAdj	=~	Gains	1	.p17.	0.552720898978281	0.0381084022816697	14.5039116280176	0	0.478029802997844	0.627411994958717
DevAdj	=~	SupportEnv	1	.p18.	0.376690257274934	0.0379108204662798	9.93622012506919	0	0.302386414536662	0.450994100013207
DevAdj	=~	Satisf	1	.p19.	0.511889933319208	0.0414652970386097	12.3450202911261	0	0.430619444515277	0.593160422123138
EmoDiss	=~	MHWdacad	1		0.554646514032212	0.0206812946185673	26.818752126584	0	0.514111921426158	0.595181106638266
EmoDiss	=~	MHWdlonely	1	.p21.	0.510560243592778	0.0211787376637884	24.1072084511316	0	0.469050680533731	0.552069806651825
EmoDiss	=~	MHWdmental	1	.p22.	0.633234948675036	0.0224496062352501	28.2069512506967	0	0.58923452898684	0.677235368363232
EmoDiss	=~	MHWdexhaust	1	.p23.	0.564399742491826	0.021510154465858	26.2387582287087	0	0.522240614436851	0.606558870546801
EmoDiss	=~	MHWdsleep	1	.p24.	0.612019378338282	0.0206550027968108	29.6305638086275	0	0.571536316755959	0.652502439920606
EmoDiss	=~	MHWdfinancial	1	.p25.	0.607486800704462	0.0195887450456252	31.0120326386164	0	0.5690935659127	0.645880035496225
QualEngag	=~	QIadmin	1		0.737064767750343	0.017248748516842	42.7314924923776	0	0.703257841878944	0.770871693621742
QualEngag	=~	QIstudent	1	.p27.	0.701977021333256	0.0175425505719932	40.0156760815594	0	0.667594254015177	0.736359788651335
QualEngag	=~	QIadvisor	1	.p28.	0.754114681849261	0.0157140573818627	47.9898134214315	0	0.723315695329815	0.784913668368708
QualEngag	=~	QIfaculty	1	.p29.	0.697339981957456	0.0181037745295956	38.5190381606588	0	0.661857235895215	0.732822728019697
QualEngag	=~	QIstaff	1	.p30.	0.702967410877494	0.0191747695739014	36.6610617232291	0	0.665385553100793	0.740549268654195
sbvalued	~~	sbvalued	1		0.531316699988322	0.0281323056749306	18.886354574975	0	0.476178394063386	0.586455005913257
sbmyself	~~	sbmyself	1		0.502481068206153	0.0292421816130118	17.1834329892324	0	0.44516744541527	0.559794690997035
sbcommunity	~~	sbcommunity	1		0.492055643730165	0.030295268833491	16.2419962811554	0	0.432678007914564	0.551433279545766
pganalyze	~~	pganalyze	1		0.591746785608512	0.0307721185826863	19.2299657242792	0	0.531434541458452	0.652059029758573
pgthink	~~	pgthink	1		0.7819180110459	0.0230936690019332	33.8585441308804	0	0.736655251531222	0.827180770560578
pgwork	~~	pgwork	1		0.749854976999551	0.0259135014104244	28.9368451265293	0	0.699065447521791	0.80064450647731
pgvalues	~~	pgvalues	1		0.732522480986097	0.0242361496554378	30.224375216372	0	0.685020500537516	0.780024461434678
pgprobsolve	~~	pgprobsolve	1		0.673948294557028	0.0268986224738162	25.0551229979553	0	0.621227963274609	0.726668625839448
SEacademic	~~	SEacademic	1		0.692323395231422	0.0253979188306312	27.2590600768613	0	0.642544389041113	0.74210240142173
SEwellness	~~	SEwellness	1		0.620909044120927	0.0299996477508354	20.6972111565422	0	0.562110814980401	0.679707273261452
SEnonacad	~~	SEnonacad	1		0.607238113310393	0.031575937244813	19.2310400354037	0	0.545350413532463	0.669125813088324
SEactivities	~~	SEactivities	1		0.556164690052857	0.0315031717775259	17.65424427675	0	0.494419607970128	0.617909772135587
SEdiverse	~~	SEdiverse	1		0.707201944062525	0.0247935362556443	28.523641677033	0	0.658607505952074	0.755796382172976
sameinst	~~	sameinst	1		0.487295742024956	0.0447267051509107	10.894961754522	0	0.399633010782029	0.574958473267883
evalexp	~~	evalexp	1		0.438141810334857	0.0468383488077294	9.35433937121526	0	0.346340333576382	0.529943287093331
MHWdacad	~~	MHWdacad	1		0.692367244471915	0.0229416163569284	30.1795319780431	0	0.647402502665201	0.73733198627863
MHWdlonely	~~	MHWdlonely	1		0.739328237662483	0.0216260430074899	34.1869401353926	0	0.696941972239689	0.781714503085278
