lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.493943982065924	0.683472280608222
Belong	=~	sbmyself	1	1	.p2.	0.96921318652173	0.0310841847893204	31.1802671709352	0	0.908289303845874	1.03013706919759	0.478737020821346	0.705743001655255
Belong	=~	sbcommunity	1	1	.p3.	1.13600575896931	0.0365518313771024	31.0793116560761	0	1.06436548590121	1.20764603203741	0.561123208235122	0.713077326724908
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.388800650069703	0.637318792082162
Gains	=~	pgthink	1	1	.p5.	0.671553003910511	0.0359496522252088	18.6803755347486	0	0.601092980292362	0.742013027528661	0.261100244476669	0.468759651658116
Gains	=~	pgwork	1	1	.p6.	0.771108177344976	0.0391593319903646	19.6915559625663	0	0.694357296985214	0.847859057704738	0.299807360625791	0.501993151349689
Gains	=~	pgvalues	1	1	.p7.	0.758809540961728	0.0407751137586118	18.6096241313727	0	0.678891786529325	0.838727295394131	0.295025642805013	0.51769171076623
Gains	=~	pgprobsolve	1	1	.p8.	0.907773929992071	0.0428169800031123	21.2012601058292	0	0.823854191259199	0.991693668724943	0.352943094097247	0.570067852197869
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.286929465150215	0.554258829664161
SupportEnv	=~	SEwellness	1	1	.p10.	1.26962034855902	0.0563318508995204	22.5382324259796	0	1.15921194961348	1.38002874750456	0.364291487555868	0.616886037054957
SupportEnv	=~	SEnonacad	1	1	.p11.	1.2954846840369	0.0569009302657016	22.7673726595957	0	1.1839609100293	1.4070084580445	0.371712727501002	0.628337026007662
SupportEnv	=~	SEactivities	1	1	.p12.	1.43449259096876	0.0605549015325176	23.6891243262685	0	1.31580716487765	1.55317801705986	0.411598191888611	0.663503551740286
SupportEnv	=~	SEdiverse	1	1	.p13.	1.11752171303856	0.0531748651846219	21.0159764234202	0	1.01330089239393	1.22174253368319	0.320649907415906	0.540553776772398
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.475899732009175	0.721291259402942
Satisf	=~	evalexp	1	1	.p15.	1.08720400924438	0.0761246833951486	14.2818854641524	0	0.938002371455374	1.23640564703338	0.5174000966387	0.74138926747849
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.492757472823792	0.492757472823792
DevAdj	=~	Gains	1	1	.p17.	0.882933010709459	0.0779068554659458	11.3331876306495	0	0.730238379847438	1.03562764157148	0.552728285347888	0.552728285347888
DevAdj	=~	SupportEnv	1	1	.p18.	0.444011807905328	0.0432539019057314	10.2652428646326	0	0.359235717979266	0.52878789783139	0.376643336847469	0.376643336847469
DevAdj	=~	Satisf	1	1	.p19.	1.00167522193473	0.0926771727430835	10.8082194599478	0	0.820031301169293	1.18331914270017	0.512297679267811	0.512297679267811
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.829026364158899	0.557802519866843
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.882624175892437	0.0425933120601376	20.7221306163338	0	0.799142818272292	0.966105533512582	0.731718711458851	0.502992775174386
EmoDiss	=~	MHWdmental	1	1	.p22.	1.16644680009842	0.0468440352355205	24.9006473125939	0	1.07463417814627	1.25825942205056	0.967015149670374	0.632750934806123
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.02155670383293	0.0464257725901817	22.0040862399989	0	0.930563861601731	1.11254954606414	0.846897439960766	0.560684467543659
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.06609393129682	0.0444808175034302	23.9674986012702	0	0.978913130987196	1.15327473160644	0.883819975714868	0.610734652924493
EmoDiss	=~	MHWdfinancial	1	1	.p25.	1.09833469052107	0.0480837900385259	22.8420989618551	0	1.00409219380537	1.19257718723677	0.910548415112271	0.610254937480856
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	1.08589862602739	0.737378388202836
QualEngag	=~	QIstudent	1	1	.p27.	0.861675758813368	0.0248334142100145	34.6982396993919	0	0.813003161348575	0.910348356278162	0.93569252257655	0.702953609034781
QualEngag	=~	QIadvisor	1	1	.p28.	0.922369584216508	0.0248703233282347	37.0871569317059	0	0.873624646209301	0.971114522223714	1.00159986419017	0.754269049478326
QualEngag	=~	QIfaculty	1	1	.p29.	0.887765017395455	0.0247671021179671	35.8445252564059	0	0.839222389242813	0.936307645548096	0.96402281262491	0.696825508645688
QualEngag	=~	QIstaff	1	1	.p30.	0.864912901338947	0.0248772733837973	34.7671904390563	0	0.816154341473148	0.913671461204747	0.93920773119733	0.695969234791846
sbvalued	~~	sbvalued	1	1		0.278311597588183	0.0182282333968255	15.2681607443457	0	0.242584916628615	0.314038278547752	0.278311597588183	0.532865641640196
sbmyself	~~	sbmyself	1	1		0.230962389389883	0.0157416843978782	14.6720251500541	0	0.200109254914046	0.261815523865721	0.230962389389883	0.501926815614631
sbcommunity	~~	sbcommunity	1	1		0.304358225593338	0.0230890214911476	13.1819456147169	0	0.259104575032417	0.349611876154258	0.304358225593338	0.491520726110859
pganalyze	~~	pganalyze	1	1		0.221003329211741	0.0154518150681096	14.3027423145816	0	0.190718328182473	0.251288330241009	0.221003329211741	0.593824757258935
pgthink	~~	pgthink	1	1		0.242078320445082	0.016670245470084	14.5215810336752	0	0.209405239710276	0.274751401179889	0.242078320445082	0.780264388977362
pgwork	~~	pgwork	1	1		0.266803956516819	0.0144493629183819	18.4647557144129	0	0.238483725597242	0.295124187436396	0.266803956516819	0.748002875998009
pgvalues	~~	pgvalues	1	1		0.237730769666803	0.0143544985855503	16.5614123161439	0	0.209596469422993	0.265865069910613	0.237730769666803	0.731995292603934
