lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.886662368640377	0.00872514369834209	101.621520435114	0	0.86956140123169	0.903763336049064
Belong	=~	sbmyself	1	.p2.	0.859079367899462	0.0103523890985648	82.9836822901642	0	0.83878905811233	0.879369677686595
Belong	=~	sbcommunity	1	.p3.	0.903702077344228	0.00855745486996198	105.604071663453	0	0.886929773999775	0.92047438068868
Gains	=~	pganalyze	1		0.727036901084436	0.0139404084869354	52.1531992240973	0	0.699714202520266	0.754359599648606
Gains	=~	pgthink	1	.p5.	0.793100142638512	0.0127415467617984	62.2452012668023	0	0.768127169878055	0.81807311539897
Gains	=~	pgwork	1	.p6.	0.776930749296714	0.0127653006871451	60.8627065149429	0	0.751911219698085	0.801950278895343
Gains	=~	pgvalues	1	.p7.	0.71036473269186	0.0140065179652817	50.7167259166526	0	0.682912461931094	0.737817003452625
Gains	=~	pgprobsolve	1	.p8.	0.777265015348155	0.0123165699884254	63.1072624991048	0	0.753124981757774	0.801405048938536
SupportEnv	=~	SEacademic	1		0.857428850551352	0.00912790366588008	93.9349145145346	0	0.839538488111876	0.875319212990828
SupportEnv	=~	SEwellness	1	.p10.	0.85379873611039	0.0097909817337646	87.2025665379427	0	0.834608764538921	0.872988707681858
SupportEnv	=~	SEnonacad	1	.p11.	0.791918714174737	0.011776032222774	67.2483481017674	0	0.768838115137317	0.814999313212157
SupportEnv	=~	SEactivities	1	.p12.	0.780146662358831	0.0111412520250228	70.0232487880765	0	0.758310209647103	0.80198311507056
SupportEnv	=~	SEdiverse	1	.p13.	0.812261281768055	0.0104221081182076	77.9363706992277	0	0.791834325213386	0.832688238322724
Satisf	=~	sameinst	1		0.88698046210415	0.0126933176215843	69.8777489500371	0	0.862102016721518	0.911858907486783
Satisf	=~	evalexp	1	.p15.	0.876553264668071	0.0127019361103451	69.0094216388129	0	0.851657927357866	0.901448601978276
DevAdj	=~	Belong	1		0.582861806845492	0.0218593299707365	26.6642119235027	0	0.540018307376672	0.625705306314313
DevAdj	=~	Gains	1	.p17.	0.382836828561043	0.0186655767328641	20.5103133988349	0	0.34625297041396	0.419420686708125
DevAdj	=~	SupportEnv	1	.p18.	0.610839252363558	0.0217157668424002	28.1288363794222	0	0.568277131455784	0.653401373271331
DevAdj	=~	Satisf	1	.p19.	0.621299331167428	0.022417888256245	27.7144450032823	0	0.577361077575745	0.665237584759112
EmoDiss	=~	MHWdacad	1		0.937413860705885	0.00438183635882875	213.931736363713	0	0.928825619256433	0.946002102155338
EmoDiss	=~	MHWdlonely	1	.p21.	0.949232519192306	0.00384227111921491	247.049854042122	0	0.941701806179806	0.956763232204805
EmoDiss	=~	MHWdmental	1	.p22.	0.964256426640331	0.00288181735531675	334.600117825422	0	0.958608168413888	0.969904684866775
EmoDiss	=~	MHWdexhaust	1	.p23.	0.958243561561345	0.00334003888423654	286.895929889863	0	0.951697205641278	0.964789917481412
EmoDiss	=~	MHWdsleep	1	.p24.	0.937218806714924	0.00415353663137053	225.64356352039	0	0.92907802450897	0.945359588920878
EmoDiss	=~	MHWdfinancial	1	.p25.	0.907335170135898	0.00563189490715336	161.106552074231	0	0.896296858953163	0.918373481318634
QualEngag	=~	QIadmin	1		0.898733877161056	0.00714377573098581	125.806563784308	0	0.884732334014692	0.912735420307419
QualEngag	=~	QIstudent	1	.p27.	0.900202402644411	0.00671815307122477	133.995518277213	0	0.887035064582183	0.913369740706639
QualEngag	=~	QIadvisor	1	.p28.	0.926095245898936	0.00533633925370703	173.545046870024	0	0.915636213152383	0.936554278645489
QualEngag	=~	QIfaculty	1	.p29.	0.936767367178303	0.00495301068089388	189.130899877091	0	0.927059644628709	0.946475089727897
QualEngag	=~	QIstaff	1	.p30.	0.926260501104518	0.00550520452159847	168.251787462307	0	0.915470498514658	0.937050503694378
sbvalued	~~	sbvalued	1		0.213829844037035	0.0154725130110701	13.819981530088	0	0.183504275785011	0.24415541228906
sbmyself	~~	sbmyself	1		0.26198263964946	0.0177870476588966	14.7288434074906	0	0.227120666846725	0.296844612452195
sbcommunity	~~	sbcommunity	1		0.183322555403727	0.0154667791017109	11.85266526393	0	0.153008225407537	0.213636885399917
pganalyze	~~	pganalyze	1		0.47141734446154	0.0202703828656876	23.25645981061	0	0.431688124091954	0.511146564831125
pgthink	~~	pgthink	1		0.370992163746772	0.02021064527398	18.3562750578974	0	0.331380026905456	0.410604300588087
pgwork	~~	pgwork	1		0.396378610797246	0.0198355090697348	19.9832839885135	0	0.357501727405548	0.435255494188944
