lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.526887701712394	0.705575862529717
Belong	=~	sbmyself	1	1	0.923600365456487	0.0442966939126962	20.8503227639697	0	0.836780440753408	1.01042029015957	0.486633673856096	0.684467588248091
Belong	=~	sbcommunity	1	1	1.19637035528065	0.0509725683989615	23.4708666417725	0	1.09646595701919	1.29627475354212	0.630352826890664	0.78576361475581
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.390726488438511	0.618542469827808
Gains	=~	pgthink	1	1	0.68080552281691	0.0576819880964319	11.8027402536603	0	0.567750903591235	0.793860142042584	0.266008751239796	0.46405312528194
Gains	=~	pgwork	1	1	0.693478479118697	0.0575816283002553	12.0433982085849	0	0.580620561479024	0.80633639675837	0.270960410953728	0.473434495154739
Gains	=~	pgvalues	1	1	0.755304675117627	0.059944854446256	12.59999181072	0	0.637814919344469	0.872794430890784	0.295117543409901	0.510400436976718
Gains	=~	pgprobsolve	1	1	1.02394449770605	0.0726805940413568	14.0882791508748	0	0.881493151010009	1.16639584440208	0.400082237944618	0.635755971976434
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.275712007580919	0.514542787484006
SupportEnv	=~	SEwellness	1	1	1.32336972092023	0.105041955557892	12.5984870891982	0	1.1174912711611	1.52924817067935	0.364868922526716	0.598466522540098
SupportEnv	=~	SEnonacad	1	1	1.3877319877288	0.0962270407004763	14.4214347404527	0	1.199130453617	1.5763335218406	0.382614372320966	0.63617771377151
SupportEnv	=~	SEactivities	1	1	1.53223916355044	0.113968937967622	13.4443576545895	0	1.30886414977762	1.75561417732326	0.422456735876598	0.676043805127931
SupportEnv	=~	SEdiverse	1	1	1.15897221363095	0.0979592830508792	11.831162678365	0	0.966975546899863	1.35096888036204	0.319542555750691	0.548711701881224
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.419209169963054	0.670550010541908
Satisf	=~	evalexp	1	1	1.22056594562165	0.117243889840262	10.4104866128597	0	0.990772144127352	1.45035974711594	0.511672436949221	0.716286506476131
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.533126372434752	0.533126372434752
DevAdj	=~	Gains	1	1	0.723133944572073	0.100149392336103	7.22055249367087	5.17808018685173e-13	0.526844742519739	0.919423146624407	0.519869240688415	0.519869240688415
DevAdj	=~	SupportEnv	1	1	0.381742808357662	0.0572768769590288	6.6648677201924	2.64903654567661e-11	0.269482192371034	0.494003424344291	0.388922807195184	0.388922807195184
DevAdj	=~	Satisf	1	1	0.875767677772765	0.119338665069713	7.33850740881988	2.16049400592055e-13	0.641868192273039	1.10966716327249	0.586821972244398	0.586821972244398
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	0.881045869204897	0.596990113015643
EmoDiss	=~	MHWdlonely	1	1	0.813057684285365	0.0525506066299871	15.4718991164111	0	0.710060387924858	0.916054980645871	0.71634111416492	0.504813427233182
EmoDiss	=~	MHWdmental	1	1	1.04164970550346	0.0591220846698245	17.6186227417504	0	0.925772548859679	1.15752686214725	0.917741170192323	0.628818522627195
EmoDiss	=~	MHWdexhaust	1	1	0.895667219370365	0.0567217221833827	15.7905505138693	0	0.784494686749848	1.00683975199088	0.789123903808496	0.530382046517266
EmoDiss	=~	MHWdsleep	1	1	0.992533743075866	0.0555715400045844	17.8604685598777	0	0.883615526101454	1.10145196005028	0.874467754383467	0.597427657789331
EmoDiss	=~	MHWdfinancial	1	1	1.02176029815499	0.0634705783372162	16.0981721755618	0	0.89736025053612	1.14616034577386	0.90021769000702	0.587708812221028
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	1.07739456734269	0.762496215443955
QualEngag	=~	QIstudent	1	1	0.8461428077911	0.0323884823586372	26.1248056769617	0	0.78266254885426	0.90962306672794	0.911629664310218	0.696547284306711
QualEngag	=~	QIadvisor	1	1	0.921091010845341	0.0347364219107485	26.5165771308279	0	0.853008874948486	0.989173146742196	0.992378451112954	0.724739585877751
QualEngag	=~	QIfaculty	1	1	0.840375501952437	0.0360039607751004	23.341195909024	0	0.769809035532447	0.910941968372426	0.905416000331438	0.681358851388323
QualEngag	=~	QIstaff	1	1	0.820152881523928	0.0364522273705518	22.49939004239	0	0.748707828721381	0.891597934326474	0.883628258944329	0.660584539248644
sbvalued	~~	sbvalued	1	1	0.280022639718864	0.0156137882645682	17.9343177308424	0	0.249420177058076	0.310625102379652	0.280022639718864	0.502162702215446
sbmyself	~~	sbmyself	1	1	0.26866133962433	0.0130683360339015	20.5581903409413	0	0.243047871660016	0.294274807588644	0.26866133962433	0.531504120637842
sbcommunity	~~	sbcommunity	1	1	0.246207218717032	0.0185948187377914	13.2406355871945	0	0.20976204369191	0.282652393742154	0.246207218717032	0.382575541725882
pganalyze	~~	pganalyze	1	1	0.246363832988688	0.0137993234806959	17.8533268919546	0	0.219317655955506	0.27341001002187	0.246363832988688	0.617405213019315
pgthink	~~	pgthink	1	1	0.2578309351776	0.0118040234258851	21.842631607474	0	0.234695474390198	0.280966395965002	0.2578309351776	0.784654696916064
pgwork	~~	pgwork	1	1	0.254141229529001	0.0106517162724899	23.8591812838058	0	0.233264249261381	0.27501820979662	0.254141229529001	0.775859778797578
pgvalues	~~	pgvalues	1	1	0.24722996267751	0.0117801299276421	20.9870319084838	0	0.224141332286129	0.270318593068891	0.24722996267751	0.739491393933976
pgprobsolve	~~	pgprobsolve	1	1	0.235954682036752	0.0139004560727081	16.9746000276942	0	0.208710288765563	0.263199075307941	0.235954682036752	0.5958143440963
SEacademic	~~	SEacademic	1	1	0.211106145507139	0.00853263209234955	24.7410345626432	0	0.194382493912803	0.227829797101475	0.211106145507139	0.735245719848189
SEwellness	~~	SEwellness	1	1	0.238571922548741	0.0106693794609436	22.3604309343444	0	0.217660323067901	0.259483522029582	0.238571922548741	0.641837821398762
SEnonacad	~~	SEnonacad	1	1	0.215320524251529	0.0118976699343279	18.0977053019661	0	0.192001519680301	0.238639528822756	0.215320524251529	0.595277916500454
SEactivities	~~	SEactivities	1	1	0.212024700088309	0.0115869172122273	18.2986290662857	0	0.189314759660496	0.234734640516121	0.212024700088309	0.542964773548148
SEdiverse	~~	SEdiverse	1	1	0.237024706196615	0.0100360906451543	23.6172344966868	0	0.217354329986533	0.256695082406697	0.237024706196615	0.698915468218611
sameinst	~~	sameinst	1	1	0.215103848286477	0.0167868881089013	12.8138012769869	0	0.182202152180526	0.248005544392427	0.215103848286477	0.550362683362247
evalexp	~~	evalexp	1	1	0.248473618877971	0.0264640059370663	9.38911589835879	0	0.196605120354667	0.300342117401275	0.248473618877971	0.48693364064022
MHWdacad	~~	MHWdacad	1	1	1.40178267949403	0.0637444514576312	21.9906618919726	0	1.27684585042281	1.52671950856525	1.40178267949403	0.64360280496157
MHWdlonely	~~	MHWdlonely	1	1	1.50047746740361	0.0606978821063198	24.7204254141082	0	1.38151180453737	1.61944313026986	1.50047746740361	0.745163403685089
MHWdmental	~~	MHWdmental	1	1	1.28780104478833	0.0655401429720999	19.6490423485427	0	1.15934472502141	1.41625736455526	1.28780104478833	0.604587265600952
MHWdexhaust	~~	MHWdexhaust	1	1	1.59095289938253	0.0667233317482601	23.8440266350161	0	1.46017757222742	1.72172822653764	1.59095289938253	0.718694884732157
MHWdsleep	~~	MHWdsleep	1	1	1.37778700632417	0.0626334009184502	21.9976400150788	0	1.25502779629475	1.50054621635359	1.37778700632417	0.643080193708354
MHWdfinancial	~~	MHWdfinancial	1	1	1.53583863434549	0.0655120639469308	23.4436001831605	0	1.40743734845662	1.66423992023436	1.53583863434549	0.654598352037748
QIadmin	~~	QIadmin	1	1	0.83574330310792	0.0475297593357706	17.5835795254899	0	0.742586686615953	0.928899919599887	0.83574330310792	0.418599521433646
QIstudent	~~	QIstudent	1	1	0.881845874238282	0.0417818882465023	21.1059363577735	0	0.79995487806906	0.963736870407504	0.881845874238282	0.514821880724946
QIadvisor	~~	QIadvisor	1	1	0.890139296027179	0.0440906455031808	20.1888469961947	0	0.803723218785822	0.976555373268536	0.890139296027179	0.474752532661745
QIfaculty	~~	QIfaculty	1	1	0.94603411803041	0.050114637154446	18.877401329174	0	0.847811234109404	1.04425700195142	0.94603411803041	0.535750115634785
QIstaff	~~	QIstaff	1	1	1.00849789035586	0.0422353787130405	23.8780359283124	0	0.925718069204894	1.09127771150683	1.00849789035586	0.563628066505657
Belong	~~	Belong	1	1	0.198707116005371	0.0174168617709948	11.4088932103881	0	0.164570694210509	0.232843537800233	0.715776271014562	0.715776271014562
Gains	~~	Gains	1	1	0.111406739477222	0.0130684007470875	8.52489463961772	0	0.0857931446773946	0.13702033427705	0.72973597258605	0.72973597258605
SupportEnv	~~	SupportEnv	1	1	0.0645186906826837	0.00811334650302219	7.95216753760618	1.77635683940025e-15	0.0486168237426663	0.0804205576227012	0.848739050043418	0.848739050043418
Satisf	~~	Satisf	1	1	0.115219761444663	0.0153580721387918	7.50222817052915	6.28386231937839e-14	0.0851184931806628	0.145321029708663	0.655639972891195	0.655639972891195
DevAdj	~~	DevAdj	1	1	0.0789035342103977	0.011802924439512	6.68508339731945	2.30793162359078e-11	0.0557702273967065	0.102036841024089	1	1
EmoDiss	~~	EmoDiss	1	1	0.776241823643013	0.0654785755906431	11.8548978294198	0	0.647906173726369	0.904577473559657	1	1
QualEngag	~~	QualEngag	1	1	1.16077905373953	0.0722314618866711	16.0702694285872	0	1.01920798989098	1.30235011758809	1	1
DevAdj	~~	EmoDiss	1	1	-0.128330525120061	0.0145308543815097	-8.83158840841177	0	-0.156810476372416	-0.0998505738677056	-0.518541146834531	-0.518541146834531
DevAdj	~~	QualEngag	1	1	0.155414090748817	0.0187118777309741	8.30563842834209	0	0.118739484312991	0.192088697184643	0.513531847710951	0.513531847710951
EmoDiss	~~	QualEngag	1	1	-0.292318376202758	0.0346186376452382	-8.44395955722905	0	-0.360169659181268	-0.224467093224249	-0.307951849619314	-0.307951849619314
sbvalued	~1		1	1	2.76980104700057	0.0205854650340455	134.551298327228	0	2.72945427692884	2.81014781707231	2.76980104700057	3.70914856509579
