lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.705575862529717	0.0187079041597547	37.715387918631	0	0.668909044150371	0.742242680909063
Belong	=~	sbmyself	1	0.684467588248091	0.0190991706289856	35.8375555433449	0	0.647033901680694	0.721901274815488
Belong	=~	sbcommunity	1	0.78576361475581	0.0180966104372462	43.4204857025912	0	0.750294910056556	0.821232319455065
Gains	=~	pganalyze	1	0.618542469827808	0.0273975207840567	22.5765854765864	0	0.564844315825369	0.672240623830247
Gains	=~	pgthink	1	0.46405312528194	0.0288684065000383	16.0747745214591	0	0.407472088250803	0.520634162313077
Gains	=~	pgwork	1	0.473434495154739	0.0283710597620764	16.6872333682642	0	0.417828239817835	0.529040750491642
Gains	=~	pgvalues	1	0.510400436976718	0.0282439444129274	18.0711457831331	0	0.455043323146029	0.565757550807407
Gains	=~	pgprobsolve	1	0.635755971976434	0.0266478536833751	23.8576802293487	0	0.583527138491726	0.687984805461142
SupportEnv	=~	SEacademic	1	0.514542787484006	0.0261156941099919	19.702435834824	0	0.463356967597157	0.565728607370855
SupportEnv	=~	SEwellness	1	0.598466522540098	0.0252732148540834	23.6798731778044	0	0.548931931652552	0.648001113427644
SupportEnv	=~	SEnonacad	1	0.63617771377151	0.023352183949339	27.2427501920872	0	0.590408274270452	0.681947153272569
SupportEnv	=~	SEactivities	1	0.676043805127931	0.0233238889870194	28.9850378512852	0	0.630329822733963	0.7217577875219
SupportEnv	=~	SEdiverse	1	0.548711701881224	0.0270764469694474	20.2652771429125	0	0.495642840991798	0.601780562770649
Satisf	=~	sameinst	1	0.670550010541908	0.0347254817378041	19.3100275931351	0	0.602489316990009	0.738610704093807
Satisf	=~	evalexp	1	0.716286506476131	0.0367585264015193	19.4862682647291	0	0.644241118604389	0.788331894347874
DevAdj	=~	Belong	1	0.533126372434752	0.0357446998939452	14.9148369972763	0	0.463068048004426	0.603184696865077
DevAdj	=~	Gains	1	0.519869240688415	0.0404440983284837	12.8540197995287	0	0.440600264577391	0.59913821679944
