lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.702990615587109	0.881289379290417
Belong	=~	sbmyself	1	1	.p2.	0.99367374782348	0.0126690997301614	78.4328617650576	0	0.968842768635818	1.01850472701114	0.698543319675179	0.843255242479239
Belong	=~	sbcommunity	1	1	.p3.	1.00746565420398	0.0122631918689478	82.1536240295672	0	0.983430239805339	1.03150106860262	0.708238900431727	0.89132989034097
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.525678014320501	0.733112871818783
Gains	=~	pgthink	1	1	.p5.	1.0052282334134	0.020986118585267	47.8996737452491	0	0.964096196810988	1.04636027001581	0.52842638167966	0.781698745193636
Gains	=~	pgwork	1	1	.p6.	0.996192135976338	0.0207077027906392	48.107322480341	0	0.955605784304126	1.03677848764855	0.52367630392174	0.752795707203271
Gains	=~	pgvalues	1	1	.p7.	0.98718534269301	0.0218594702301791	45.1605337319706	0	0.944341568320734	1.03002911706529	0.518941630713165	0.70984950678373
Gains	=~	pgprobsolve	1	1	.p8.	1.00565140848403	0.021061970941568	47.7472602765426	0	0.964370703995124	1.04693211297293	0.528648835510498	0.771354210463829
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.654195855334077	0.847242874415644
SupportEnv	=~	SEwellness	1	1	.p10.	0.992691759012006	0.0136511884899856	72.7183394867222	0	0.965935921225467	1.01944759679855	0.649414834369949	0.833984808484789
SupportEnv	=~	SEnonacad	1	1	.p11.	0.978076806783801	0.015066975918875	64.9152697960128	0	0.948546076626874	1.00760753694073	0.639853793196351	0.789878622739403
SupportEnv	=~	SEactivities	1	1	.p12.	0.972570080782933	0.014893981843346	65.2995344705243	0	0.943378412783581	1.00176174878228	0.636251315870123	0.778131921399884
SupportEnv	=~	SEdiverse	1	1	.p13.	0.980519552431112	0.0140867724142112	69.6056927449136	0	0.952909985840846	1.00812911902138	0.641451827274458	0.804800034846565
