lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.70501499524959	0.0162443661747144	43.4005850192542	0	0.673176622595469	0.736853367903711
Belong	=~	sbmyself	1	.p2.	0.705506301921454	0.0147417452361207	47.8577190570896	0	0.676613012189393	0.734399591653516
Belong	=~	sbcommunity	1	.p3.	0.756289446295572	0.017232514947289	43.8873518235104	0	0.722514337635838	0.790064554955307
Gains	=~	pganalyze	1		0.630588740104187	0.0209255415936793	30.1348826400106	0	0.589575432223581	0.671602047984794
Gains	=~	pgthink	1	.p5.	0.466978848159852	0.0213221856056229	21.9010779099823	0	0.425188132301152	0.508769564018551
Gains	=~	pgwork	1	.p6.	0.52828571193152	0.0193537106465515	27.2963527035913	0	0.490353136097069	0.56621828776597
Gains	=~	pgvalues	1	.p7.	0.524118184802186	0.0218658894604966	23.9696713801225	0	0.481261828969679	0.566974540634693
Gains	=~	pgprobsolve	1	.p8.	0.587222856558246	0.0217863721901229	26.953677805269	0	0.54452235171182	0.629923361404672
SupportEnv	=~	SEacademic	1		0.537263731553257	0.0180247061641135	29.8070729509549	0	0.501935956639678	0.572591506466837
SupportEnv	=~	SEwellness	1	.p10.	0.600826039389578	0.0183195585786409	32.7969714341312	0	0.56492036436277	0.636731714416386
SupportEnv	=~	SEnonacad	1	.p11.	0.624590001868497	0.0193163970977903	32.3347050025155	0	0.586730559245754	0.66244944449124
SupportEnv	=~	SEactivities	1	.p12.	0.668938715761076	0.0181132216009522	36.9309629450958	0	0.633437453779216	0.704439977742935
SupportEnv	=~	SEdiverse	1	.p13.	0.552032630683293	0.0195170799247059	28.284591384211	0	0.51377985694748	0.590285404419107
Satisf	=~	sameinst	1		0.700666563272006	0.0279578202703365	25.0615590377559	0	0.645870242455903	0.75546288408811
Satisf	=~	evalexp	1	.p15.	0.685081973728722	0.0296265458925216	23.1239232617276	0	0.627015010793057	0.743148936664388
DevAdj	=~	Belong	1		0.488070668049706	0.0304576361423552	16.0245747821178	0	0.428374798156464	0.547766537942947
DevAdj	=~	Gains	1	.p17.	0.566922365921931	0.0301727210565057	18.7892356430245	0	0.507784919335607	0.626059812508256
DevAdj	=~	SupportEnv	1	.p18.	0.395627257267135	0.0311891062038183	12.6847898327622	0	0.334497732397656	0.456756782136613
DevAdj	=~	Satisf	1		0.58844481734686	0.0426514373387839	13.7965999286916	0	0.504849536273977	0.672040098419744
EmoDiss	=~	MHWdacad	1		0.560035282546865	0.0195375577751751	28.6645490184274	0	0.521742372961651	0.598328192132078
EmoDiss	=~	MHWdlonely	1	.p21.	0.506711570140034	0.0191862918000399	26.4100835857703	0	0.46910712921508	0.544316011064989
EmoDiss	=~	MHWdmental	1	.p22.	0.64558570046914	0.0174315848724214	37.0353989722715	0	0.611420421925741	0.67975097901254
EmoDiss	=~	MHWdexhaust	1	.p23.	0.551218187704074	0.0179646479387136	30.6834951391508	0	0.516008124749253	0.586428250658894
EmoDiss	=~	MHWdsleep	1	.p24.	0.591940090042613	0.0177390842217356	33.3692586744311	0	0.557172123849289	0.626708056235938
EmoDiss	=~	MHWdfinancial	1	.p25.	0.58482618102377	0.0180917539783094	32.3255656541059	0	0.549366994809124	0.620285367238416
QualEngag	=~	QIadmin	1		0.751456963458339	0.0145219067678091	51.7464390505595	0	0.722994549206585	0.779919377710093
QualEngag	=~	QIstudent	1	.p27.	0.693610118881627	0.0148280089870798	46.7770230977062	0	0.664547755304515	0.72267248245874
QualEngag	=~	QIadvisor	1	.p28.	0.715687662687023	0.0144501523431054	49.5280358084598	0	0.68736588452342	0.744009440850627
QualEngag	=~	QIfaculty	1	.p29.	0.695745302887198	0.0151239879880275	46.0027674868539	0	0.666102831128048	0.725387774646348
QualEngag	=~	QIstaff	1	.p30.	0.675873752296233	0.0134412949381257	50.2833808355133	0	0.649529298311926	0.70221820628054
sbvalued	~~	sbvalued	1		0.502953856473221	0.0229050434373884	21.9582144800581	0	0.458060796271614	0.547846916674828
sbmyself	~~	sbmyself	1		0.502260857949114	0.0208007883524986	24.1462414518911	0	0.461492061928177	0.543029653970052
sbcommunity	~~	sbcommunity	1		0.428026273421937	0.0260655380910538	16.4211562380461	0	0.376938757525814	0.479113789318059
pganalyze	~~	pganalyze	1		0.602357840853814	0.02639082178848	22.8245200426745	0	0.550632780625978	0.654082901081649
pgthink	~~	pgthink	1		0.781930755371298	0.0199140196920672	39.2653400700805	0	0.742899993987425	0.820961516755171
pgwork	~~	pgwork	1		0.720914206569007	0.0204485778653207	35.2549801417547	0	0.680835730417916	0.760992682720099
pgvalues	~~	pgvalues	1		0.725300128359662	0.0229206210444226	31.6439998267915	0	0.680376536609302	0.770223720110021
pgprobsolve	~~	pgprobsolve	1		0.655169316735573	0.025586911335909	25.6056429841964	0	0.605019892041572	0.705318741429575
SEacademic	~~	SEacademic	1		0.711347682757469	0.0193680421820645	36.7279085862484	0	0.67338701762957	0.749308347885368
SEwellness	~~	SEwellness	1		0.639008070391433	0.0220137358983225	29.0276976767096	0	0.595861940865545	0.682154199917322
SEnonacad	~~	SEnonacad	1		0.609887329565911	0.0241296570358528	25.2754247049478	0	0.562594070816336	0.657180588315486
SEactivities	~~	SEactivities	1		0.552520994555923	0.0242332704953007	22.8001001624221	0	0.505024657157516	0.600017331954329
SEdiverse	~~	SEdiverse	1		0.695259974660883	0.0215481298002792	32.2654439668297	0	0.653026416318141	0.737493533003624
sameinst	~~	sameinst	1		0.509066367112595	0.0391782196282532	12.9936064462073	0	0.432278467662819	0.585854266562372
evalexp	~~	evalexp	1		0.530662689271958	0.0405932258133005	13.072690791134	0	0.451101428661587	0.610223949882329
MHWdacad	~~	MHWdacad	1		0.686360482302654	0.0218834429828969	31.3643736426248	0	0.64346972219844	0.729251242406867
MHWdlonely	~~	MHWdlonely	1		0.743243384686221	0.0194438320809942	38.2251493219138	0	0.705134174086028	0.781352595286414
MHWdmental	~~	MHWdmental	1		0.58321910334977	0.0225071638301024	25.9125986620197	0	0.539105872848626	0.627332333850913
MHWdexhaust	~~	MHWdexhaust	1		0.696158509544237	0.0198048814130962	35.1508547324042	0	0.657341655256481	0.734975363831992
MHWdsleep	~~	MHWdsleep	1		0.649606929800342	0.0210009501219705	30.9322638274705	0	0.608445823920158	0.690768035680527
MHWdfinancial	~~	MHWdfinancial	1		0.657978337989153	0.0211610626755425	31.093823031375	0	0.616503417270495	0.699453258707811
QIadmin	~~	QIadmin	1		0.435312432069973	0.0218251760346397	19.9454259328342	0	0.392535873085833	0.478088991054113
QIstudent	~~	QIstudent	1		0.518905002985015	0.0205697143728241	25.2266508702994	0	0.478589103642004	0.559220902328026
QIadvisor	~~	QIadvisor	1		0.487791169477586	0.0206835917162181	23.5834847337035	0	0.447252074642867	0.528330264312304
QIfaculty	~~	QIfaculty	1		0.515938473510401	0.0210448869191257	24.5160962609646	0	0.474691253090196	0.557185693930606
QIstaff	~~	QIstaff	1		0.54319467095701	0.018169236904384	29.8963943183516	0	0.507583620997841	0.578805720916179
Belong	~~	Belong	1		0.761787022989514	0.0297309585271697	25.6226862747581	0	0.703515415050407	0.820058630928621
Gains	~~	Gains	1		0.67859903101748	0.0342111814357828	19.8355918310295	0	0.61154634753478	0.745651714500179
SupportEnv	~~	SupportEnv	1		0.843479073307285	0.0246785213525538	34.1786714551275	0	0.795110060264576	0.891848086349993
Satisf	~~	Satisf	1		0.65373269693762	0.050196035187882	13.0235922915171	0	0.555350275802666	0.752115118072574
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.519652619232243	0.0387957096638531	-13.3945898588992	0	-0.595690812928068	-0.443614425536419
DevAdj	~~	QualEngag	1		0.501201791476443	0.0396859290402491	12.6292064617696	0	0.423418799864543	0.578984783088343
EmoDiss	~~	QualEngag	1		-0.310323202774969	0.0322885162680528	-9.61094651109789	0	-0.373607531774588	-0.24703887377535
sbvalued	~1		1		3.72672754239875	0.0677829326123176	54.9803231989629	0	3.5938754357121	3.85957964908539
sbmyself	~1		1		3.96703844369616	0.0699557731820026	56.7078064218545	0	3.82992764774878	4.10414923964354
sbcommunity	~1		1		3.18516539061519	0.059852274502324	53.2171152575249	0	3.06785708819783	3.30247369303255
pganalyze	~1		1		4.4509338488139	0.0968602548108372	45.9521178991975	0	4.26109123785129	4.64077645977651
pgthink	~1		1		4.85867703007571	0.105797860692365	45.9241519467354	0	4.65131703347729	5.06603702667413
pgwork	~1		1		4.69178851383841	0.0910797113861624	51.5129927668088	0	4.51327555979923	4.87030146787759
pgvalues	~1		1		4.72098164832707	0.0934383772726512	50.5250817290132	0	4.53784579409881	4.90411750255534
pgprobsolve	~1		1		4.57228478786695	0.0939752715896026	48.6541268838731	0	4.38809664011396	4.75647293561995
SEacademic	~1		1		5.10489736198775	0.0935477554272474	54.569960964567	0	4.92154713051579	5.28824759345972
SEwellness	~1		1		4.30104823144437	0.0841162905829234	51.1321671656969	0	4.13618333138874	4.46591313150001
SEnonacad	~1		1		4.20154357571391	0.0791187035242431	53.1043026308754	0	4.04647376630289	4.35661338512493
SEactivities	~1		1		3.97125596672942	0.076877946282807	51.6566344282996	0	3.82057796080971	4.12193397264913
SEdiverse	~1		1		4.54174999818855	0.0909702411716243	49.9256673357619	0	4.36345160182724	4.72004839454985
sameinst	~1		1		5.15716026793337	0.123912481547916	41.6193768659143	0	4.91429626686447	5.40002426900226
evalexp	~1		1		4.43778626461085	0.107233767380072	41.3842241397885	0	4.22761194261936	4.64796058660234
MHWdacad	~1		1		2.79038725985742	0.0545157291121731	51.1849938595857	0	2.68353839420661	2.89723612550822
