lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.704637550059222	0.881753557202978
Belong	=~	sbmyself	1	1	.p2.	0.993681402449161	0.0126694598409113	78.4312366057183	0	0.968849717457398	1.01851308744092	0.700185228961189	0.843819780237546
Belong	=~	sbcommunity	1	1	.p3.	1.00748325700758	0.0122637399681371	82.1513877190127	0	0.983446768354269	1.0315197456609	0.709910533943509	0.891763072117847
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.526096663294218	0.733390608273178
Gains	=~	pgthink	1	1	.p5.	1.00519919792866	0.0209849886637853	47.9008692372265	0	0.964069375931658	1.04632901992566	0.528831943976292	0.781923173964267
Gains	=~	pgwork	1	1	.p6.	0.9961779335791	0.0207070080660104	48.1082506175424	0	0.955592943542139	1.03676292361606	0.524085886903294	0.753045816565916
Gains	=~	pgvalues	1	1	.p7.	0.987170415513202	0.0218590638311013	45.1606904641839	0	0.944327437668481	1.03001339335792	0.519347061704262	0.710125747381929
Gains	=~	pgprobsolve	1	1	.p8.	1.00564133509121	0.0210615544085721	47.7477262875673	0	0.964361446991975	1.04692122319044	0.529064550862227	0.77160427096496
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.6557828868329	0.847820003345729
SupportEnv	=~	SEwellness	1	1	.p10.	0.992687327193058	0.0136515732321197	72.7159654286177	0	0.965930735325792	1.01944391906032	0.6509873611491	0.834602916614288
SupportEnv	=~	SEnonacad	1	1	.p11.	0.978067076832505	0.015066223511471	64.9178658532336	0	0.948537821366991	1.00759633229802	0.641399651161437	0.790590660271001
SupportEnv	=~	SEactivities	1	1	.p12.	0.972558654270097	0.0148941758342363	65.2979167893625	0	0.943366606055587	1.00175070248461	0.637787321911565	0.778868222924055
SupportEnv	=~	SEdiverse	1	1	.p13.	0.98052489982798	0.01408664370042	69.6067083601145	0	0.952915585512108	1.00813421414385	0.643011449420733	0.805491112779294
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.608838452453375	0.886200765493878
Satisf	=~	evalexp	1	1	.p15.	1.00500212594461	0.020900461011895	48.0851654598738	0	0.964037975101016	1.04596627678821	0.61188393907247	0.862761461832231
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.573562419816121	0.573562419816121
DevAdj	=~	Gains	1	1	.p17.	0.428343417938839	0.0254666341584372	16.8197891905918	0	0.378429732180845	0.478257103696834	0.329058430352397	0.329058430352397
DevAdj	=~	SupportEnv	1	1	.p18.	0.961749188719771	0.0355092955293938	27.084434494727	0	0.89215224836577	1.03134612907377	0.592718142433468	0.592718142433468
DevAdj	=~	Satisf	1	1	.p19.	0.934899062744447	0.0343176137190825	27.2425428643539	0	0.867637775819688	1.00216034966921	0.620596214703292	0.620596214703292
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.04903526839361	0.911837680634571
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.0095347244635	0.00868136987930091	116.287491317533	0	0.992519552163595	1.0265498967634	1.05903753063023	0.932316240825596
EmoDiss	=~	MHWdmental	1	1	.p22.	1.01539518775882	0.00827639365863799	122.685704624389	0	0.999173754266019	1.03161662125163	1.06518536331615	0.95068625262649
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.02034847725572	0.00840069424287386	121.460018393273	0	1.00388341909456	1.03681353541689	1.07038153869296	0.939742473955894
