lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.70510835991081	0.0161863715763461	43.5618542787698	0	0.673383654580789	0.736833065240831
Belong	=~	sbmyself	1	.p2.	0.705620939523496	0.0147030181155669	47.9915711167096	0	0.676803553552946	0.734438325494047
Belong	=~	sbcommunity	1	.p3.	0.756355837734329	0.0172482517244051	43.8511595157286	0	0.722549885558214	0.790161789910444
Gains	=~	pganalyze	1		0.630712917581656	0.0209584051366933	30.0935549946701	0	0.589635198340338	0.671790636822974
Gains	=~	pgthink	1	.p5.	0.467086615399356	0.0212819642472138	21.9475331305712	0	0.425374731954548	0.508798498844164
Gains	=~	pgwork	1	.p6.	0.528450952515241	0.0192765063319454	27.414249419226	0	0.490669694356869	0.566232210673612
Gains	=~	pgvalues	1	.p7.	0.524274679980538	0.02176459552586	24.0884182459358	0	0.48161685661177	0.566932503349305
Gains	=~	pgprobsolve	1	.p8.	0.587386831273252	0.0217672044264629	26.9849457819743	0	0.544723894553264	0.630049767993241
SupportEnv	=~	SEacademic	1		0.537303531232169	0.0180437753509198	29.7777776979905	0	0.501938381399235	0.572668681065103
SupportEnv	=~	SEwellness	1	.p10.	0.60089222996975	0.0183134204722851	32.8115783110599	0	0.564998585410332	0.636785874529167
SupportEnv	=~	SEnonacad	1	.p11.	0.624670369904823	0.0193226342363434	32.3284269765816	0	0.58679870271515	0.662542037094497
SupportEnv	=~	SEactivities	1	.p12.	0.669003214767573	0.0181136936744208	36.9335612488746	0	0.633501027538717	0.704505401996428
SupportEnv	=~	SEdiverse	1	.p13.	0.55207688887561	0.0195177280631699	28.2859197079081	0	0.51382284481175	0.59033093293947
Satisf	=~	sameinst	1		0.700604182974603	0.0279989216410846	25.0225416519814	0	0.645727304952118	0.755481060997088
Satisf	=~	evalexp	1	.p15.	0.684515523561758	0.0285429670551413	23.9819330008462	0	0.628572336121768	0.740458711001749
DevAdj	=~	Belong	1		0.489093487647999	0.029365231069569	16.6555300208362	0	0.431538692353947	0.546648282942051
DevAdj	=~	Gains	1	.p17.	0.567935583389812	0.0298306800457087	19.0386401691004	0	0.509468524865885	0.626402641913739
DevAdj	=~	SupportEnv	1	.p18.	0.396517010286811	0.0298352779466495	13.2902066806902	0	0.338040940042636	0.454993080530986
DevAdj	=~	Satisf	1	.p19.	0.585714388897414	0.032572909538976	17.9816417135399	0	0.52187265932934	0.649556118465488
EmoDiss	=~	MHWdacad	1		0.560031827475714	0.0195359332327854	28.6667558085151	0	0.521742101935076	0.598321553016352
EmoDiss	=~	MHWdlonely	1	.p21.	0.506714016016985	0.019188078464706	26.4077519251873	0	0.469106073293632	0.544321958740337
EmoDiss	=~	MHWdmental	1	.p22.	0.645572130430474	0.0174309852289116	37.0358945264727	0	0.611408027166757	0.67973623369419
EmoDiss	=~	MHWdexhaust	1	.p23.	0.551235775326365	0.0179546091092629	30.7016305379758	0	0.516045388115715	0.586426162537015
EmoDiss	=~	MHWdsleep	1	.p24.	0.591939352989371	0.0177387364872588	33.3698712653263	0	0.557172068343097	0.626706637635644
EmoDiss	=~	MHWdfinancial	1	.p25.	0.584825864945098	0.0180917443898069	32.3255653155588	0	0.549366697523572	0.620285032366624
QualEngag	=~	QIadmin	1		0.751457339409184	0.0145215238640171	51.7478293907722	0	0.722995675635071	0.779919003183296
QualEngag	=~	QIstudent	1	.p27.	0.693612933453836	0.0148295985816721	46.7721988315361	0	0.664547454328572	0.7226784125791
QualEngag	=~	QIadvisor	1	.p28.	0.715692002513158	0.0144512944936645	49.5244216929437	0	0.687367985775594	0.744016019250722
QualEngag	=~	QIfaculty	1	.p29.	0.69573701236108	0.015119407383356	46.0161562368492	0	0.666103518422113	0.725370506300047
QualEngag	=~	QIstaff	1	.p30.	0.67587385221701	0.0134412052939636	50.2837236271172	0	0.649529573932032	0.702218130501988
sbvalued	~~	sbvalued	1		0.502822200783887	0.0228262916839199	22.0282036060243	0	0.458083491182798	0.547560910384977
sbmyself	~~	sbmyself	1		0.502099089705978	0.020749515277682	24.1981117624483	0	0.461430787065058	0.542767392346898
sbcommunity	~~	sbcommunity	1		0.427925846725201	0.0260916317846239	16.4008847839629	0	0.376787188129458	0.479064505320945
pganalyze	~~	pganalyze	1		0.602201215595636	0.0264374742350201	22.7783187698746	0	0.550384718252791	0.654017712938481
pgthink	~~	pgthink	1		0.781830093714774	0.0198810413479517	39.325409571432	0	0.742863968697637	0.820796218731911
pgwork	~~	pgwork	1		0.720739590785735	0.0203733762765508	35.3765414726712	0	0.680808507040213	0.760670674531257
pgvalues	~~	pgvalues	1		0.725136059931305	0.0228212527179069	31.7745948872614	0	0.68040722652212	0.769864893340489
pgprobsolve	~~	pgprobsolve	1		0.654976710446768	0.025571538487522	25.6135042780619	0	0.604857415981945	0.705096004911591
SEacademic	~~	SEacademic	1		0.711304915325442	0.0193899689999396	36.6841698059268	0	0.673301274424212	0.749308556226671
SEwellness	~~	SEwellness	1		0.638928527961981	0.0220087842658823	29.0306143330434	0	0.59579210345734	0.682064952466622
SEnonacad	~~	SEnonacad	1		0.609786928962971	0.0241405540661233	25.2598563932172	0	0.562472312426527	0.657101545499415
SEactivities	~~	SEactivities	1		0.552434698630653	0.0242362385870685	22.7937473319565	0	0.504932543879279	0.599936853382027
SEdiverse	~~	SEdiverse	1		0.695211108769427	0.021550573335362	32.2595180161016	0	0.652972761185929	0.737449456352926
sameinst	~~	sameinst	1		0.509153778798489	0.0392323232363658	12.9779155756582	0	0.432259838225378	0.5860477193716
evalexp	~~	evalexp	1		0.531438498002972	0.0390762082864071	13.6000528533326	0	0.454850537109228	0.608026458896715
MHWdacad	~~	MHWdacad	1		0.686364352214212	0.0218814883118281	31.3673522766363	0	0.643477423194895	0.729251281233529
MHWdlonely	~~	MHWdlonely	1		0.743240905971939	0.0194457362852494	38.2212786941744	0	0.705127963199986	0.781353848743891
MHWdmental	~~	MHWdmental	1		0.583236624411459	0.0225059163379677	25.9148134940648	0	0.539125838949971	0.627347409872948
MHWdexhaust	~~	MHWdexhaust	1		0.696139120000341	0.0197944457169421	35.1684068326558	0	0.657342719301202	0.734935520699481
MHWdsleep	~~	MHWdsleep	1		0.649607802382525	0.0210005126419052	30.9329497550585	0	0.608447553947513	0.690768050817537
MHWdfinancial	~~	MHWdfinancial	1		0.657978707691218	0.0211610404205719	31.0938732034914	0	0.616503830591501	0.699453584790936
QIadmin	~~	QIadmin	1		0.435311867048071	0.021824610976845	19.9459164477167	0	0.392536415556857	0.478087318539284
QIstudent	~~	QIstudent	1		0.518901098545565	0.0205720028188634	25.223654843648	0	0.478580713930736	0.559221483160393
QIadvisor	~~	QIadvisor	1		0.487784957538706	0.0206853518533775	23.581177685361	0	0.447242412898547	0.528327502178865
QIfaculty	~~	QIfaculty	1		0.515950009630879	0.0210382626889796	24.5243638820589	0	0.474715772463186	0.557184246798572
QIstaff	~~	QIstaff	1		0.54319453588934	0.0181691181742004	29.8965822491407	0	0.507583718637055	0.578805353141625
Belong	~~	Belong	1		0.760787560340317	0.0287246873170318	26.4854949313659	0	0.70448820773176	0.817086912948874
Gains	~~	Gains	1		0.677449173119674	0.0338838088978938	19.9933004923122	0	0.611038128020764	0.743860218218584
SupportEnv	~~	SupportEnv	1		0.842774260553209	0.0236603902675982	35.6196263468802	0	0.796400747768554	0.889147773337863
Satisf	~~	Satisf	1		0.656938654638529	0.0381568444310591	17.2167972596757	0	0.582152613789956	0.731724695487103
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.519932749054993	0.0385393215984788	-13.4909678606153	0	-0.595468431376619	-0.444397066733368
DevAdj	~~	QualEngag	1		0.501102161705109	0.039603596331518	12.6529458968935	0	0.423480539237071	0.578723784173147
EmoDiss	~~	QualEngag	1		-0.310319034944165	0.0322878176642941	-9.61102537714512	0	-0.373601994705578	-0.247036075182753
sbvalued	~1		1		3.72621179609878	0.0678762577637414	54.8971307326443	0	3.59317677547649	3.85924681672107
sbmyself	~1		1		3.96652801733421	0.0694865445613797	57.0833971148249	0	3.83033689258377	4.10271914208465
sbcommunity	~1		1		3.18467967653732	0.0598835852487275	53.1811791713822	0	3.06731000618468	3.30204934688996
pganalyze	~1		1		4.45025443152001	0.0962925860013942	46.2159613353366	0	4.26152443097905	4.63898443206097
pgthink	~1		1		4.85824465426276	0.10560489577282	46.0039718680649	0	4.65126286195693	5.06522644656859
pgwork	~1		1		4.69134509412908	0.0912300870663594	51.4232228093421	0	4.51253740917256	4.8701527790856
pgvalues	~1		1		4.72043356411312	0.0932809145107827	50.6044949159184	0	4.53760633122703	4.90326079699922
pgprobsolve	~1		1		4.5717103450506	0.0938377781021311	48.7192944836656	0	4.38779167958116	4.75562901052003
SEacademic	~1		1		5.10462594798161	0.0936259554761668	54.5214830868244	0	4.92112244723017	5.28812944873304
SEwellness	~1		1		4.30082429834512	0.0841282878131422	51.1222135876306	0	4.13593588415034	4.46571271253989
SEnonacad	~1		1		4.20132947078587	0.0791104291173373	53.1071505699257	0	4.04627587891438	4.35638306265736
SEactivities	~1		1		3.97098993385727	0.0770908008294758	51.5105549706386	0	3.81989474069214	4.12208512702239
SEdiverse	~1		1		4.5414980785173	0.0912169053589028	49.7878990812973	0	4.36271622923265	4.72027992780195
sameinst	~1		1		5.1593216816657	0.119519617192957	43.1671536676383	0	4.92506753652148	5.3935758268099
evalexp	~1		1		4.4396177127337	0.102479724092575	43.3219132081499	0	4.23876114436665	4.64047428110075
MHWdacad	~1		1		2.7903847549927	0.0545150650310676	51.185571426953	0	2.68353719091695	2.89723231906845
MHWdlonely	~1		1		2.44167582592031	0.0447259296701112	54.5919524519576	0	2.35401461459182	2.5293370372488
MHWdmental	~1		1		2.54710731158342	0.0486582193465713	52.3469075890648	0	2.45173895411229	2.64247566905455
MHWdexhaust	~1		1		2.89798034855007	0.058284329938992	49.721432014119	0	2.7837451610066	3.01221553609354
MHWdsleep	~1		1		2.86494410186533	0.0566627868513343	50.5612988888468	0	2.75388708037305	2.97600112335762
MHWdfinancial	~1		1		2.3808721268634	0.0443063461191939	53.7365938608057	0	2.29403328418322	2.46771096954359
QIadmin	~1		1		2.95796472533725	0.0575750692879718	51.3757909789473	0	2.84511966312543	3.07080978754907
QIstudent	~1		1		3.72585974496991	0.0660944099956774	56.3717831086408	0	3.59631708179895	3.85540240814086
QIadvisor	~1		1		3.31613998319545	0.06275373940831	52.8437032511934	0	3.19314491405995	3.43913505233095
QIfaculty	~1		1		3.55259136498153	0.0691913057384158	51.3444764059293	0	3.41697889769094	3.68820383227213
QIstaff	~1		1		3.291616563401	0.0665211977502152	49.4822203256307	0	3.16123741160211	3.42199571519989
Belong	~1		1		0	0	NA	NA	0	0
Gains	~1		1		0	0	NA	NA	0	0
SupportEnv	~1		1		0	0	NA	NA	0	0
Satisf	~1		1		0	0	NA	NA	0	0
DevAdj	~1		1		0	0	NA	NA	0	0
