lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.524122250695871	0.705110314152298
Belong	=~	sbmyself	1	1	.p2.	0.965848932817376	0.0311138427184136	31.0424186931361	0	0.904866921668642	1.02683094396611	0.506222916500449	0.705635117879665
Belong	=~	sbcommunity	1	1	.p3.	1.1339446229422	0.0365139701768118	31.0550898040201	0	1.06237855646308	1.20551068942132	0.594325607940949	0.756284278448669
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.401614691000424	0.630843138730061
Gains	=~	pgthink	1	1	.p5.	0.669196725177989	0.0357578168296342	18.714697498629	0	0.599112692026125	0.739280758329852	0.268759236000853	0.467359605065773
Gains	=~	pgwork	1	1	.p6.	0.770001424682067	0.0382757351678318	20.1172210358797	0	0.694982362271324	0.845020487092811	0.309243884243574	0.528272657869711
Gains	=~	pgvalues	1	1	.p7.	0.758548522718325	0.0405667583134297	18.6987709704969	0	0.679039137454462	0.838057907982188	0.304644230560348	0.523909441852322
Gains	=~	pgprobsolve	1	1	.p8.	0.905430122034998	0.0426434518709221	21.2325710586388	0	0.821850492191523	0.989009751878472	0.363634038683561	0.587429191194773
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.290935721451256	0.537203745606533
SupportEnv	=~	SEwellness	1	1	.p10.	1.25757027649648	0.0549960111029689	22.8665725254497	0	1.14978007544129	1.36536047755166	0.365872115668158	0.598464023467353
SupportEnv	=~	SEnonacad	1	1	.p11.	1.2839294598102	0.0558886076139756	22.9730085365222	0	1.17438980174072	1.39346911787969	0.373540943682402	0.624429012157507
SupportEnv	=~	SEactivities	1	1	.p12.	1.43264444875284	0.0601617743221556	23.8132014039561	0	1.31472953783539	1.5505593596703	0.416807446281045	0.669141947316128
SupportEnv	=~	SEdiverse	1	1	.p13.	1.10595891395753	0.0518823553795447	21.3166674077709	0	1.00427136598051	1.20764646193454	0.32176295452768	0.551927526413717
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.439723201847175	0.700772889307354
Satisf	=~	evalexp	1	1	.p15.	1.10654574283175	0.0730773632441779	15.1421136957881	0	0.96331674278801	1.24977474287549	0.486573837028338	0.684318899656681
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.489072836225123	0.489072836225123
DevAdj	=~	Gains	1	1	.p17.	0.889800243354976	0.0802006125207386	11.0946813919269	0	0.732609931276276	1.04699055543368	0.567922492010818	0.567922492010818
DevAdj	=~	SupportEnv	1	1	.p18.	0.450205179145087	0.0435886554626631	10.3284942920692	0	0.364772984303742	0.535637373986432	0.396661069533373	0.396661069533373
DevAdj	=~	Satisf	1	1	.p19.	1.00483986946458	0.0893296622193288	11.2486697531378	0	0.829756948763568	1.17992279016559	0.585765266602553	0.585765266602553
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.810937293301025	0.559725206366452
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.888857897770615	0.0419140341559394	21.2066892550513	0	0.806707900378192	0.971007895163038	0.720808017747341	0.507161117432993
EmoDiss	=~	MHWdmental	1	1	.p22.	1.17107913343801	0.0466605078368979	25.0978651482218	0	1.07962621857734	1.26253204829868	0.949671742711532	0.64358583965979
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.02466592669034	0.0461517213164311	22.2021172225603	0	0.934210215085602	1.11512163829507	0.830939813128048	0.55174886256606
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.06651237063957	0.0446653409221555	23.8778513411177	0	0.978969911074943	1.1540548302042	0.864874655118513	0.592322691305252
EmoDiss	=~	MHWdfinancial	1	1	.p25.	1.10185205988134	0.0480219219129087	22.9447722204794	0	1.00773082246364	1.19597329729904	0.893532927058332	0.585013073305646
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	1.05040262423067	0.751443351983506
QualEngag	=~	QIstudent	1	1	.p27.	0.862007333681444	0.0244137684819982	35.3082456039942	0	0.814157226729828	0.909857440633059	0.905454765405073	0.693607917720458
QualEngag	=~	QIadvisor	1	1	.p28.	0.925105708221066	0.0249091885458617	37.1391346818786	0	0.876284595787059	0.973926820655072	0.971733463606182	0.715468062879633
QualEngag	=~	QIfaculty	1	1	.p29.	0.891584757515917	0.0246632234548604	36.1503742261319	0	0.843245727801727	0.939923787230107	0.936522969018787	0.695606536222992
