lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.881754250380127	0.00684091038705897	128.894284604013	0	0.868346312400025	0.895162188360228
Belong	=~	sbmyself	1	.p2.	0.843781213840328	0.00748145505135066	112.783035926681	0	0.829117831387726	0.858444596292931
Belong	=~	sbcommunity	1	.p3.	0.891713533484368	0.00652775906341033	136.60331590402	0	0.878919360820329	0.904507706148407
Gains	=~	pganalyze	1		0.73301864130344	0.0104943791563145	69.8486904642074	0	0.712450036116956	0.753587246489924
Gains	=~	pgthink	1	.p5.	0.78204630641833	0.00978466697359624	79.9256948170713	0	0.762868711549362	0.801223901287297
Gains	=~	pgwork	1	.p6.	0.752944371063768	0.0100404360057614	74.9912026361916	0	0.733265478103396	0.772623264024139
Gains	=~	pgvalues	1	.p7.	0.709801818939674	0.0112936851788277	62.8494426487414	0	0.687666602736438	0.73193703514291
Gains	=~	pgprobsolve	1	.p8.	0.771694962768663	0.00971940476914495	79.3973479958847	0	0.752645279469972	0.790744646067354
SupportEnv	=~	SEacademic	1		0.847731246081571	0.00716331726052163	118.343389696499	0	0.833691402241114	0.861771089922027
SupportEnv	=~	SEwellness	1	.p10.	0.834515298545796	0.00717917985890924	116.241035180387	0	0.820444364583799	0.848586232507794
SupportEnv	=~	SEnonacad	1	.p11.	0.790649333532605	0.00842390019063375	93.8578705397889	0	0.774138792549603	0.807159874515607
SupportEnv	=~	SEactivities	1	.p12.	0.778984613295213	0.00853604872635707	91.2582200813725	0	0.762254265221274	0.795714961369152
SupportEnv	=~	SEdiverse	1	.p13.	0.805490073154737	0.00777449507981268	103.606737786262	0	0.790252342800321	0.820727803509154
Satisf	=~	sameinst	1		0.88624612425741	0.0108019365957781	82.0451144477	0	0.8650747175664	0.90741753094842
Satisf	=~	evalexp	1	.p15.	0.862708652667501	0.0110560159981275	78.0306986543444	0	0.841039259498672	0.884378045836329
DevAdj	=~	Belong	1		0.573565327388423	0.0164807748131605	34.8020850894952	0	0.541263602317313	0.605867052459532
DevAdj	=~	Gains	1	.p17.	0.329074105131665	0.0171524451762001	19.1852591132763	0	0.295455930339515	0.362692279923815
DevAdj	=~	SupportEnv	1	.p18.	0.59271529059499	0.0171505956226602	34.5594580873835	0	0.559100740861166	0.626329840328814
DevAdj	=~	Satisf	1	.p19.	0.620598886532805	0.0173972799846929	35.672179046313	0	0.586500844333847	0.654696928731763
EmoDiss	=~	MHWdacad	1		0.911807488448884	0.00401350406020901	227.184892495512	0	0.903941165039069	0.919673811858699
EmoDiss	=~	MHWdlonely	1	.p21.	0.932340841945964	0.00343198013036497	271.662657279666	0	0.925614284494792	0.939067399397137
EmoDiss	=~	MHWdmental	1	.p22.	0.950628497823982	0.002631508000232	361.24856840267	0	0.945470836918498	0.955786158729466
EmoDiss	=~	MHWdexhaust	1	.p23.	0.939738813677249	0.00320339582308843	293.357070301489	0	0.93346027323577	0.946017354118729
EmoDiss	=~	MHWdsleep	1	.p24.	0.924827272691915	0.00372960580800274	247.969174304556	0	0.917517379631698	0.932137165752131
EmoDiss	=~	MHWdfinancial	1	.p25.	0.871599519468689	0.00551754974096781	157.968583952595	0	0.860785320693484	0.882413718243895
QualEngag	=~	QIadmin	1		0.896473781228233	0.00484352871663407	185.086913627555	0	0.886980639385545	0.905966923070921
QualEngag	=~	QIstudent	1	.p27.	0.911222580088621	0.00437229766698672	208.40817563014	0	0.902653034131639	0.919792126045603
QualEngag	=~	QIadvisor	1	.p28.	0.927639578069331	0.00359527233040331	258.016498562508	0	0.920592973787127	0.934686182351535
QualEngag	=~	QIfaculty	1	.p29.	0.93873019895734	0.00327050102164311	287.029477362988	0	0.932320134743518	0.945140263171162
QualEngag	=~	QIstaff	1	.p30.	0.926456275769686	0.00365239103358223	253.657471845512	0	0.919297720886408	0.933614830652964
sbvalued	~~	sbvalued	1		0.22250944193658	0.0120640035087407	18.4440796768143	0	0.198864429550084	0.246154454323077
sbmyself	~~	sbmyself	1		0.288033263170142	0.0126254224085894	22.8137525897103	0	0.263287889959702	0.312778636380582
sbcommunity	~~	sbcommunity	1		0.204846974200823	0.0116417820553328	17.5958434221837	0	0.182029500656506	0.22766444774514
pganalyze	~~	pganalyze	1		0.462683671501659	0.0153851512340633	30.0733911849537	0	0.432529329186193	0.492838013817125
pgthink	~~	pgthink	1		0.388403574617448	0.0153041252629871	25.3790117333134	0	0.358408040287104	0.418399108947792
pgwork	~~	pgwork	1		0.433074774083387	0.0151197796030924	28.6429290275377	0	0.403440550607143	0.462708997559632
pgvalues	~~	pgvalues	1		0.496181377829931	0.0160325567806136	30.9483624240089	0	0.464758143959835	0.527604611700027
pgprobsolve	~~	pgprobsolve	1		0.404486884437472	0.0150008311559549	26.9642981933639	0	0.375085795633634	0.43388797324131
SEacademic	~~	SEacademic	1		0.281351734416987	0.0121451358174385	23.1657956441302	0	0.25754770562746	0.305155763206514
SEwellness	~~	SEwellness	1		0.303584216493021	0.0119822709665002	25.3361167796801	0	0.28009939694568	0.327069036040361
SEnonacad	~~	SEnonacad	1		0.374873631384447	0.0133207020378902	28.142182770708	0	0.348765535141393	0.400981727627502
SEactivities	~~	SEactivities	1		0.393182972249308	0.0132989012876589	29.565071861551	0	0.367117604691543	0.419248339807073
