lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued	1	1		1	0	NA	NA	0.681940613789277	0.882722290934815	0.882722290934815
Belong	=~	sbmyself	1	1		0.964539515471952	0.0308676621751032	31.2475726214834	0	0.657758669204955	0.834438780994984	0.834438780994984
Belong	=~	sbcommunity	1	1		1.00187830779223	0.0272875003743445	36.7156498047798	0	0.683221508157997	0.885280103023935	0.885280103023935
Gains	=~	pganalyze	1	1		1	0	NA	NA	0.507575703445027	0.702043780608671	0.702043780608671
Gains	=~	pgthink	1	1		1.04514728241491	0.0575119363827572	18.1727020189196	0	0.530491367075404	0.786287815439404	0.786287815439404
Gains	=~	pgwork	1	1		0.993601471228238	0.0497132433180766	19.9866555652173	0	0.504327965702686	0.745358935912536	0.745358935912536
Gains	=~	pgvalues	1	1		0.984088735679431	0.0524888925203764	18.7485139888864	0	0.499499532264814	0.693522465467426	0.693522465467426
Gains	=~	pgprobsolve	1	1		1.04055859120476	0.0530396650130537	19.618498551012	0	0.52816225890652	0.758705441690554	0.758705441690554
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	0.603327459467457	0.823121430323973	0.823121430323973
SupportEnv	=~	SEwellness	1	1		1.04874175788223	0.0388867663646826	26.9691171553598	0	0.632734700420521	0.8130817334017	0.8130817334017
SupportEnv	=~	SEnonacad	1	1		0.989254921158376	0.0415291873860031	23.8207146208643	0	0.596844658348162	0.756797087799775	0.756797087799775
SupportEnv	=~	SEactivities	1	1		1.01034981486224	0.0390999041904134	25.8402120358637	0	0.609571786974248	0.756243511562889	0.756243511562889
SupportEnv	=~	SEdiverse	1	1		1.02720922460979	0.0406413374387744	25.2749857496021	0	0.619743531825363	0.77328250150873	0.77328250150873
Satisf	=~	sameinst	1	1		1	0	NA	NA	0.552903299125075	0.822775248151239	0.822775248151239
Satisf	=~	evalexp	1	1		1.15230627978283	0.0649035182199041	17.7541420155163	0	0.637113943694467	0.917271127533629	0.917271127533629
DevAdj	=~	Belong	1	1		1	0	NA	NA	0.473640554095588	0.473640554095588	0.473640554095588
DevAdj	=~	Gains	1	1		0.400853301577788	0.0793560896887221	5.05132376292927	4.38758645859849e-07	0.255082154453586	0.255082154453586	0.255082154453586
DevAdj	=~	SupportEnv	1	1		0.894640911776275	0.0987130255875167	9.06304822946701	0	0.478951016348815	0.478951016348815	0.478951016348815
DevAdj	=~	Satisf	1	1		0.955749432103087	0.106200672990893	8.99946681303086	0	0.558329151636393	0.558329151636393	0.558329151636393
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1.06641648333868	0.916755923518988	0.916755923518988
