lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.882722290934815	0.0125612347192126	70.2735288900128	0	0.858102723283804	0.907341858585825
Belong	=~	sbmyself	1		0.834438780994984	0.0140820528396283	59.2554786221787	0	0.806838464600923	0.862039097389045
Belong	=~	sbcommunity	1		0.885280103023935	0.0121669783697598	72.760884101203	0	0.861433263618528	0.909126942429342
Gains	=~	pganalyze	1		0.702043780608671	0.0201328743118534	34.8705192181792	0	0.662584072052167	0.741503489165176
Gains	=~	pgthink	1		0.786287815439404	0.0186416293508767	42.1791357740102	0	0.749750893298541	0.822824737580267
Gains	=~	pgwork	1		0.745358935912536	0.0187733896587758	39.702949198847	0	0.708563768313598	0.782154103511473
Gains	=~	pgvalues	1		0.693522465467426	0.0216964990584853	31.9647176071107	0	0.650998108722188	0.736046822212665
Gains	=~	pgprobsolve	1		0.758705441690554	0.0189250607631006	40.0899870910771	0	0.721613004189645	0.795797879191463
SupportEnv	=~	SEacademic	1		0.823121430323973	0.013902438214071	59.2069835268804	0	0.7958731521271	0.850369708520845
SupportEnv	=~	SEwellness	1		0.8130817334017	0.014424702630408	56.3673133675342	0	0.7848098357584	0.841353631045
SupportEnv	=~	SEnonacad	1		0.756797087799775	0.0171040207788037	44.2467357580413	0	0.723273823082495	0.790320352517055
SupportEnv	=~	SEactivities	1		0.756243511562889	0.016841236075098	44.9042759207618	0	0.72323529540056	0.789251727725218
SupportEnv	=~	SEdiverse	1		0.77328250150873	0.0161141713210746	47.9877299366558	0	0.741699306078715	0.804865696938744
Satisf	=~	sameinst	1		0.822775248151239	0.0238286180732669	34.5288696818848	0	0.776072014926275	0.869478481376202
Satisf	=~	evalexp	1		0.917271127533629	0.0231130687940751	39.6862543743549	0	0.871970345125045	0.962571909942213
DevAdj	=~	Belong	1		0.473640554095588	0.0353429083321685	13.401289719683	0	0.404369726655638	0.542911381535539
DevAdj	=~	Gains	1		0.255082154453586	0.0412500985661444	6.18379502886671	6.25786089614166e-10	0.174233446905215	0.335930862001956
DevAdj	=~	SupportEnv	1		0.478951016348815	0.0363963898202061	13.1593001040701	0	0.407615403133931	0.550286629563699
DevAdj	=~	Satisf	1		0.558329151636393	0.03151523043805	17.7161690990618	0	0.496560435013334	0.620097868259451
EmoDiss	=~	MHWdacad	1		0.916755923518988	0.0074459959676771	123.120658068928	0	0.90216203959331	0.931349807444666
EmoDiss	=~	MHWdlonely	1		0.937379435661373	0.00561001481324591	167.090367292455	0	0.926384008674675	0.948374862648072
EmoDiss	=~	MHWdmental	1		0.941775754449806	0.00570030078738377	165.215098216255	0	0.930603370205489	0.952948138694124
EmoDiss	=~	MHWdexhaust	1		0.943350321397992	0.0052154535845695	180.875988272429	0	0.933128220209196	0.953572422586789
EmoDiss	=~	MHWdsleep	1		0.930600371025172	0.00627448222703501	148.315085986772	0	0.918302611838546	0.942898130211797
EmoDiss	=~	MHWdfinancial	1		0.889156480444324	0.00871687922339741	102.003992215207	0	0.87207171110888	0.906241249779769
QualEngag	=~	QIadmin	1		0.889907198778172	0.00822173424738476	108.238380371056	0	0.873792895762838	0.906021501793506
QualEngag	=~	QIstudent	1		0.913786030435625	0.00641819745668929	142.374247068894	0	0.901206594574848	0.926365466296403
QualEngag	=~	QIadvisor	1		0.917964740969165	0.00649403776626885	141.355005007398	0	0.905236660833036	0.930692821105295
QualEngag	=~	QIfaculty	1		0.923089973273002	0.00619068599285267	149.109480651859	0	0.910956451687415	0.93522349485859
QualEngag	=~	QIstaff	1		0.901357166432295	0.00737204822342325	122.266857068082	0	0.886908217422093	0.915806115442498
EmoDiss	~	x_FASt	1	W1__a1_g1	0.114970188761286	0.108064690367353	1.06390152389702	0.287373312617236	-0.0968327123591974	0.32677308988177
EmoDiss	~	credit_dose_c	1	W1__a1c_g1	-0.251500609550045	0.321075302130729	-0.783307242509873	0.433446711215734	-0.88079663805159	0.377795418951499
EmoDiss	~	XZ_c	1	W1__a1z_g1	0.138902473759278	0.255928367997665	0.542739653466414	0.587309068011944	-0.36270791013826	0.640512857656815
EmoDiss	~	cohort	1	W1__g1_g1	0.0144093670539048	0.0354404975376253	0.406579141238272	0.684317119789092	-0.0550527317140213	0.0838714658218309
EmoDiss	~	hgrades_c	1		-0.0015259700617312	0.035061179009802	-0.0435230675301759	0.965284576716021	-0.0702446181764548	0.0671926780529924
EmoDiss	~	bparented_c	1		-0.023249379413873	0.0342398032862434	-0.679016150283025	0.497127628923927	-0.0903581606926463	0.0438594018649002
EmoDiss	~	pell	1		0.107806293700778	0.0375622476764042	2.87007035972715	0.00410380471765337	0.034185641076652	0.181426946324903
EmoDiss	~	hapcl	1		-0.109298175650064	0.0364534412941128	-2.99829513401016	0.00271494618154566	-0.18074560769907	-0.0378507436010572
EmoDiss	~	hprecalc13	1		-0.022270766941155	0.0353548624053081	-0.629920905527589	0.528746334341083	-0.0915650239339279	0.047023490051618
EmoDiss	~	hchallenge_c	1		-0.00391447089712711	0.0370399843130582	-0.105682304399548	0.915834420759171	-0.0765115061386496	0.0686825643443954
EmoDiss	~	cSFcareer_c	1		0.0817396699370778	0.0364109717892727	2.24491865831386	0.024773354906771	0.0103754765879995	0.153103863286156
QualEngag	~	x_FASt	1	W1__a2_g1	-0.179207946741859	0.104118878985135	-1.72118590296621	0.0852170950586837	-0.383277199663408	0.0248613061796899
