lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued	1	1		1	0	NA	NA	0.671035646945718	0.863621432386704	0.863621432386704
Belong	=~	sbmyself	1	1		0.999171780639131	0.0201813320821753	49.5097041449325	0	0.670479882231084	0.833995521240224	0.833995521240224
Belong	=~	sbcommunity	1	1		1.01386379860842	0.0192830381803845	52.5780112617192	0	0.680338750014042	0.893556475984564	0.893556475984564
Gains	=~	pganalyze	1	1		1	0	NA	NA	0.524056708294588	0.722863748717105	0.722863748717105
Gains	=~	pgthink	1	1		1.01791138936673	0.0298211259558732	34.1339019483354	0	0.533443292047101	0.791729359512813	0.791729359512813
Gains	=~	pgwork	1	1		0.961332382865189	0.0284714520063047	33.7647824442642	0	0.503792684141323	0.730940344868507	0.730940344868507
Gains	=~	pgvalues	1	1		0.988393342572202	0.0307531407265231	32.13959027345	0	0.517974161608673	0.712605768686155	0.712605768686155
Gains	=~	pgprobsolve	1	1		1.02371488627705	0.0299867877046705	34.1388646346273	0	0.53648465353452	0.772203259103932	0.772203259103932
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	0.609730241887393	0.826122152602166	0.826122152602166
SupportEnv	=~	SEwellness	1	1		0.963739584513957	0.0227016761382565	42.4523536784088	0	0.587621169982151	0.805884058442753	0.805884058442753
SupportEnv	=~	SEnonacad	1	1		0.965272301686637	0.0238593246463236	40.456815773089	0	0.588555713994594	0.75446413324515	0.75446413324515
SupportEnv	=~	SEactivities	1	1		1.00280339489013	0.0250244223590758	40.072988718816	0	0.61143955653186	0.745247459678736	0.745247459678736
SupportEnv	=~	SEdiverse	1	1		0.981244928566587	0.0244804817535387	40.0827458562879	0	0.598294707645683	0.776185047462107	0.776185047462107
Satisf	=~	sameinst	1	1		1	0	NA	NA	0.541461452290403	0.83297758511073	0.83297758511073
Satisf	=~	evalexp	1	1		1.08019242721887	0.0445846056090259	24.2279237970917	0	0.584882560395025	0.874144284261088	0.874144284261088
DevAdj	=~	Belong	1	1		1	0	NA	NA	0.414699072474051	0.414699072474051	0.414699072474051
DevAdj	=~	Gains	1	1		0.65421463440822	0.0611997996206279	10.6898166082837	0	0.347392650097721	0.347392650097721	0.347392650097721
DevAdj	=~	SupportEnv	1	1		0.90352104399343	0.0733756578329252	12.3136346668364	0	0.412362526348368	0.412362526348368	0.412362526348368
DevAdj	=~	Satisf	1	1		0.969014721507444	0.0786550852993592	12.3197974780575	0	0.498013925538755	0.498013925538755	0.498013925538755
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	0.952313480095371	0.8981362344992	0.8981362344992
EmoDiss	=~	MHWdlonely	1	1		1.00828399605056	0.0145554014703866	69.2721528912782	0	0.960202441203373	0.923857689378665	0.923857689378665
EmoDiss	=~	MHWdmental	1	1		1.01100049788358	0.0139235851844164	72.6106447795578	0	0.962789402517661	0.938006858715565	0.938006858715565
EmoDiss	=~	MHWdexhaust	1	1		1.0072249335399	0.0144941858144644	69.4916531658335	0	0.959193881698213	0.927857108212762	0.927857108212762
EmoDiss	=~	MHWdsleep	1	1		1.01334378129511	0.0150006720105828	67.5532256541714	0	0.965020942898149	0.91463291885531	0.91463291885531
EmoDiss	=~	MHWdfinancial	1	1		0.999329435502744	0.0165306413327731	60.4531557720937	0	0.951674892485361	0.851393391394131	0.851393391394131
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	0.995378767294713	0.895391963407321	0.895391963407321
QualEngag	=~	QIstudent	1	1		0.997954262031954	0.0139760645032044	71.4045260597607	0	0.993342483157872	0.913032166028149	0.913032166028149
QualEngag	=~	QIadvisor	1	1		0.991223691794294	0.0145237054918841	68.2486774706494	0	0.986643016451519	0.913085696552493	0.913085696552493
QualEngag	=~	QIfaculty	1	1		0.999581180219277	0.0140947588555986	70.9186436220746	0	0.994961882977658	0.93313828578947	0.93313828578947
QualEngag	=~	QIstaff	1	1		1.00019867550365	0.0143036468013157	69.9261306851939	0	0.995576524672632	0.91685156691166	0.91685156691166
EmoDiss	~	x_FASt	1	1	W2__a1_g1	0.343587109844867	0.106253591746382	3.2336517212988	0.00122218399105645	0.360792025972853	0.180300753046185	0.360792025972853
EmoDiss	~	credit_dose_c	1	1	W2__a1c_g1	-0.126417698230172	0.0737824410002823	-1.71338460094711	0.0866418073847086	-0.13274798779233	-0.242827876402125	-0.13274798779233
EmoDiss	~	XZ_c	1	1	W2__a1z_g1	0.167736256487163	0.0768313350315516	2.18317508628843	0.0290229187230253	0.176135547792902	0.245654676461632	0.176135547792902
EmoDiss	~	cohort	1	1	W2__g1_g1	0.094001344118878	0.0411529406475833	2.28419506940868	0.0223600692186412	0.0987084044105561	0.0493431509060382	0.0987084044105561
EmoDiss	~	hgrades_c	1	1		0.0190371285379169	0.0214504951757903	0.887491332107	0.374814430833871	0.0199904012027745	0.0190792276091506	0.0199904012027745
EmoDiss	~	bparented_c	1	1		0.0160820048186525	0.0217681995424274	0.738784334795708	0.460037965625952	0.0168873014556529	0.016433478872238	0.0168873014556529
EmoDiss	~	pell	1	1		0.0592444621368236	0.0412348845423018	1.43675586325569	0.15078737558715	0.0622110926445045	0.0311001209593999	0.0622110926445045
EmoDiss	~	hapcl	1	1		-0.048713849807335	0.0485787652775771	-1.00278073205414	0.315966667392388	-0.0511531662897983	-0.0210665648145164	-0.0511531662897983
EmoDiss	~	hprecalc13	1	1		-0.0357238280510344	0.0453111164494403	-0.788412002403345	0.430455752502354	-0.0375126770729495	-0.0172624851083042	-0.0375126770729495
EmoDiss	~	hchallenge_c	1	1		-0.0061198030031073	0.0160970204388323	-0.380182346562968	0.703810062573417	-0.00642624842661517	-0.0080068751027094	-0.00642624842661517
EmoDiss	~	cSFcareer_c	1	1		0.0225623751438267	0.0246113156239618	0.916748031212917	0.359274690682935	0.0236921723942909	0.0194130988430103	0.0236921723942909
QualEngag	~	x_FASt	1	1	W2__a2_g1	-0.176474702204916	0.113080517289426	-1.56061102686004	0.118615555433306	-0.177294019124546	-0.0886001986117778	-0.177294019124546
QualEngag	~	credit_dose_c	1	1	W2__a2c_g1	0.00644007927395886	0.0767763317292867	0.0838810493924948	0.933151006846846	0.00646997855043865	0.0118351409908233	0.00646997855043865
QualEngag	~	XZ_c	1	1	W2__a2z_g1	-0.0399734280728692	0.0793929901819998	-0.503488128879319	0.614621124511041	-0.0401590122135224	-0.0560094159069526	-0.0401590122135224
QualEngag	~	cohort	1	1	W2__g2_g1	0.0208360776785507	0.0428543902272341	0.486206373911004	0.626820852655833	0.0209328130789648	0.0104640629216046	0.0209328130789648
QualEngag	~	hgrades_c	1	1		0.0106138182374716	0.021671986631549	0.489748282791042	0.624312031143015	0.0106630948802718	0.0101770650911418	0.0106630948802718
QualEngag	~	bparented_c	1	1		-0.00605936511431739	0.0223928974495366	-0.270593170355576	0.786703949196441	-0.00608749685387183	-0.00592390389877422	-0.00608749685387183
QualEngag	~	pell	1	1		-0.110372805426194	0.043083560579289	-2.56183110082253	0.0104121940686284	-0.110885231886321	-0.0554329457606837	-0.110885231886321
QualEngag	~	hapcl	1	1		0.0769548143278168	0.0513138654054391	1.49968850952437	0.133695108384224	0.0773120914935409	0.0318396749317026	0.0773120914935409
QualEngag	~	hprecalc13	1	1		0.145552080042975	0.0467886931632546	3.11083875617377	0.00186556777679181	0.146227832886734	0.0672907396802958	0.146227832886734
QualEngag	~	hchallenge_c	1	1		-0.00309850271686836	0.0169767824930959	-0.182514131763687	0.855179265073984	-0.00311288809715081	-0.00387854694495922	-0.00311288809715081
QualEngag	~	cSFcareer_c	1	1		-0.0363183284987174	0.0259351206366409	-1.40035317388912	0.161407584948823	-0.0364869431537353	-0.0298969896949359	-0.0364869431537353
DevAdj	~	x_FASt	1	1	W2__c_g1	0.00577303753367898	0.0411895680186859	0.140157758660154	0.888535346098518	0.0207455868953547	0.010367315989126	0.0207455868953547
DevAdj	~	credit_dose_c	1	1	W2__cc_g1	0.0234553517340773	0.0285184939411871	0.822461094279685	0.410814520629183	0.0842875236340817	0.15418207621555	0.0842875236340817
DevAdj	~	XZ_c	1	1	W2__cz_g1	-0.0192864648977428	0.0295155666586623	-0.653433665048154	0.513476741426923	-0.069306501318614	-0.0966611588146315	-0.069306501318614
DevAdj	~	EmoDiss	1	1	W2__b1_g1	-0.166441786510811	0.0122882840197349	-13.544754193792	0	-0.569591690570973	-0.569591690570973	-0.569591690570973
DevAdj	~	QualEngag	1	1	W2__b2_g1	0.1531969206764	0.0113908333563335	13.4491407155227	0	0.547973747696004	0.547973747696004	0.547973747696004
DevAdj	~	cohort	1	1	W2__g3_g1	-0.0153616559373419	0.0158579531590225	-0.968703576262096	0.332693107720002	-0.0552025803133102	-0.0275951097281749	-0.0552025803133102
DevAdj	~	hgrades_c	1	1		0.0015865728208579	0.00824004137819235	0.192544278364529	0.847315887588501	0.00570139794326615	0.00544152505727701	0.00570139794326615
DevAdj	~	bparented_c	1	1		-0.0101465410368101	0.00818449062028262	-1.2397278593814	0.215076069025651	-0.036461905459375	-0.0354820427989458	-0.036461905459375
DevAdj	~	pell	1	1		-0.00594215187801347	0.0158337960648998	-0.375282835124168	0.707450130448722	-0.0213533044626102	-0.0106747900324611	-0.0213533044626102
DevAdj	~	hapcl	1	1		0.0106957974877852	0.0191096001458026	0.559708073752369	0.575678574406778	0.0384356753101792	0.0158290816354233	0.0384356753101792
DevAdj	~	hprecalc13	1	1		-0.0113949331500077	0.0167840516519461	-0.678914328095887	0.49719214663509	-0.0409480406893517	-0.0188433617051525	-0.0409480406893517
DevAdj	~	hchallenge_c	1	1		-0.00580819847029611	0.00650591230305313	-0.892756957017451	0.371987341323032	-0.0208719387961794	-0.0260056872996471	-0.0208719387961794
DevAdj	~	cSFcareer_c	1	1		-0.00207606709362495	0.00993681639087276	-0.208926784189338	0.83450539477765	-0.00746041057937416	-0.0061129762850168	-0.00746041057937416
sbvalued	~~	sbvalued	1	1		0.153443388621473	0.00757798450877488	20.2485751249286	0	0.153443388621473	0.254158021522337	0.254158021522337
sbmyself	~~	sbmyself	1	1		0.196771475443119	0.00842504262843205	23.3555465676902	0	0.196771475443119	0.304451470551247	0.304451470551247
sbcommunity	~~	sbcommunity	1	1		0.116843325504568	0.00685114913432802	17.0545587628678	0	0.116843325504568	0.201556824226048	0.201556824226048
pganalyze	~~	pganalyze	1	1		0.25095043285774	0.00875710257813762	28.6567880892758	0	0.25095043285774	0.477468000790654	0.477468000790654
