lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.694014811594472	0.0193234926697618	35.915598875171	0	0.656141461906215	0.731888161282729
Belong	=~	sbmyself	1		0.704545579305144	0.0181588348980069	38.7990519910765	0	0.668954916903841	0.740136241706446
Belong	=~	sbcommunity	1		0.73468373364949	0.0182876291987981	40.1738096099288	0	0.698840639057223	0.770526828241758
Gains	=~	pganalyze	1		0.646337390903546	0.0249546892058039	25.9004384135236	0	0.59742709881478	0.695247682992312
Gains	=~	pgthink	1		0.455798302349572	0.025526477290002	17.8559029971635	0	0.405767326208989	0.505829278490156
Gains	=~	pgwork	1		0.468159834978379	0.0268187478809717	17.4564389454791	0	0.415596055021215	0.520723614935544
Gains	=~	pgvalues	1		0.504172305778057	0.0280296191353044	17.9871265229941	0	0.449235261772486	0.559109349783628
Gains	=~	pgprobsolve	1		0.579253358787249	0.0233717210683858	24.7843689855938	0	0.533445627236497	0.625061090338001
SupportEnv	=~	SEacademic	1		0.573079040737786	0.0215735238466216	26.5639978342031	0	0.530795710978791	0.61536237049678
SupportEnv	=~	SEwellness	1		0.631961114059268	0.0216988948174833	29.1241152775247	0	0.589432061712677	0.674490166405858
SupportEnv	=~	SEnonacad	1		0.583110286739802	0.0223914186464559	26.0416856987352	0	0.53922391262999	0.626996660849614
SupportEnv	=~	SEactivities	1		0.668383770700423	0.0193679295509266	34.5098204195216	0	0.630423326325498	0.706344215075349
SupportEnv	=~	SEdiverse	1		0.53194854513534	0.0233739862478935	22.758144010771	0	0.486136373914335	0.577760716356346
Satisf	=~	sameinst	1		0.619478210087786	0.0377845642718031	16.3950073800394	0	0.545421824943513	0.693534595232059
Satisf	=~	evalexp	1		0.800771846831899	0.0454263005630286	17.6279344103937	0	0.711737933777472	0.889805759886327
DevAdj	=~	Belong	1		0.537964961464103	0.0308074997490562	17.4621428498294	0	0.477583371502226	0.59834655142598
DevAdj	=~	Gains	1		0.572868999981235	0.0415102257499964	13.8006717533037	0	0.491510452521115	0.654227547441356
DevAdj	=~	SupportEnv	1		0.387664738689038	0.0415436153024232	9.33151185487764	0	0.306240748908702	0.469088728469375
DevAdj	=~	Satisf	1		0.506589095106701	0.040919049147194	12.3802753403286	0	0.426389232496576	0.586788957716825
EmoDiss	=~	MHWdacad	1		0.508219951483724	0.0232694073692129	21.8406916609374	0	0.462612751098476	0.553827151868972
EmoDiss	=~	MHWdlonely	1		0.471243638789708	0.0241017972550717	19.5522198532537	0	0.424004984207081	0.518482293372334
EmoDiss	=~	MHWdmental	1		0.599231240238108	0.020522923517986	29.1981422487371	0	0.559007049285386	0.639455431190831
