lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.861918996646019	0.00713347930081344	120.82729342857	0	0.847937634131963	0.875900359160076
Belong	=~	sbmyself	1		0.831725296376698	0.00805662259227987	103.234983003137	0	0.815934606258798	0.847515986494599
Belong	=~	sbcommunity	1		0.880984514382292	0.00689995686311723	127.679713345959	0	0.867460847435703	0.894508181328882
Gains	=~	pganalyze	1		0.728800432528106	0.0105687487739467	68.9580619348897	0	0.708086065569519	0.749514799486693
Gains	=~	pgthink	1		0.756988312078464	0.0104235757592463	72.6227092854363	0	0.736558479000217	0.777418145156712
Gains	=~	pgwork	1		0.743474566678922	0.0104082383247617	71.4313549979115	0	0.72307479441988	0.763874338937965
Gains	=~	pgvalues	1		0.68158062275049	0.01177442155651	57.8865483522331	0	0.658503180560939	0.704658064940042
Gains	=~	pgprobsolve	1		0.761958890683493	0.0103260230758545	73.7901595886603	0	0.741720257351288	0.782197524015697
SupportEnv	=~	SEacademic	1		0.840707125833287	0.00717189096415818	117.222519142407	0	0.826650477842489	0.854763773824086
SupportEnv	=~	SEwellness	1		0.821118061675093	0.00762909951870584	107.629748394524	0	0.806165301383957	0.836070821966228
SupportEnv	=~	SEnonacad	1		0.770453134730652	0.0093592650472307	82.3198328974155	0	0.752109312316316	0.788796957144989
SupportEnv	=~	SEactivities	1		0.75315708113597	0.00940719490367417	80.0618132023405	0	0.73471931792922	0.77159484434272
SupportEnv	=~	SEdiverse	1		0.784489406564032	0.00856891451960285	91.550616448487	0	0.767694642719008	0.801284170409055
Satisf	=~	sameinst	1		0.853240683211213	0.0156067094802311	54.6714017001472	0	0.82265209471278	0.883829271709646
Satisf	=~	evalexp	1		0.867216726951437	0.0155524806949303	55.760668922362	0	0.836734424919119	0.897699028983755
DevAdj	=~	Belong	1		0.48047088234963	0.0210339194936237	22.8426700261586	0	0.439245157688413	0.521696607010847
DevAdj	=~	Gains	1		0.321430896725333	0.020969412948269	15.3285596272196	0	0.280331602569778	0.362530190880888
DevAdj	=~	SupportEnv	1		0.499194369305524	0.0214335517470298	23.2903242167832	0	0.45718537982057	0.541203358790478
DevAdj	=~	Satisf	1		0.523683439751885	0.0200478374777096	26.1216921941904	0	0.484390400327662	0.562976479176108
EmoDiss	=~	MHWdacad	1		0.9024892333139	0.00409321008379547	220.48446447612	0	0.894466688968505	0.910511777659295
EmoDiss	=~	MHWdlonely	1		0.924633634985746	0.00336626765758105	274.676207907417	0	0.918035871614565	0.931231398356927
EmoDiss	=~	MHWdmental	1		0.941850412583229	0.00281708029522311	334.335664546131	0	0.936329036663034	0.947371788503423
EmoDiss	=~	MHWdexhaust	1		0.931780034463522	0.00314642762780195	296.139032797157	0	0.925613149633069	0.937946919293976
EmoDiss	=~	MHWdsleep	1		0.910502186900468	0.00382914935884713	237.781841754692	0	0.902997192065703	0.918007181735233
EmoDiss	=~	MHWdfinancial	1		0.855818756286492	0.00565255674181094	151.403832880819	0	0.844739948651974	0.866897563921011
QualEngag	=~	QIadmin	1		0.890154349214296	0.00448261464577681	198.579271152146	0	0.881368585952002	0.898940112476591
QualEngag	=~	QIstudent	1		0.907628719007904	0.0039723237143031	228.488105271938	0	0.899843107592935	0.915414330422872
QualEngag	=~	QIadvisor	1		0.921700657259734	0.00355057856934397	259.591680414506	0	0.91474165113954	0.928659663379928
QualEngag	=~	QIfaculty	1		0.933190020756469	0.00312007068675982	299.092589381551	0	0.927074794581201	0.939305246931738
QualEngag	=~	QIstaff	1		0.922164883677329	0.00355665109452147	259.278984406931	0	0.915193975626492	0.929135791728166
EmoDiss	~	x_FASt	1	W3__a1_g1	0.10450861585367	0.0516954821776871	2.02161990663816	0.043215633916762	0.00318733262197131	0.205829899085369
EmoDiss	~	credit_dose_c	1	W3__a1c_g1	0.00378385595147643	0.121549859149733	0.0311300726956436	0.975165806743479	-0.234449490307917	0.24201720221087
