lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.700647303682094	0.882736934302902	0.882736934302902
Belong	=~	sbmyself	1	1		0.974278106022237	0.0191441131357475	50.8917858515463	0	0.936756333760212	1.01179987828426	0.682625328020978	0.836804438919885	0.836804438919885
Belong	=~	sbcommunity	1	1		0.99300876560104	0.0189525049398763	52.3945921001575	0	0.955862538502065	1.03015499270002	0.695748914151054	0.886726484144355	0.886726484144355
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.524460163807049	0.732740524578039	0.732740524578039
Gains	=~	pgthink	1	1		0.998288669586604	0.0314711003357304	31.7208060390951	0	0.936606446374726	1.05997089279848	0.523562639178111	0.778578264934783	0.778578264934783
Gains	=~	pgwork	1	1		0.986963422620392	0.0314093894173244	31.4225599710644	0	0.925402150586042	1.04852469465474	0.517622998299056	0.748607884169116	0.748607884169116
Gains	=~	pgvalues	1	1		1.00577912975863	0.0336326794923924	29.9048171284161	0	0.939860289249958	1.07169797026729	0.52749108714692	0.717187399706688	0.717187399706688
Gains	=~	pgprobsolve	1	1		0.987626291623772	0.0312134055289752	31.6410937828289	0	0.926449140952137	1.04880344229541	0.517970646685151	0.76380627593231	0.76380627593231
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.648514184401845	0.845983709036219	0.845983709036219
SupportEnv	=~	SEwellness	1	1		0.985478554991568	0.0223819600461779	44.0300381628041	0	0.941610719397645	1.02934639058549	0.639096821335865	0.829671808120991	0.829671808120991
SupportEnv	=~	SEnonacad	1	1		0.979964319217239	0.0231902763695237	42.2575524155932	0	0.934512212741442	1.02541642569304	0.635520761220077	0.788509265578403	0.788509265578403
SupportEnv	=~	SEactivities	1	1		0.957303348401314	0.0229624939185662	41.6898683477622	0	0.912297687325704	1.00230900947692	0.620824800213633	0.770002870040535	0.770002870040535
SupportEnv	=~	SEdiverse	1	1		0.959772163945208	0.0219088523531967	43.8075052254011	0	0.916831602390337	1.00271272550008	0.62242586211252	0.795455141019993	0.795455141019993
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.602151237982808	0.886020759426624	0.886020759426624
Satisf	=~	evalexp	1	1		0.998881574731849	0.0305728570223068	32.6721697616627	0	0.938959876063635	1.05880327340006	0.601477776822999	0.857164113741697	0.857164113741697
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.537899840701875	0.537899840701875	0.537899840701875
DevAdj	=~	Gains	1	1		0.439756746093472	0.0403610046570653	10.8955847315979	0	0.36065063058577	0.518862861601173	0.316010035672592	0.316010035672592	0.316010035672592
DevAdj	=~	SupportEnv	1	1		0.985028670666588	0.0546743593456661	18.016281899875	0	0.877868895471281	1.09218844586189	0.572440381749243	0.572440381749243	0.572440381749243
DevAdj	=~	Satisf	1	1		0.982207171104277	0.0542744983060206	18.0970290239481	0	0.875831109145497	1.08858323306306	0.614749788127541	0.614749788127541	0.614749788127541
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.04116006951683	0.910510728179248	0.910510728179248
EmoDiss	=~	MHWdlonely	1	1		1.02763461806721	0.0145908144881829	70.4302435549083	0	0.999037147165265	1.05623208896915	1.06993213038475	0.933859360730948	0.933859360730948
EmoDiss	=~	MHWdmental	1	1		1.01672030765935	0.0137596278111976	73.8915559061808	0	0.989751932708724	1.04368868260997	1.05856858620177	0.94997658575213	0.94997658575213
EmoDiss	=~	MHWdexhaust	1	1		1.03122429389592	0.0134954990015329	76.4124612049388	0	1.00477360189952	1.05767498589232	1.07366955752012	0.940088260223973	0.940088260223973
EmoDiss	=~	MHWdsleep	1	1		1.00975990547572	0.0143520042955955	70.35671706046	0	0.981630493950388	1.03788931700105	1.0513216933804	0.924692577606052	0.924692577606052
EmoDiss	=~	MHWdfinancial	1	1		1.0159077739963	0.0162283836971127	62.6006750245278	0	0.984100726422658	1.04771482156993	1.05772260859667	0.87246723088609	0.87246723088609
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	1.02774587453424	0.895931088620208	0.895931088620208
QualEngag	=~	QIstudent	1	1		1.01909107023021	0.0154773185289335	65.8441621089021	0	0.988756083336246	1.04942605712417	1.04736664320378	0.912830391625435	0.912830391625435
QualEngag	=~	QIadvisor	1	1		1.01364301730508	0.0153470165028542	66.0482131570373	0	0.983563417689346	1.04372261692082	1.04176742928574	0.927157892208733	0.927157892208733
QualEngag	=~	QIfaculty	1	1		1.01341727925902	0.0142432185486984	71.1508621309214	0	0.98550108387964	1.0413334746384	1.04153542794018	0.939249670509482	0.939249670509482
QualEngag	=~	QIstaff	1	1		0.999247696053947	0.0150048732245938	66.5948776172348	0	0.969838684941154	1.02865670716674	1.02697269725729	0.925508988207584	0.925508988207584
EmoDiss	~	x_FASt	1	1	W4__a1_g1	0.138017055755942	0.129385935687011	1.06670833288874	0.286103563107817	-0.115574718296616	0.391608829808499	0.132560842272785	0.0662330946173351	0.132560842272785
EmoDiss	~	credit_dose_c	1	1	W4__a1c_g1	-0.0205517461879125	0.0879909665773193	-0.233566546514218	0.815321501435786	-0.193010871644326	0.151907379268501	-0.0197392762070197	-0.036596660258113	-0.0197392762070197
EmoDiss	~	XZ_c	1	1	W4__a1z_g1	0.0193976090006285	0.0906340414506254	0.214021229663423	0.830530501855179	-0.158241848015908	0.197037066017165	0.018630765401549	0.0261830208099796	0.018630765401549
EmoDiss	~	cohort	1	1	W4__g1_g1	-0.0021510009530702	0.0471941063399559	-0.0455777451865658	0.963646807503042	-0.0946497496619372	0.0903477477557968	-0.00206596566277116	-0.00103182067538124	-0.00206596566277116
EmoDiss	~	hgrades_c	1	1		-0.06306669890384	0.0248687163767976	-2.53598528964209	0.0112131444233847	-0.111808487344105	-0.0143249104635753	-0.0605734898507081	-0.0562696920914568	-0.0605734898507081
EmoDiss	~	bparented_c	1	1		0.02426834532359	0.0246192712638851	0.985745884330462	0.324257827151922	-0.0239845396792467	0.0725212303264266	0.0233089474271254	0.0222672803924111	0.0233089474271254
EmoDiss	~	pell	1	1		0.415318676608654	0.0507329831956356	8.18636418456037	2.22044604925031e-16	0.315883856716933	0.514753496500376	0.398899927848167	0.197620969797532	0.398899927848167
EmoDiss	~	hapcl	1	1		-0.0719930044569476	0.0570862457128956	-1.2611269765229	0.207263102706485	-0.183879990066827	0.0398939811529317	-0.069146912722419	-0.0302086334490329	-0.069146912722419
EmoDiss	~	hprecalc13	1	1		-0.151499722231243	0.049883509734386	-3.03707022697342	0.00238889792516361	-0.249269604733092	-0.0537298397293929	-0.145510499938352	-0.070314259934591	-0.145510499938352
EmoDiss	~	hchallenge_c	1	1		0.00719148657350114	0.0203050905110272	0.354171608818764	0.723210279244864	-0.0326057595309382	0.0469887326779405	0.00690718630502082	0.00827484208312152	0.00690718630502082
EmoDiss	~	cSFcareer_c	1	1		-0.0196085625491708	0.0295721973790295	-0.663074248350438	0.507283002493538	-0.0775690043557784	0.0383518792574368	-0.0188333793460506	-0.0153485776738356	-0.0188333793460506
QualEngag	~	x_FASt	1	1	W4__a2_g1	-0.0745048446055365	0.130517598209866	-0.570841370262854	0.568107176751434	-0.330314636445543	0.18130494723447	-0.0724934504254768	-0.0362208437940308	-0.0724934504254768
QualEngag	~	credit_dose_c	1	1	W4__a2c_g1	0.0542091553265582	0.0884338893292937	0.612990740740851	0.539882462102308	-0.119118082771658	0.227536393424775	0.0527456802987653	0.0977906039579351	0.0527456802987653
QualEngag	~	XZ_c	1	1	W4__a2z_g1	-0.056698639775356	0.0908950847228477	-0.623781142272307	0.532771325741856	-0.234849732203854	0.121452452653142	-0.0551679565739447	-0.0775311010517876	-0.0551679565739447
QualEngag	~	cohort	1	1	W4__g2_g1	-0.0365129101262673	0.0470785612017876	-0.775574044622267	0.438000530510497	-0.128785194525736	0.055759374273201	-0.0355271775163431	-0.0177436038555122	-0.0355271775163431
QualEngag	~	hgrades_c	1	1		0.0224075824439615	0.0256230399975616	0.874509131082571	0.381841049745817	-0.0278126531256884	0.0726278180136115	0.0218026488835251	0.0202535522136465	0.0218026488835251
QualEngag	~	bparented_c	1	1		0.014324558564187	0.0247568001555534	0.578611067431257	0.562851635277935	-0.0341978781131532	0.0628469952415273	0.0139378409771566	0.0133149647393348	0.0139378409771566
QualEngag	~	pell	1	1		-0.430382610296987	0.0493849782853754	-8.71484862886814	0	-0.527175389113615	-0.333589831480358	-0.41876364669625	-0.207461752180521	-0.41876364669625
QualEngag	~	hapcl	1	1		0.199426226905981	0.0554352205053866	3.5974643031609	0.000321334579517218	0.0907751912403874	0.308077262571575	0.194042352148928	0.0847724657380777	0.194042352148928
QualEngag	~	hprecalc13	1	1		0.0652988471307285	0.0491007138574498	1.32989608502038	0.183552511514893	-0.0309367836450797	0.161534477906537	0.0635359856446233	0.0307021542205491	0.0635359856446233
QualEngag	~	hchallenge_c	1	1		-0.019047895147166	0.0194577802427256	-0.978934642572457	0.327612273822238	-0.0571844436420031	0.0190886533476712	-0.0185336624735158	-0.022203415894362	-0.0185336624735158
QualEngag	~	cSFcareer_c	1	1		-0.0185437022053098	0.028781382526681	-0.644295046915115	0.519384126890108	-0.074954175382875	0.0378667709722554	-0.0180430811397939	-0.0147045109250412	-0.0180430811397939
DevAdj	~	x_FASt	1	1	W4__c_g1	-0.0660488941393721	0.0491565883115689	-1.34364276301551	0.179063934215904	-0.16239403683291	0.0302962485541654	-0.175252684792232	-0.0875637741490798	-0.175252684792232
DevAdj	~	credit_dose_c	1	1	W4__cc_g1	0.0940107373225364	0.0344245707154467	2.73091967070929	0.00631578637876462	0.0265398185370087	0.161481656108064	0.24944602524769	0.462473463716969	0.24944602524769
DevAdj	~	XZ_c	1	1	W4__cz_g1	-0.106922647243598	0.0351905547245645	-3.03839050223784	0.00237845523854396	-0.17589486709973	-0.0379504273874657	-0.283706203392181	-0.398710695306171	-0.283706203392181
DevAdj	~	EmoDiss	1	1	W4__b1_g1	-0.218069061590077	0.0120479234926255	-18.1001366520592	0	-0.241682557724117	-0.194455565456036	-0.602435682962167	-0.602435682962167	-0.602435682962167
DevAdj	~	QualEngag	1	1	W4__b2_g1	0.169669039751494	0.0108978034625264	15.5691043919928	0	0.148309737454347	0.191028342048642	0.462687187489504	0.462687187489504	0.462687187489504
DevAdj	~	cohort	1	1	W4__g3_g1	-0.0192481547872781	0.0172930143477	-1.11305955111511	0.265682854214922	-0.0531418400929046	0.0146455305183484	-0.0510726310821926	-0.0255075859421783	-0.0510726310821926
DevAdj	~	hgrades_c	1	1		0.0202529139003665	0.00980180787835737	2.06624269233897	0.0388055695639844	0.00104172347540507	0.0394641043253279	0.0537386368409966	0.049920461177162	0.0537386368409966
DevAdj	~	bparented_c	1	1		0.016377269222799	0.00895707822765341	1.82841645529421	0.0674870736071151	-0.00117828151010954	0.0339328199557075	0.0434550863910649	0.0415130968985854	0.0434550863910649
DevAdj	~	pell	1	1		-0.131094010472143	0.0191243713343719	-6.85481411023065	7.14051040517916e-12	-0.168577089514482	-0.0936109314298039	-0.347841967602737	-0.172326095280968	-0.347841967602737
DevAdj	~	hapcl	1	1		0.0590555162605006	0.0205755522373956	2.87017891812248	0.00410239598684448	0.0187281749131827	0.0993828576078185	0.156696609554203	0.0684570034201165	0.156696609554203
DevAdj	~	hprecalc13	1	1		0.0362831328232044	0.0179250229865535	2.02416102062588	0.0429535867778552	0.00115073334750697	0.0714155322989018	0.0962728675899097	0.0465214224350361	0.0962728675899097
DevAdj	~	hchallenge_c	1	1		-0.000340275133625126	0.00728879434660426	-0.046684693989707	0.962764529471317	-0.0146260495436886	0.0139454992764384	-0.000902878564628242	-0.0010816528196298	-0.000902878564628242
DevAdj	~	cSFcareer_c	1	1		0.00945712488021188	0.0106327383044962	0.889434556685441	0.373769579971817	-0.0113826592536401	0.0302969090140639	0.0250933274094679	0.020450227108072	0.0250933274094679
sbvalued	~~	sbvalued	1	1		0.139087211518741	0.00815904365921389	17.0469992965011	0	0.123095779798392	0.15507864323909	0.139087211518741	0.220775504817513	0.220775504817513
sbmyself	~~	sbmyself	1	1		0.199474831969708	0.00933502358710294	21.3684336315227	0	0.181178521944154	0.217771141995262	0.199474831969708	0.299758331003976	0.299758331003976
sbcommunity	~~	sbcommunity	1	1		0.131571868110296	0.00798345489785524	16.4805675980763	0	0.1159245840383	0.147219152182293	0.131571868110296	0.21371614231699	0.21371614231699
pganalyze	~~	pganalyze	1	1		0.237241813203534	0.00906833492761818	26.1615627452179	0	0.219468203345655	0.255015423061412	0.237241813203534	0.463091323641101	0.463091323641101
pgthink	~~	pgthink	1	1		0.178084440230914	0.00752972807917666	23.6508461339266	0	0.163326444382347	0.19284243607948	0.178084440230914	0.393815885371143	0.393815885371143
pgwork	~~	pgwork	1	1		0.210165981401847	0.00837358703330808	25.0986800000834	0	0.193754052395152	0.226577910408543	0.210165981401847	0.43958623575984	0.43958623575984
pgvalues	~~	pgvalues	1	1		0.262712899777135	0.0100466579513243	26.1492827813955	0	0.243021812027546	0.282403987526723	0.262712899777135	0.485642233701959	0.485642233701959
pgprobsolve	~~	pgprobsolve	1	1		0.19158570012228	0.00769629140875322	24.8932492218764	0	0.176501246146599	0.206670154097962	0.19158570012228	0.416599972846417	0.416599972846417
SEacademic	~~	SEacademic	1	1		0.167074235852263	0.00749560765843707	22.2896185960593	0	0.152383114799484	0.181765356905042	0.167074235852263	0.284311564045322	0.284311564045322
SEwellness	~~	SEwellness	1	1		0.184918508225188	0.00748132785154318	24.7173378703146	0	0.170255375079627	0.199581641370749	0.184918508225188	0.311644690809246	0.311644690809246
SEnonacad	~~	SEnonacad	1	1		0.245713163343237	0.00936413905672993	26.2398029177754	0	0.227359788045821	0.264066538640652	0.245713163343237	0.378253138097007	0.378253138097007
SEactivities	~~	SEactivities	1	1		0.264636542780038	0.00995704363768093	26.577822937178	0	0.24512109585769	0.284151989702386	0.264636542780038	0.40709558012934	0.40709558012934
SEdiverse	~~	SEdiverse	1	1		0.224857304535187	0.0084700123146978	26.5474589859802	0	0.208256385449768	0.241458223620605	0.224857304535187	0.367251118624863	0.367251118624863
sameinst	~~	sameinst	1	1		0.0992877341702176	0.01100872243057	9.01900604692386	0	0.077711034690502	0.120864433649933	0.0992877341702176	0.214967213865068	0.214967213865068
evalexp	~~	evalexp	1	1		0.13061673622636	0.0116006519470251	11.2594306615548	0	0.107879876213006	0.153353596239714	0.13061673622636	0.265269682113412	0.265269682113412
MHWdacad	~~	MHWdacad	1	1		0.223555483966574	0.00862429417384051	25.9215976937184	0	0.206652177993768	0.24045878993938	0.223555483966574	0.170970213870495	0.170970213870495
MHWdlonely	~~	MHWdlonely	1	1		0.167896940317885	0.00739825539505975	22.6941260273333	0	0.153396626195138	0.182397254440631	0.167896940317885	0.127906694375186	0.127906694375186
