lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued	1	1		1	0	NA	NA	0.646458562474649	0.852852228770708	0.852852228770708
Belong	=~	sbmyself	1	1		1.019741512343	0.0278164210180763	36.6596950657431	0	0.659220632164983	0.824563500286009	0.824563500286009
Belong	=~	sbcommunity	1	1		1.02340153526895	0.0262689072857193	38.9586641019251	0	0.661586685324316	0.890743000774285	0.890743000774285
Gains	=~	pganalyze	1	1		1	0	NA	NA	0.510953784751786	0.714552049075453	0.714552049075453
Gains	=~	pgthink	1	1		1.02732400148899	0.0419895193303494	24.4662005632072	0	0.524915086727151	0.787147114133728	0.787147114133728
Gains	=~	pgwork	1	1		0.94262564354726	0.0396666384015071	23.7636886192868	0	0.481638140174561	0.706792491472022	0.706792491472022
Gains	=~	pgvalues	1	1		0.984999157639456	0.0446627892636605	22.0541344120863	0	0.503289047573201	0.681110068657063	0.681110068657063
Gains	=~	pgprobsolve	1	1		1.01609128066028	0.0432759546510997	23.4793498803719	0	0.519175685506658	0.758850142418761	0.758850142418761
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	0.621153881052421	0.834867020749327	0.834867020749327
SupportEnv	=~	SEwellness	1	1		0.974072572991415	0.0295380260145009	32.976901452833	0	0.605048959140335	0.817415589260305	0.817415589260305
SupportEnv	=~	SEnonacad	1	1		0.977819362780929	0.0300419764431836	32.5484365061737	0	0.607376292159579	0.770058293662519	0.770058293662519
SupportEnv	=~	SEactivities	1	1		0.943965086271709	0.0307477592656662	30.7002886979725	0	0.586347576915656	0.734943989644247	0.734943989644247
SupportEnv	=~	SEdiverse	1	1		0.966240903282348	0.0297405911331092	32.4889609274331	0	0.600184287105427	0.776067626613236	0.776067626613236
Satisf	=~	sameinst	1	1		1	0	NA	NA	0.522618520801631	0.803143624203832	0.803143624203832
Satisf	=~	evalexp	1	1		1.16852927012124	0.0671543734672308	17.4006428738621	0	0.610695038664174	0.901751925067664	0.901751925067664
DevAdj	=~	Belong	1	1		1	0	NA	NA	0.49296190370131	0.49296190370131	0.49296190370131
DevAdj	=~	Gains	1	1		0.495818662191475	0.0647621728160346	7.65599177161508	1.90958360235527e-14	0.309239739717557	0.309239739717557	0.309239739717557
DevAdj	=~	SupportEnv	1	1		0.810152234061984	0.0764847407218283	10.592338111055	0	0.415643966938061	0.415643966938061	0.415643966938061
DevAdj	=~	Satisf	1	1		0.869852070449014	0.0766092080146574	11.3544062520864	0	0.530413605355047	0.530413605355047	0.530413605355047
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	0.971614313865084	0.898010318174951	0.898010318174951
EmoDiss	=~	MHWdlonely	1	1		0.986724674876113	0.0181466262333633	54.3751032388588	0	0.958715817953503	0.921568542933361	0.921568542933361
EmoDiss	=~	MHWdmental	1	1		1.00432168644662	0.01608236583344	62.4486283204889	0	0.97581332627666	0.945448183459405	0.945448183459405
EmoDiss	=~	MHWdexhaust	1	1		1.00541748683015	0.0175352759366949	57.3368500421587	0	0.976878021614434	0.936161080172216	0.936161080172216
EmoDiss	=~	MHWdsleep	1	1		0.993530770399559	0.0179765996889973	55.2680032702545	0	0.965328717785616	0.914633321937679	0.914633321937679
EmoDiss	=~	MHWdfinancial	1	1		0.976671102905721	0.020245873151714	48.240502920618	0	0.948947623521597	0.85171159894796	0.85171159894796
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	0.95424021982989	0.881855780105173	0.881855780105173
QualEngag	=~	QIstudent	1	1		0.984468936260146	0.020406493947087	48.2429239835527	0	0.93941985415258	0.896039606106275	0.896039606106275
QualEngag	=~	QIadvisor	1	1		0.990690094654923	0.0212262405618911	46.6728948899965	0	0.945356333706808	0.907675980409014	0.907675980409014
QualEngag	=~	QIfaculty	1	1		0.989228236747275	0.0193421640506954	51.143617340569	0	0.943961370095654	0.924231409503552	0.924231409503552
QualEngag	=~	QIstaff	1	1		1.00695811192668	0.0202344864170789	49.764451203306	0	0.960879930084407	0.913319497456056	0.913319497456056
EmoDiss	~	x_FASt	1	1	W5__a1_g1	0.19072039249172	0.14026971223418	1.35966909359101	0.173934662652813	0.196292283646001	0.0979858590558662	0.196292283646001
EmoDiss	~	credit_dose_c	1	1	W5__a1c_g1	-0.0459308533317632	0.0977845349752338	-0.469714902703135	0.638558719158807	-0.0472727219806491	-0.0823753245900864	-0.0472727219806491
EmoDiss	~	XZ_c	1	1	W5__a1z_g1	0.0529308971961484	0.101923872743359	0.519317955366814	0.603539034262092	0.0544772719388922	0.0706347009981161	0.0544772719388922
EmoDiss	~	cohort	1	1	W5__g1_g1	0.0558244921346165	0.0561010773087997	0.995069877666327	0.319702279751292	0.0574554031759233	0.0287189445997001	0.0574554031759233
EmoDiss	~	hgrades_c	1	1		0.0162786649414219	0.0284810053007596	0.57156216114983	0.567618636450476	0.0167542457013271	0.0163086383392954	0.0167542457013271
EmoDiss	~	bparented_c	1	1		-0.0430747723490566	0.0306263395264949	-1.40646166061708	0.1595870815848	-0.0443332006685915	-0.0428461355740161	-0.0443332006685915
EmoDiss	~	pell	1	1		0.120120471792833	0.056175695092408	2.13829969696392	0.0324924271483225	0.123629788156366	0.0618148674066243	0.123629788156366
EmoDiss	~	hapcl	1	1		-0.171041112318406	0.0689367036473223	-2.48113273871413	0.0130965592551771	-0.176038073829937	-0.0723909119073962	-0.176038073829937
EmoDiss	~	hprecalc13	1	1		-0.087983327675244	0.061223412865875	-1.43708629683865	0.150693474380465	-0.0905537582348351	-0.0420341642975015	-0.0905537582348351
EmoDiss	~	hchallenge_c	1	1		-0.0103486011659733	0.021678603291626	-0.47736475578068	0.633102406562458	-0.0106509352716373	-0.0132017425374382	-0.0106509352716373
EmoDiss	~	cSFcareer_c	1	1		-0.0179166428635449	0.0331049049199106	-0.541208105170213	0.588364151519015	-0.0184400771045379	-0.0155546601030729	-0.0184400771045379
QualEngag	~	x_FASt	1	1	W5__a2_g1	-0.0491130995488192	0.146648104285204	-0.334904428449366	0.737697181408522	-0.0514682765704158	-0.0256921117845472	-0.0514682765704158
QualEngag	~	credit_dose_c	1	1	W5__a2c_g1	-0.0337088633073356	0.0977785998151967	-0.344746840014542	0.730284701120229	-0.035325343248836	-0.0615563583914262	-0.035325343248836
QualEngag	~	XZ_c	1	1	W5__a2z_g1	0.0194109680561932	0.102351538881092	0.189649987370918	0.84958341372108	0.0203418045611759	0.0263749859675883	0.0203418045611759
QualEngag	~	cohort	1	1	W5__g2_g1	-0.0564729038363431	0.0554749843148417	-1.0179886399938	0.308683354740142	-0.059181014028533	-0.0295814870193398	-0.059181014028533
QualEngag	~	hgrades_c	1	1		0.0322263234483103	0.0286243590876286	1.12583563354746	0.260235098240081	0.0337717094486494	0.0328734939976535	0.0337717094486494
QualEngag	~	bparented_c	1	1		0.00366405418353345	0.0288274460968444	0.127102975796893	0.898858896221603	0.00383976079334262	0.003710963996333	0.00383976079334262
QualEngag	~	pell	1	1		-0.067371276997078	0.0553419573106756	-1.21736346654443	0.22346595665402	-0.0706020094280748	-0.0353009894825493	-0.0706020094280748
QualEngag	~	hapcl	1	1		0.152160024340043	0.0666859785135514	2.28173939607293	0.0225047306833548	0.159456729215593	0.0655722809648493	0.159456729215593
QualEngag	~	hprecalc13	1	1		0.0687933141906761	0.0607432890876818	1.13252534105248	0.257413636704446	0.0720922392088438	0.0334645086692115	0.0720922392088438
QualEngag	~	hchallenge_c	1	1		-0.030809257771667	0.0220625671783476	-1.3964493579833	0.162579220542589	-0.0322866895897129	-0.0400190736755881	-0.0322866895897129
QualEngag	~	cSFcareer_c	1	1		0.0153217294704652	0.0332924440007084	0.460216422385187	0.64536088444861	0.0160564700083555	0.0135440286946355	0.0160564700083555
DevAdj	~	x_FASt	1	1	W5__c_g1	-0.0624621258014521	0.061689404445001	-1.01252599799598	0.311286622609896	-0.196002996276209	-0.0978414515890181	-0.196002996276209
DevAdj	~	credit_dose_c	1	1	W5__cc_g1	0.0679920711144222	0.0425757551421809	1.59696688613893	0.110273088765915	0.213355685392667	0.371784045872283	0.213355685392667
DevAdj	~	XZ_c	1	1	W5__cz_g1	-0.0527706115009889	0.0443482026833884	-1.18991544883408	0.234079625792683	-0.165591513846317	-0.214704346456264	-0.165591513846317
DevAdj	~	EmoDiss	1	1	W5__b1_g1	-0.216415028235128	0.0166986256486417	-12.9600502932846	0	-0.659822725869005	-0.659822725869005	-0.659822725869005
DevAdj	~	QualEngag	1	1	W5__b2_g1	0.1701576418062	0.0139052761751803	12.2369120657895	0	0.509512831068346	0.509512831068346	0.509512831068346
DevAdj	~	cohort	1	1	W5__g3_g1	-0.0493695093092297	0.0219079087246606	-2.25350168880596	0.0242275343679801	-0.154919026932481	-0.0774359016904048	-0.154919026932481
DevAdj	~	hgrades_c	1	1		0.0090091923031694	0.0114710009523107	0.785388506253641	0.432225817600383	0.0282703904612979	0.0275184918475593	0.0282703904612979
DevAdj	~	bparented_c	1	1		-0.00297670856697255	0.0112937778012725	-0.263570668677151	0.792110762505986	-0.00934076115216231	-0.00902744472887986	-0.00934076115216231
DevAdj	~	pell	1	1		-0.0207146053277629	0.0217073694583257	-0.954266032442634	0.33994899733721	-0.065001385380743	-0.032500678667147	-0.065001385380743
DevAdj	~	hapcl	1	1		0.0491611499921049	0.0271153251488504	1.81303929501982	0.0698257608566064	0.154265205917994	0.0634374069712567	0.154265205917994
