lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.870267011146401	0.00693539485916416	125.481970214928	0	0.856673887003875	0.883860135288927
Belong	=~	sbmyself	1		0.836913263520733	0.00778337856904702	107.525704434958	0	0.82165812184736	0.852168405194106
Belong	=~	sbcommunity	1		0.88300225814717	0.00684042714432527	129.085836237536	0	0.869595267305423	0.896409248988918
Gains	=~	pganalyze	1		0.701387321638017	0.011425097802685	61.3900496740768	0	0.678994541424907	0.723780101851128
Gains	=~	pgthink	1		0.758860832012371	0.0105783002441389	71.737501725084	0	0.738127744516208	0.779593919508535
Gains	=~	pgwork	1		0.73376759577456	0.0108900282719803	67.3797695881584	0	0.712423532570856	0.755111658978265
Gains	=~	pgvalues	1		0.675543893305525	0.0121361108426689	55.6639521559413	0	0.651757553141508	0.699330233469542
Gains	=~	pgprobsolve	1		0.746790709971596	0.0108906936048162	68.5714553241443	0	0.725445342739495	0.768136077203696
SupportEnv	=~	SEacademic	1		0.835656710920176	0.00745189893479466	112.140102574164	0	0.821051257391546	0.850262164448806
SupportEnv	=~	SEwellness	1		0.821366986801839	0.00774792262442444	106.011253159986	0	0.806181337502964	0.836552636100714
SupportEnv	=~	SEnonacad	1		0.765319979744221	0.00939436060728884	81.4658933946424	0	0.746907371296153	0.783732588192289
SupportEnv	=~	SEactivities	1		0.745661258025366	0.00967989951161521	77.0319213676365	0	0.726689003608633	0.764633512442098
SupportEnv	=~	SEdiverse	1		0.778217878928281	0.00879285300497976	88.5057305618034	0	0.760984203717166	0.795451554139396
Satisf	=~	sameinst	1		0.886276363570732	0.0137094236056319	64.6472374817163	0	0.85940638705489	0.913146340086573
Satisf	=~	evalexp	1		0.838775104538209	0.0137400708416925	61.0459082927762	0	0.811845060543463	0.865705148532955
DevAdj	=~	Belong	1		0.453565148868271	0.0209432919204276	21.6568221744488	0	0.412517050986525	0.494613246750018
DevAdj	=~	Gains	1		0.244471052926583	0.0211346213173172	11.5673259177949	0	0.203047956317749	0.285894149535417
DevAdj	=~	SupportEnv	1		0.488113017963085	0.0204113659808841	23.9137850166529	0	0.448107475765286	0.528118560160884
DevAdj	=~	Satisf	1		0.527091224734939	0.019523938814961	26.9971766317478	0	0.488825007821252	0.565357441648626
EmoDiss	=~	MHWdacad	1		0.916667199738045	0.00350490872681651	261.538108745745	0	0.909797704864385	0.923536694611706
EmoDiss	=~	MHWdlonely	1		0.93487586529639	0.00297698525583945	314.034429113346	0	0.929041081412438	0.940710649180342
EmoDiss	=~	MHWdmental	1		0.951410002155302	0.00232948360591051	408.420990704259	0	0.94684429818514	0.955975706125463
EmoDiss	=~	MHWdexhaust	1		0.94230743725416	0.00267993387239064	351.615928647363	0	0.937054863383326	0.947560011124995
EmoDiss	=~	MHWdsleep	1		0.919297104120126	0.00345922996363686	265.751948781579	0	0.912517137977156	0.926077070263096
EmoDiss	=~	MHWdfinancial	1		0.87530664108494	0.00492316485183949	177.793485984507	0	0.865657415285381	0.884955866884499
QualEngag	=~	QIadmin	1		0.887870255777872	0.00472649196038228	187.849733633327	0	0.878606501762305	0.89713400979344
QualEngag	=~	QIstudent	1		0.901843750063507	0.00427187815483525	211.111768027075	0	0.893471022733686	0.910216477393327
QualEngag	=~	QIadvisor	1		0.916011192161503	0.00369192911956421	248.111803476235	0	0.908775144053682	0.923247240269323
QualEngag	=~	QIfaculty	1		0.93558706037296	0.0030851259550658	303.257330170497	0	0.929540324613261	0.941633796132659
QualEngag	=~	QIstaff	1		0.920713990553788	0.00364303123020621	252.732939240181	0	0.91357378054803	0.927854200559547
EmoDiss	~	x_FASt	1	W5__a1_g1	0.14068754409067	0.0526430551812689	2.67248060748437	0.00752927262456482	0.0375090518992289	0.243866036282112
EmoDiss	~	credit_dose_c	1	W5__a1c_g1	-0.0949322594808019	0.134115859411129	-0.707837685249358	0.47904606081657	-0.357794513682252	0.167929994720648
EmoDiss	~	XZ_c	1	W5__a1z_g1	0.0885473571184837	0.10486563715919	0.844388681719113	0.398452244952737	-0.116985514929375	0.294080229166342
EmoDiss	~	cohort	1	W5__g1_g1	-0.000527178900617812	0.0188298759474345	-0.0279969396553374	0.977664591992764	-0.0374330575909464	0.0363786997897108
EmoDiss	~	hgrades_c	1		-0.0345251404084592	0.0187464154381972	-1.84169291042765	0.0655200818172785	-0.0712674395065513	0.00221715868963283
EmoDiss	~	bparented_c	1		0.0216706862650465	0.0192503722027364	1.12572816965929	0.260280596362958	-0.0160593499413079	0.0594007224714009
EmoDiss	~	pell	1		0.199409429774327	0.0201054393029461	9.91818317270526	0	0.160003492847196	0.238815366701457
EmoDiss	~	hapcl	1		-0.0121416899940788	0.0198295502979514	-0.61230284154922	0.540337409996027	-0.0510068944076891	0.0267235144195314
EmoDiss	~	hprecalc13	1		-0.0323916341276396	0.0194421930847278	-1.66604837152265	0.0957037804049501	-0.0704976323541798	0.00571436409890058
EmoDiss	~	hchallenge_c	1		-0.00935860840412201	0.0188618364588558	-0.496166342261336	0.619777055553117	-0.0463271285457639	0.0276099117375199
EmoDiss	~	cSFcareer_c	1		-0.00875038378398227	0.0189153618011871	-0.462607264717142	0.643645900434758	-0.0458238116688536	0.0283230441008891
QualEngag	~	x_FASt	1	W5__a2_g1	-0.0623896096912874	0.0525473244453415	-1.18730326139028	0.235108022131763	-0.165380473088098	0.0406012537055231
QualEngag	~	credit_dose_c	1	W5__a2c_g1	0.0442236522665585	0.132118277022414	0.334727739895185	0.737830473959353	-0.214723412396858	0.303170716929975
QualEngag	~	XZ_c	1	W5__a2z_g1	-0.0642422558339145	0.103620648021057	-0.619975430194758	0.535273963032782	-0.267334994009888	0.138850482342059
QualEngag	~	cohort	1	W5__g2_g1	-0.00119455619993511	0.0188139422130892	-0.0634931364413377	0.949373824544411	-0.0380692053448076	0.0356800929449374
QualEngag	~	hgrades_c	1		0.0112482131984302	0.0188370655229632	0.597131925071776	0.550419304712201	-0.0256717568009988	0.0481681831978592
QualEngag	~	bparented_c	1		0.0263075623804709	0.0193743774090101	1.35785330413955	0.174510236983031	-0.0116655195640752	0.0642806443250171
QualEngag	~	pell	1		-0.263889240862408	0.0195494344957584	-13.4985613481384	0	-0.302205428392219	-0.225573053332596
QualEngag	~	hapcl	1		0.0601104764218809	0.0193127623162395	3.11247430261883	0.00185526164867333	0.0222581578400691	0.0979627950036928
QualEngag	~	hprecalc13	1		0.0350152665231705	0.0189537317384561	1.84740751881205	0.06468810030577	-0.00213336505683721	0.0721638981031783
QualEngag	~	hchallenge_c	1		0.00361917721032174	0.0186854482800108	0.19368961108594	0.846418926951882	-0.0330036284534852	0.0402419828741287
QualEngag	~	cSFcareer_c	1		-0.0329420377538507	0.0185576694248357	-1.77511717660864	0.0758785414051144	-0.0693144014635288	0.0034303259558273
DevAdj	~	x_FASt	1	W5__c_g1	-0.127340389121097	0.0649692103696922	-1.96001134070272	0.0499944647884203	-0.2546777015497	-3.07669249430265e-06
DevAdj	~	credit_dose_c	1	W5__cc_g1	0.427783081246531	0.17057794608434	2.50784518788272	0.0121469872986648	0.093456450364409	0.762109712128653
DevAdj	~	XZ_c	1	W5__cz_g1	-0.356971425601443	0.131817879086801	-2.70806531006601	0.00676767030375403	-0.615329721130028	-0.0986131300728566
DevAdj	~	EmoDiss	1	W5__b1_g1	-0.693471472012916	0.0226998656140709	-30.5495849095713	0	-0.737962391070394	-0.648980552955438
DevAdj	~	QualEngag	1	W5__b2_g1	0.356110435816917	0.0250460291177915	14.2182393121931	0	0.307021120790305	0.40519975084353
DevAdj	~	cohort	1	W5__g3_g1	-0.00331835344601145	0.0226261236824816	-0.146660271665567	0.883400178057937	-0.0476647409734241	0.0410280340814012
DevAdj	~	hgrades_c	1		0.0431153273545981	0.0240891341611742	1.78982470129995	0.0734820968764169	-0.00409850802005677	0.090329162729253
DevAdj	~	bparented_c	1		0.0128322977002677	0.022573058068287	0.568478478257042	0.569710115352803	-0.0314100831345062	0.0570746785350415
DevAdj	~	pell	1		-0.173443673246895	0.0257481464875081	-6.73616150704448	1.62625468647093e-11	-0.223909113031072	-0.122978233462717
DevAdj	~	hapcl	1		0.0276088138783251	0.0235182331634322	1.17393231398238	0.240422137993841	-0.0184860761020176	0.0737037038586678
DevAdj	~	hprecalc13	1		0.0507473398096485	0.0228381225987041	2.22204516112582	0.0262802537345972	0.00598544204167828	0.0955092375776188
DevAdj	~	hchallenge_c	1		0.00118198957174895	0.0224955477749218	0.0525432669422099	0.95809582089323	-0.042908473879598	0.0452724530230959
DevAdj	~	cSFcareer_c	1		-0.0194900754283848	0.0229162643900096	-0.850490948118122	0.395052190887306	-0.0644051282930013	0.0254249774362317
