lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.724826890885684	0.885934731976034	0.885934731976034
Belong	=~	sbmyself		1.01478080179977	0.025068481386022	40.480346063787	0	0.735540413499011	0.865224794538512	0.865224794538512
Belong	=~	sbcommunity		1.01739295258677	0.0247216468623011	41.1539311379062	0	0.737433770632476	0.905262376524847	0.905262376524847
Gains	=~	pganalyze		1	0	NA	NA	0.517123476378146	0.715848082156843	0.715848082156843
Gains	=~	pgthink		1.01203753964444	0.0478122226798308	21.1669209863226	0	0.523348370726118	0.788250855686508	0.788250855686508
Gains	=~	pgwork		0.968365520328845	0.0462436250503401	20.9405192450786	0	0.500764544277185	0.755737318746218	0.755737318746218
Gains	=~	pgvalues		0.961646172790283	0.0514644983498694	18.685622198292	0	0.497289811919051	0.688317576225231	0.688317576225231
Gains	=~	pgprobsolve		0.927840895863604	0.0461204941709222	20.1177570306388	0	0.479808309594801	0.736226384203362	0.736226384203362
SupportEnv	=~	SEacademic		1	0	NA	NA	0.666480010093481	0.8546013791149	0.8546013791149
SupportEnv	=~	SEwellness		1.03180434362595	0.0288814508046947	35.7255025242093	0	0.687676969354321	0.863633514858027	0.863633514858027
SupportEnv	=~	SEnonacad		0.994488435307129	0.0338143408847699	29.4102563967187	0	0.662806662401346	0.792695801304025	0.792695801304025
SupportEnv	=~	SEactivities		0.911095712326645	0.0319818947260596	28.4878591506419	0	0.60722707954759	0.752593801903576	0.752593801903576
SupportEnv	=~	SEdiverse		0.968271320001769	0.0312251466553082	31.0093441894905	0	0.645333479128007	0.804310662200503	0.804310662200503
Satisf	=~	sameinst		1	0	NA	NA	0.637830737163303	0.899391604341509	0.899391604341509
Satisf	=~	evalexp		0.955529098207324	0.0393331604067344	24.2932194699443	0	0.609465829090564	0.857013828720685	0.857013828720685
DevAdj	=~	Belong		1	0	NA	NA	0.586603281229454	0.586603281229454	0.586603281229454
DevAdj	=~	Gains		0.312620830221965	0.0499222876091718	6.26214953668368	3.7970648847363e-10	0.257041024110936	0.257041024110936	0.257041024110936
DevAdj	=~	SupportEnv		0.958229776055575	0.0716109336956772	13.3810540737778	0	0.611309745085246	0.611309745085246	0.611309745085246
DevAdj	=~	Satisf		0.90036322693375	0.0648329691530034	13.8874285521141	0	0.600193226676379	0.600193226676379	0.600193226676379
EmoDiss	=~	MHWdacad		1	0	NA	NA	1.24685776547763	0.938182645865087	0.938182645865087
EmoDiss	=~	MHWdlonely		1.010198326716	0.0174213727436462	57.986149632464	0	1.25957362833835	0.949565072184513	0.949565072184513
EmoDiss	=~	MHWdmental		1.01999836568347	0.015095690621612	67.568844066211	0	1.27179288302692	0.965243719711463	0.965243719711463
EmoDiss	=~	MHWdexhaust		1.03021455560127	0.0158219533890927	65.1129813283032	0	1.28453101875953	0.959752203828991	0.959752203828991
EmoDiss	=~	MHWdsleep		0.964568713493428	0.0167859188687797	57.4629676834337	0	1.20267999075605	0.932826736455867	0.932826736455867
EmoDiss	=~	MHWdfinancial		0.986511720480651	0.0181768827157603	54.2728770332712	0	1.230039799416	0.904607676120745	0.904607676120745
QualEngag	=~	QIadmin		1	0	NA	NA	1.01077959079199	0.899840319222977	0.899840319222977
QualEngag	=~	QIstudent		1.02042916840079	0.0218819582931084	46.6333567924846	0	1.03142897726836	0.904326841738858	0.904326841738858
QualEngag	=~	QIadvisor		0.986725909255608	0.0218860740413267	45.0846464008304	0	0.997362410781238	0.921873149242048	0.921873149242048
QualEngag	=~	QIfaculty		1.00826346976157	0.0192538342191837	52.366892655437	0	1.01913213737612	0.937652091909972	0.937652091909972
QualEngag	=~	QIstaff		0.998175069974467	0.0212881980412461	46.8886595305293	0	1.00893498876756	0.92634138827471	0.92634138827471
EmoDiss	~	x_FASt	a1	0.0138816126529141	0.0962903888179974	0.144164052334988	0.885370926448433	0.0111332768157373	0.00536550225138743	0.0111332768157373
EmoDiss	~	XZ_c	a1z	0.0015887848764098	0.031341146298631	0.0506932599487976	0.959569947527221	0.00127423104735702	0.002005449519812	0.00127423104735702
EmoDiss	~	cohort	g1	-0.0091451071619436	0.0801019054754635	-0.11416840969838	0.909104293543776	-0.00733452316306536	-0.00366509664281381	-0.00733452316306536
EmoDiss	~	hgrades_c		-0.102109662122475	0.046890061705171	-2.17763974729882	0.0294328679340885	-0.0818935927975392	-0.0708155705026728	-0.0818935927975392
EmoDiss	~	bparented_c		-0.0123229662766627	0.041735302785453	-0.295264810705001	0.767791595772661	-0.00988321733068098	-0.00972038010910159	-0.00988321733068098
EmoDiss	~	pell		0.677096222916253	0.0918059946557995	7.37529423274409	1.64090963039598e-13	0.543042070766492	0.25470495625752	0.543042070766492
EmoDiss	~	hapcl		-0.0442278211281546	0.0869098034887278	-0.508893350954257	0.61082698081051	-0.0354714245302971	-0.0168569479572517	-0.0354714245302971
EmoDiss	~	hprecalc13		-0.136958676885494	0.0822776508469024	-1.66459148354076	0.0959942856101466	-0.109843063641689	-0.0547406360171272	-0.109843063641689
EmoDiss	~	hchallenge_c		-0.0464652742270307	0.0313823119689277	-1.48061985595698	0.138707901195677	-0.0372658979344219	-0.0452902492713975	-0.0372658979344219
EmoDiss	~	cSFcareer_c		0.0205498047597728	0.0504260226444101	0.407523807790357	0.683623311851534	0.016481274230907	0.01335826081312	0.016481274230907
QualEngag	~	x_FASt	a2	-0.0223400236824322	0.0760229876253911	-0.293858796927508	0.768865803977346	-0.0221017755858405	-0.0106515923953188	-0.0221017755858405
QualEngag	~	XZ_c	a2z	-0.026012476891186	0.0254831915504256	-1.02076997850575	0.307363431131272	-0.0257350634383151	-0.0405031495047536	-0.0257350634383151
QualEngag	~	cohort	g2	0.0469555763916723	0.0649130181539637	0.723361472429164	0.469457834947415	0.0464548125223626	0.0232136941465596	0.0464548125223626
QualEngag	~	hgrades_c		0.0487403422712392	0.0388380411125735	1.25496397024668	0.20949183969755	0.0482205445334022	0.0416975889618684	0.0482205445334022
QualEngag	~	bparented_c		0.030272380147823	0.0325648172159049	0.929603871169214	0.352576222365788	0.0299495364010103	0.0294560838003079	0.0299495364010103
