lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.751807323817476	0.0313026979599721	24.0173330994932	0	0.690455163196995	0.813159484437956
Belong	=~	sbmyself		0.692318068383423	0.0368437465893889	18.7906532986201	0	0.6201056520127	0.764530484754146
Belong	=~	sbcommunity		0.660982598439027	0.0345001894447328	19.158810692848	0	0.593363469667542	0.728601727210512
Gains	=~	pganalyze		0.63209442894929	0.0434607758021406	14.5440208390886	0	0.546912873636925	0.717275984261655
Gains	=~	pgthink		0.434959927656977	0.0406328257941212	10.7046438232191	0	0.355321052510409	0.514598802803545
Gains	=~	pgwork		0.49135256741149	0.04135062469029	11.8825911601493	0	0.410306832280289	0.572398302542692
Gains	=~	pgvalues		0.587687110011086	0.0446101145804912	13.1738534083051	0	0.500252892087118	0.675121327935054
Gains	=~	pgprobsolve		0.545416634629001	0.0388016989105188	14.0565142749753	0	0.469366702225417	0.621466567032585
SupportEnv	=~	SEacademic		0.511031469176425	0.03927291522671	13.0123130973701	0	0.434057969764179	0.588004968588672
SupportEnv	=~	SEwellness		0.566502671593123	0.0401696618794495	14.1027493159693	0	0.487771581038251	0.645233762147996
SupportEnv	=~	SEnonacad		0.506645641993152	0.0402143363254545	12.5986324352806	0	0.42782699113308	0.585464292853223
SupportEnv	=~	SEactivities		0.62607311267336	0.0420374542638181	14.8932213816816	0	0.543681216314526	0.708465009032193
SupportEnv	=~	SEdiverse		0.630357204983086	0.0470070777774543	13.4098360244257	0	0.538225025520803	0.72248938444537
Satisf	=~	sameinst		0.780183286820671	0.0506040882651157	15.4173963718757	0	0.681001096350558	0.879365477290784
Satisf	=~	evalexp		0.705646208036467	0.0530865770474405	13.2923659290723	0	0.601598428960973	0.809693987111961
DevAdj	=~	Belong		0.468351593056669	0.0688413100793622	6.80335096058952	1.0221379298514e-11	0.333425104652565	0.603278081460773
DevAdj	=~	Gains		0.536612742744565	0.0839231224861127	6.39409887106336	1.61496815920259e-10	0.372126445201641	0.70109904028749
DevAdj	=~	SupportEnv		0.351197369979889	0.0807115264490734	4.35126660875984	1.35353348145184e-05	0.193005685002454	0.509389054957325
DevAdj	=~	Satisf		0.574082413206638	0.073416030668122	7.81957847601138	5.32907051820075e-15	0.430189637209231	0.717975189204046
EmoDiss	=~	MHWdacad		0.508233263204657	0.0402077653474676	12.6401768119319	0	0.429427491224783	0.587039035184531
EmoDiss	=~	MHWdlonely		0.542484662749441	0.0407336678174113	13.317844717081	0	0.462648140869097	0.622321184629785
EmoDiss	=~	MHWdmental		0.604145280379738	0.0356196377452475	16.9610169732943	0	0.53433207325669	0.673958487502787
EmoDiss	=~	MHWdexhaust		0.569157568684797	0.0367968112498125	15.4675785578485	0	0.497037143889246	0.641277993480348
EmoDiss	=~	MHWdsleep		0.558667008479801	0.0389601705850563	14.3394394862862	0	0.482306477301554	0.635027539658048
EmoDiss	=~	MHWdfinancial		0.506483283854026	0.0428676777523185	11.8150389853258	0	0.422464179358612	0.590502388349439
QualEngag	=~	QIadmin		0.767080541565376	0.0301777187063799	25.4187716781655	0	0.70793329976529	0.826227783365461
QualEngag	=~	QIstudent		0.733515561034492	0.0249065698516882	29.4506857187632	0	0.684699581146752	0.782331540922232
QualEngag	=~	QIadvisor		0.773769046857337	0.0224316230108508	34.494563611516	0	0.72980387364129	0.817734220073385
QualEngag	=~	QIfaculty		0.640143039960641	0.0312109379415124	20.5102147574108	0	0.578970725671562	0.70131535424972
QualEngag	=~	QIstaff		0.645302237838801	0.0297438913082384	21.6952863077491	0	0.58700528211458	0.703599193563023
EmoDiss	~	x_FASt	a1	0.0426802954684998	0.063382637128106	0.673375192361221	0.500708626915499	-0.0815473905477591	0.166907981484759
EmoDiss	~	XZ_c	a1z	0.333562842134664	0.0568519709744806	5.86721685136285	4.43170922181935e-09	0.222135026574565	0.444990657694762
EmoDiss	~	cohort	g1	0.0348663700884784	0.0455185825544106	0.765981015485289	0.443687598330408	-0.0543484123454796	0.124081152522436
EmoDiss	~	hgrades_c		0.0210246159091369	0.046801347120617	0.449230998734972	0.653265027853691	-0.0707043388752298	0.112753570693504
EmoDiss	~	bparented_c		-0.152746862607343	0.0432568598305939	-3.53115929370609	0.000413742499056902	-0.237528749959605	-0.0679649752550819
EmoDiss	~	pell		0.132964723332368	0.0471250481432272	2.82152970811295	0.00477952104285584	0.0406013262019269	0.22532812046281
EmoDiss	~	hapcl		0.000784645392001937	0.0461616989581367	0.016997758091909	0.986438404297931	-0.0896906220311262	0.09125991281513
EmoDiss	~	hprecalc13		-0.0565376999842172	0.0449196497731374	-1.2586407122441	0.208160134872724	-0.144578595737719	0.0315031957692848
EmoDiss	~	hchallenge_c		0.131073484010477	0.0436079490344556	3.00572457344675	0.00264948867469061	0.0456034744632854	0.216543493557668
EmoDiss	~	cSFcareer_c		0.099163275768533	0.0422384153685373	2.34770350410442	0.0188895511532954	0.0163775028821569	0.181949048654909
QualEngag	~	x_FASt	a2	0.0263089008567043	0.0583119759769278	0.451174915888871	0.65186348697466	-0.087980471925439	0.140598273638848
QualEngag	~	XZ_c	a2z	-0.341181611619433	0.0538050996462169	-6.3410645805471	2.28182805983579e-10	-0.446637669110607	-0.235725554128259
QualEngag	~	cohort	g2	0.0341257379723227	0.043894467479345	0.777449640740736	0.436893534768825	-0.0519058374077582	0.120157313352404
