lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.850860350263752	0.00999304849250486	85.145223792512	0	0.83127433512268	0.870446365404824
Belong	=~	sbmyself		0.815875277739999	0.0111624022132181	73.0913706705418	0	0.793997371421141	0.837753184058856
Belong	=~	sbcommunity		0.86665989029096	0.0100189597136577	86.5019837448335	0	0.847023090089634	0.886296690492287
Gains	=~	pganalyze		0.703610762262675	0.013989904530248	50.2941789732285	0	0.676191053236236	0.731030471289115
Gains	=~	pgthink		0.752870781322904	0.0135152725261628	55.7051868444013	0	0.726381333930381	0.779360228715426
Gains	=~	pgwork		0.739942681785825	0.0136142225302573	54.3507115548698	0	0.713259295949007	0.766626067622643
Gains	=~	pgvalues		0.68524711168355	0.0146219231280528	46.864362894158	0	0.656588668967853	0.713905554399247
Gains	=~	pgprobsolve		0.759959637783899	0.0135580313681941	56.0523587197693	0	0.733386384600974	0.786532890966823
SupportEnv	=~	SEacademic		0.828009705749969	0.00971524922717436	85.2278399028568	0	0.808968167163877	0.847051244336062
SupportEnv	=~	SEwellness		0.80517329268818	0.0103458160374568	77.8259819982363	0	0.784895865864088	0.825450719512273
SupportEnv	=~	SEnonacad		0.74507136451292	0.0122258510387356	60.9422904100734	0	0.721109136796647	0.769033592229194
SupportEnv	=~	SEactivities		0.751024705101397	0.0122298754365459	61.4090232560462	0	0.727054589710356	0.774994820492438
SupportEnv	=~	SEdiverse		0.768590763732024	0.0114059328777241	67.385173310382	0	0.746235546081603	0.790945981382445
Satisf	=~	sameinst		0.845321908607882	0.0244434533717766	34.5827529257353	0	0.797413620341416	0.893230196874349
Satisf	=~	evalexp		0.855136199400109	0.024616416308342	34.7384521243379	0	0.806888910007314	0.903383488792904
DevAdj	=~	Belong		0.398823009053975	0.0292292125630694	13.644671685678	0	0.341534805133893	0.456111212974057
DevAdj	=~	Gains		0.320834513114405	0.0284309122925935	11.2847069349226	0	0.265110948973305	0.376558077255506
DevAdj	=~	SupportEnv		0.450490631002889	0.0294872886908932	15.2774517767725	0	0.392696607167003	0.508284654838775
DevAdj	=~	Satisf		0.440261726280121	0.0275723241580724	15.9675232220576	0	0.386220963960235	0.494302488600007
EmoDiss	=~	MHWdacad		0.89096697015927	0.00576617728022705	154.516055760982	0	0.879665470361552	0.902268469956988
EmoDiss	=~	MHWdlonely		0.90958163838176	0.00493192091606477	184.42745815712	0	0.899915251011673	0.919248025751846
EmoDiss	=~	MHWdmental		0.93465448731548	0.00398201858216111	234.718765879849	0	0.926849874308675	0.942459100322285
EmoDiss	=~	MHWdexhaust		0.922909970995634	0.00452237861741909	204.076228257584	0	0.914046271781038	0.931773670210229
EmoDiss	=~	MHWdsleep		0.90326726418439	0.00538162073708518	167.842980453807	0	0.892719481361249	0.913815047007531
EmoDiss	=~	MHWdfinancial		0.839020277579255	0.00780308987506356	107.524107887124	0	0.823726502456002	0.854314052702509
QualEngag	=~	QIadmin		0.883726501255676	0.00597917888486909	147.800645920134	0	0.87200752598421	0.895445476527142
QualEngag	=~	QIstudent		0.895258633523061	0.00551439793187489	162.349298070818	0	0.884450612180164	0.906066654865958
QualEngag	=~	QIadvisor		0.917888191702458	0.00455643562598156	201.448734723367	0	0.908957741977659	0.926818641427257
QualEngag	=~	QIfaculty		0.928463471388065	0.00408036458436778	227.544243214218	0	0.920466103758912	0.936460839017219
QualEngag	=~	QIstaff		0.919396851644919	0.00458441129688447	200.548509307997	0	0.910411570612707	0.928382132677131
EmoDiss	~	x_FASt	a1	0.105906007523753	0.0283439590866792	3.7364578180444	0.000186630739692939	0.0503528685345853	0.161459146512921
EmoDiss	~	XZ_c	a1z	0.085702802706108	0.03292904026754	2.60265109489359	0.00925060429092661	0.0211630697362605	0.150242535675955
EmoDiss	~	cohort	g1	0.0096341822596173	0.0240759181927591	0.400158456366362	0.68903981098189	-0.0375537502929232	0.0568221148121578
EmoDiss	~	hgrades_c		-0.0180654321896265	0.0242124016743273	-0.746123099749394	0.455593056408724	-0.0655208674505252	0.0293900030712722
EmoDiss	~	bparented_c		-0.0168622566621208	0.0242187045811922	-0.696249322732799	0.486272703955244	-0.0643300453934727	0.0306055320692311
EmoDiss	~	pell		0.0610070351728973	0.0236691192776048	2.57749494002596	0.0099519338564884	0.0146164138430091	0.107397656502785
EmoDiss	~	hapcl		-0.0110696257416827	0.0249364512012539	-0.443913436292252	0.657105169843	-0.059944171998381	0.0378049205150156
EmoDiss	~	hprecalc13		0.00736273042398438	0.0244878828382501	0.300668313084371	0.763667433825226	-0.0406326379966223	0.055358098844591
EmoDiss	~	hchallenge_c		0.0210699578862372	0.024149142069118	0.872493019666381	0.382939474550226	-0.0262614908267752	0.0684014065992495
EmoDiss	~	cSFcareer_c		-0.040769246880137	0.0243165801903692	-1.67660281836358	0.0936201752904837	-0.0884288682804407	0.00689037452016672
QualEngag	~	x_FASt	a2	-0.11007498569686	0.0289998525581118	-3.79570846011318	0.000147222427477889	-0.166913652267731	-0.0532363191259889
QualEngag	~	XZ_c	a2z	-0.0151140876526231	0.0336178175509662	-0.449585629100086	0.653009252189419	-0.0810037992913553	0.0507756239861092
QualEngag	~	cohort	g2	-0.0287945440721497	0.0242278477212949	-1.18848955975734	0.234640590613735	-0.0762802530288086	0.0186911648845092
QualEngag	~	hgrades_c		-0.0328652937867675	0.0236843682721116	-1.38763649547986	0.16524776247256	-0.0792858025966894	0.0135552150231545
QualEngag	~	bparented_c		0.031214471478351	0.0256635664696137	1.21629515193493	0.223872507677703	-0.0190851945169416	0.0815141374736436
QualEngag	~	pell		-0.0729884427714153	0.0249298026222614	-2.92775854977043	0.00341415064767547	-0.12184995805274	-0.0241269274900907
QualEngag	~	hapcl		-0.00527368379812004	0.0248603107398782	-0.212132658087035	0.832003541979716	-0.0539989974927556	0.0434516298965155
QualEngag	~	hprecalc13		0.00533909879315065	0.0238568082776043	0.223797698796229	0.822914720652295	-0.0414193862170307	0.052097583803332
QualEngag	~	hchallenge_c		-0.000428319099419048	0.0236242084976601	-0.0181305163921776	0.985534733388831	-0.0467309169180979	0.0458742787192598
QualEngag	~	cSFcareer_c		0.000326586099108722	0.02377068615169	0.0137390270110273	0.989038187328736	-0.0462631026460087	0.0469162748442261
DevAdj	~	x_FASt	c	0.0797982361860807	0.0401879564646425	1.98562562533598	0.0470749089098625	0.00103128890311781	0.158565183469044
DevAdj	~	XZ_c	cz	-0.0529304413932282	0.0400695779770261	-1.32096328600156	0.186513606192646	-0.131465371103919	0.0256044883174621
