lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.648579819119172	0.852144517044167	0.852144517044167
Belong	=~	sbmyself		1.01937978979892	0.0547416179520757	18.6216598619966	0	0.661149159681523	0.846483334676897	0.846483334676897
Belong	=~	sbcommunity		0.970246073396957	0.0539167537401048	17.9952613258921	0	0.629282022784886	0.855579994557331	0.855579994557331
Gains	=~	pganalyze		1	0	NA	NA	0.460097933033153	0.708844827081573	0.708844827081573
Gains	=~	pgthink		0.981025446825447	0.0846825733594765	11.584738251411	0	0.451367780337314	0.748238134072622	0.748238134072622
Gains	=~	pgwork		1.0814745592567	0.0883983865963525	12.2340983913537	0	0.497584209341946	0.73870927794818	0.73870927794818
Gains	=~	pgvalues		1.0489799833539	0.0852372697615485	12.3065882599058	0	0.482633522134281	0.687731721824527	0.687731721824527
Gains	=~	pgprobsolve		1.06258969552045	0.0840293124520927	12.6454645945872	0	0.488895322571285	0.730923715440537	0.730923715440537
SupportEnv	=~	SEacademic		1	0	NA	NA	0.567571850830303	0.802404579544307	0.802404579544307
SupportEnv	=~	SEwellness		0.891614957072363	0.0608443281382645	14.6540357064381	0	0.506055551413542	0.759005145410098	0.759005145410098
SupportEnv	=~	SEnonacad		1.03547045618126	0.0726765337416751	14.2476588091251	0	0.587703883294894	0.774299919055802	0.774299919055802
SupportEnv	=~	SEactivities		1.03201571446238	0.0668329615657432	15.4417175340524	0	0.585743069143372	0.737635421188436	0.737635421188436
SupportEnv	=~	SEdiverse		1.00910950259429	0.0644231018221215	15.6637832400641	0	0.572742148077889	0.771414742921531	0.771414742921531
Satisf	=~	sameinst		1	0	NA	NA	0.526246264964026	0.833384955536387	0.833384955536387
Satisf	=~	evalexp		1.00970284044153	0.103364198992535	9.76839999035303	0	0.531352348505924	0.829603205075939	0.829603205075939
DevAdj	=~	Belong		1	0	NA	NA	0.333962110349194	0.333962110349194	0.333962110349194
DevAdj	=~	Gains		0.169077684763498	0.144752352879617	1.16804792046531	0.242787435797651	0.0795969887289378	0.0795969887289378	0.0795969887289378
DevAdj	=~	SupportEnv		0.899908527413751	0.238904936497805	3.76680591286995	0.000165349444773755	0.343429934490324	0.343429934490324	0.343429934490324
DevAdj	=~	Satisf		1.30468239036158	0.297641476728674	4.38340249047651	1.16839958350656e-05	0.537002617039805	0.537002617039805	0.537002617039805
EmoDiss	=~	MHWdacad		1	0	NA	NA	0.940504588347523	0.896140517780534	0.896140517780534
EmoDiss	=~	MHWdlonely		0.973637711794321	0.0337188829594712	28.8751472865989	0	0.915710735330742	0.912203044044756	0.912203044044756
EmoDiss	=~	MHWdmental		0.995661351967325	0.0321175612727953	31.0005278268337	0	0.936424069965567	0.938436146756967	0.938436146756967
EmoDiss	=~	MHWdexhaust		0.978114049986932	0.0331166681618002	29.535400276625	0	0.919920751939888	0.914964604869592	0.914964604869592
EmoDiss	=~	MHWdsleep		0.986604908822473	0.0356062097496465	27.7087877580755	0	0.927906443633726	0.912409140664938	0.912409140664938
EmoDiss	=~	MHWdfinancial		0.998082815849983	0.0427668788718628	23.3377520683802	0	0.938701467857725	0.845224337530732	0.845224337530732
QualEngag	=~	QIadmin		1	0	NA	NA	0.969230228689708	0.886137722163394	0.886137722163394
QualEngag	=~	QIstudent		1.03118858735245	0.0389551437353701	26.4711791171279	0	0.999459150341828	0.912497517864297	0.912497517864297
QualEngag	=~	QIadvisor		0.981318550343869	0.0379024842240145	25.8906129884257	0	0.95112360296724	0.917678084430387	0.917678084430387
QualEngag	=~	QIfaculty		1.02358506779946	0.0337756533411406	30.3054113405611	0	0.992089589346644	0.935995349818351	0.935995349818351
