lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.852144517044167	0.0217175223658482	39.2376488758314	0	0.809578955373662	0.894710078714673
Belong	=~	sbmyself		0.846483334676897	0.0224947412929447	37.6302765012189	0	0.802394451901179	0.890572217452615
Belong	=~	sbcommunity		0.855579994557331	0.022025335309132	38.8452653523326	0	0.812411130604014	0.898748858510648
Gains	=~	pganalyze		0.708844827081573	0.0300184553045261	23.6136343422939	0	0.650009735813176	0.767679918349969
Gains	=~	pgthink		0.748238134072622	0.0289818184677304	25.8175012346359	0	0.691434813669393	0.805041454475852
Gains	=~	pgwork		0.73870927794818	0.0293005412818161	25.2114549981581	0	0.681281272308292	0.796137283588069
Gains	=~	pgvalues		0.687731721824527	0.0359015030734763	19.156070441313	0	0.61736606880966	0.758097374839395
Gains	=~	pgprobsolve		0.730923715440537	0.0314107691630899	23.2698445442536	0	0.66935973915418	0.792487691726895
SupportEnv	=~	SEacademic		0.802404579544307	0.0236428260766596	33.9386068713862	0	0.75606549194131	0.848743667147304
SupportEnv	=~	SEwellness		0.759005145410098	0.0259299733287847	29.2713430818507	0	0.708183331565595	0.8098269592546
SupportEnv	=~	SEnonacad		0.774299919055802	0.0253288177231825	30.5699195089992	0	0.724656348547385	0.82394348956422
SupportEnv	=~	SEactivities		0.737635421188436	0.0276607748703693	26.6672002011991	0	0.683421298658041	0.79184954371883
SupportEnv	=~	SEdiverse		0.771414742921531	0.0261544394214673	29.4946005337955	0	0.720152983619621	0.822676502223442
Satisf	=~	sameinst		0.833384955536387	0.0449766752603909	18.5292699096039	0	0.745232291881667	0.921537619191107
Satisf	=~	evalexp		0.829603205075939	0.0435938947006381	19.0302612504084	0	0.744160741516857	0.915045668635021
DevAdj	=~	Belong		0.333962110349194	0.0737287221911623	4.5296066502184	5.90935994759789e-06	0.189456470228357	0.478467750470031
DevAdj	=~	Gains		0.0795969887289378	0.063553215052776	1.2524462950118	0.210407286035569	-0.0449650238762321	0.204159001334108
DevAdj	=~	SupportEnv		0.343429934490324	0.0647658986999139	5.30263520439315	1.14142870044631e-07	0.216491105612123	0.470368763368525
DevAdj	=~	Satisf		0.537002617039805	0.0780820978312082	6.87741021252599	6.09512440519211e-12	0.383964517453304	0.690040716626306
EmoDiss	=~	MHWdacad		0.896140517780534	0.0123566073059007	72.5231850131382	0	0.871922012489864	0.920359023071204
EmoDiss	=~	MHWdlonely		0.912203044044756	0.010720323844169	85.0909969982783	0	0.891191595407579	0.933214492681933
EmoDiss	=~	MHWdmental		0.938436146756967	0.00718061492853504	130.690220280121	0	0.924362400110188	0.952509893403746
EmoDiss	=~	MHWdexhaust		0.914964604869592	0.00928562136791585	98.5356357551928	0	0.896765121414401	0.933164088324782
EmoDiss	=~	MHWdsleep		0.912409140664938	0.00998907822471627	91.3406742983889	0	0.89283090710574	0.931987374224135
EmoDiss	=~	MHWdfinancial		0.845224337530732	0.0156534927469546	53.995894155646	0	0.814544055514442	0.875904619547022
QualEngag	=~	QIadmin		0.886137722163394	0.0127018041310337	69.7647131873443	0	0.861242643527886	0.911032800798903
QualEngag	=~	QIstudent		0.912497517864297	0.0102926543941388	88.6552178788715	0	0.892324285946467	0.932670749782127
QualEngag	=~	QIadvisor		0.917678084430387	0.00980215776395642	93.6200076073849	0	0.898466208242253	0.936889960618521
QualEngag	=~	QIfaculty		0.935995349818351	0.00847431577764491	110.450846342957	0	0.919385996100547	0.952604703536155
QualEngag	=~	QIstaff		0.907678861498208	0.0119435657199384	75.997309579244	0	0.884269902840142	0.931087820156275
EmoDiss	~	x_FASt	a1	0.0804293060134881	0.0603666285599327	1.33234715822562	0.182746137474052	-0.037887111832087	0.198745723859063
EmoDiss	~	XZ_c	a1z	-0.121247641011812	0.0628983122960428	-1.927677175838	0.0538952927687588	-0.244526067800409	0.00203078577678448
EmoDiss	~	cohort	g1	0.0347818502440755	0.0503717508242139	0.690503102928789	0.489877859295254	-0.0639449672096095	0.133508667697761
EmoDiss	~	hgrades_c		-0.024704525715711	0.0500256373087654	-0.493837301126842	0.621421087497924	-0.122752973144554	0.0733439217131325
EmoDiss	~	bparented_c		0.0677343375393435	0.0521676478012982	1.29839738600708	0.194150816920116	-0.034512373309371	0.169981048388058
