lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.517788094608151	0.699406555780118	0.699406555780118
Belong	=~	sbmyself		0.968250495541076	0.0314636967939655	30.7735769856128	0	0.906582783004415	1.02991820807774	0.501348579189612	0.705599723528645	0.705599723528645
Belong	=~	sbcommunity		1.13603882245991	0.0368617528533177	30.8189040000484	0	1.06379111446039	1.20828653045943	0.588227377282404	0.743050419311213	0.743050419311213
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.396967843804966	0.632454339326784	0.632454339326784
Gains	=~	pgthink		0.67697009105043	0.0368261304981865	18.3828732992669	0	0.604792201584012	0.749147980516847	0.268735357364741	0.465046272562563	0.465046272562563
Gains	=~	pgwork		0.777083650015304	0.0382796993728982	20.3001502818874	0	0.702056817905403	0.852110482125205	0.308477221002668	0.526485473399917	0.526485473399917
Gains	=~	pgvalues		0.758377668611364	0.0412437698739869	18.3876903330722	0	0.677541365071692	0.839213972151036	0.30105154789849	0.520432232448196	0.520432232448196
Gains	=~	pgprobsolve		0.898391244857145	0.0422429275115226	21.2672581608386	0	0.815596628333025	0.981185861381266	0.3566324353642	0.588963706059182	0.588963706059182
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.293187145392034	0.559191373177832	0.559191373177832
SupportEnv	=~	SEwellness		1.26140434396403	0.0556327241729012	22.6737835099303	0	1.15236620822329	1.37044247970477	0.369827538791925	0.620842203121116	0.620842203121116
SupportEnv	=~	SEnonacad		1.29012495172421	0.0564259350874024	22.8640420353839	0	1.17953215115891	1.40071775228951	0.378248051795057	0.621084385772978	0.621084385772978
SupportEnv	=~	SEactivities		1.42445868148799	0.0600614565056509	23.7166856144085	0	1.3067403898779	1.54217697309809	0.417632974554364	0.667273490827213	0.667273490827213
SupportEnv	=~	SEdiverse		1.10786842283461	0.0523342477676079	21.1690904157855	0	1.0052951820521	1.21044166361712	0.324812780360854	0.559520126246512	0.559520126246512
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.450384860217129	0.688847790007023	0.688847790007023
Satisf	=~	evalexp		1.16436425591284	0.0844728076340094	13.7838943504472	0	0.998800595277197	1.32992791654847	0.524412032641123	0.754854743535633	0.754854743535633
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.459934024932249	0.459934024932249	0.459934024932249
DevAdj	=~	Gains		1.02589526805364	0.108066357517567	9.49319743553748	0	0.814089099378781	1.2377014367285	0.615453573656299	0.615453573656299	0.615453573656299
DevAdj	=~	SupportEnv		0.483624211584422	0.0516450841099118	9.36438036493784	0	0.382401706750453	0.584846716418391	0.392835483490015	0.392835483490015	0.392835483490015
DevAdj	=~	Satisf		1.11568355414159	0.112863540355554	9.88524328252373	0	0.894475079877016	1.33689202840615	0.589935930049281	0.589935930049281	0.589935930049281
EmoDiss	=~	MHWdacad		1	0	NA	NA	1	1	0.797454778125152	0.539674476512078	0.539674476512078
EmoDiss	=~	MHWdlonely		0.894575577518884	0.0423650804038585	21.1158711134514	0	0.811541545725178	0.97760960931259	0.713383568686501	0.49824946819749	0.49824946819749
EmoDiss	=~	MHWdmental		1.17474724442643	0.0473314987235725	24.8195657460001	0	1.08197921159392	1.26751527725893	0.93680780315721	0.6266778930066	0.6266778930066
EmoDiss	=~	MHWdexhaust		1.02596257503735	0.0466075699215317	22.0127884110811	0	0.934613416584211	1.11731173349048	0.818158757641116	0.558864622423895	0.558864622423895
EmoDiss	=~	MHWdsleep		1.05982649067267	0.0457121516122359	23.1847868300512	0	0.970232319856853	1.14942066148849	0.845163698970532	0.586429097661231	0.586429097661231
EmoDiss	=~	MHWdfinancial		1.09216546610943	0.0484530627857106	22.5406899650422	0	0.997199208108777	1.18713172411008	0.870952569452247	0.579468989685543	0.579468989685543
QualEngag	=~	QIadmin		1	0	NA	NA	1	1	1.05217147182661	0.731566634366203	0.731566634366203
QualEngag	=~	QIstudent		0.864049127174767	0.0249386166363332	34.6470351493325	0	0.815170336743302	0.912927917606231	0.909127841869975	0.68481162484575	0.68481162484575
QualEngag	=~	QIadvisor		0.926249248887251	0.0252995984137817	36.6112233774701	0	0.876662947172912	0.97583555060159	0.974573035479994	0.712408707942394	0.712408707942394
QualEngag	=~	QIfaculty		0.895289085362634	0.0251794577759	35.5563290254622	0	0.845938254971623	0.944639915753644	0.941997634656305	0.691435902788923	0.691435902788923
QualEngag	=~	QIstaff		0.879900548203982	0.0253906385218251	34.654526212393	0	0.830135811156729	0.929665285251234	0.925806254864827	0.694905703270543	0.694905703270543
DevAdj	~	x_FASt	c_total	-0.0804682123698989	0.0129483254026441	-6.21456519415762	5.14669640239163e-10	-0.105846463819186	-0.0550899609206114	-0.337891100966847	-0.168945550483424	-0.337891100966847
sbvalued	~~	sbvalued		0.279976459642391	0.0102200189039546	27.3949062397581	0	0.259945590669321	0.30000732861546	0.279976459642391	0.510830469731793	0.510830469731793
sbmyself	~~	sbmyself		0.253500081646005	0.00916801006105061	27.6505021218263	0	0.235531112116445	0.271469051175565	0.253500081646005	0.5021290301563	0.5021290301563
sbcommunity	~~	sbcommunity		0.280680190700791	0.0120294118134064	23.3328274943569	0	0.257102976791313	0.304257404610268	0.280680190700791	0.447876074361431	0.447876074361431
pganalyze	~~	pganalyze		0.236376689409197	0.00829124945439261	28.5091759341492	0	0.220126139091751	0.252627239726644	0.236376689409197	0.600001508666721	0.600001508666721
pgthink	~~	pgthink		0.261712727985538	0.00770266830363312	33.9768918599411	0	0.246615775525559	0.276809680445518	0.261712727985538	0.783731964375666	0.783731964375666
pgwork	~~	pgwork		0.248141496286661	0.00721486895343581	34.3930704615906	0	0.23400061298475	0.262282379588571	0.248141496286661	0.722813046298865	0.722813046298865
pgvalues	~~	pgvalues		0.243989091630769	0.00760389183132475	32.0873964337103	0	0.229085737499034	0.258892445762504	0.243989091630769	0.729150291428987	0.729150291428987
pgprobsolve	~~	pgprobsolve		0.239474216707589	0.00787641532258344	30.4039600376281	0	0.224036726348046	0.254911707067132	0.239474216707589	0.653121752945033	0.653121752945033
SEacademic	~~	SEacademic		0.188937616768997	0.00519493859443315	36.3695572785905	0	0.178755724222011	0.199119509315983	0.188937616768997	0.68730500816349	0.68730500816349
SEwellness	~~	SEwellness		0.218070419549355	0.00651686246251835	33.4624860971955	0	0.205297603830618	0.230843235268092	0.218070419549355	0.614554958823719	0.614554958823719
