lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.699406555780118	0.0136487902357667	51.2431170600983	0	0.672655418485473	0.726157693074762
Belong	=~	sbmyself		0.705599723528645	0.0133938973233643	52.680687815771	0	0.679348167162223	0.731851279895066
Belong	=~	sbcommunity		0.743050419311213	0.0129930853410486	57.1881427549561	0	0.717584439994702	0.768516398627723
Gains	=~	pganalyze		0.632454339326784	0.0169815575211845	37.2436002138082	0	0.599171098183867	0.665737580469701
Gains	=~	pgthink		0.465046272562563	0.0186294246905941	24.9629969946072	0	0.428533271116297	0.501559274008829
Gains	=~	pgwork		0.526485473399917	0.0179649898749221	29.3061937170839	0	0.491274740262443	0.561696206537391
Gains	=~	pgvalues		0.520432232448196	0.0185050292702931	28.1238264931398	0	0.484163041545562	0.55670142335083
Gains	=~	pgprobsolve		0.588963706059182	0.0164006756987964	35.9109415292203	0	0.55681897236742	0.621108439750945
SupportEnv	=~	SEacademic		0.559191373177832	0.0156765000159512	35.670677294603	0	0.528465997742926	0.589916748612738
SupportEnv	=~	SEwellness		0.620842203121116	0.0151729965998648	40.9175734690831	0	0.591103676247832	0.6505807299944
SupportEnv	=~	SEnonacad		0.621084385772978	0.0150778942250688	41.1917192481925	0	0.591532256129138	0.650636515416817
SupportEnv	=~	SEactivities		0.667273490827213	0.0139518711720897	47.8268099380158	0	0.639928325812975	0.694618655841452
SupportEnv	=~	SEdiverse		0.559520126246512	0.0164635009736598	33.9854886965838	0	0.527252257278698	0.591787995214325
Satisf	=~	sameinst		0.688847790007023	0.0258430804788447	26.6550185675782	0	0.638196283018918	0.739499296995129
Satisf	=~	evalexp		0.754854743535633	0.0272653321523037	27.6855143124252	0	0.701415674490595	0.80829381258067
DevAdj	=~	Belong		0.459934024932249	0.0277139889181663	16.5957353266735	0	0.405615604784701	0.514252445079797
DevAdj	=~	Gains		0.615453573656299	0.0330925911041574	18.5979263974582	0	0.55059328693704	0.680313860375558
DevAdj	=~	SupportEnv		0.392835483490015	0.02920824763167	13.449471137189	0	0.335588370080414	0.450082596899615
DevAdj	=~	Satisf		0.589935930049281	0.0296514570966932	19.8956809483427	0	0.531820142050627	0.648051718047934
EmoDiss	=~	MHWdacad		0.539674476512078	0.0159084607799238	33.9237393219801	0	0.50849446633396	0.570854486690197
EmoDiss	=~	MHWdlonely		0.49824946819749	0.0165525470761037	30.1010754361058	0	0.465807072075923	0.530691864319057
EmoDiss	=~	MHWdmental		0.6266778930066	0.0146909945354041	42.6572817447014	0	0.597884072820133	0.655471713193067
EmoDiss	=~	MHWdexhaust		0.558864622423895	0.0159879038097822	34.9554656490962	0	0.527528906768431	0.590200338079359
EmoDiss	=~	MHWdsleep		0.586429097661231	0.0150572129386256	38.9467227468696	0	0.556917502593974	0.615940692728488
EmoDiss	=~	MHWdfinancial		0.579468989685543	0.0154781581474022	37.4378517241599	0	0.549132357169619	0.609805622201467
QualEngag	=~	QIadmin		0.731566634366203	0.0111186200370352	65.7965315776075	0	0.709774539535829	0.753358729196577
QualEngag	=~	QIstudent		0.68481162484575	0.0118502898652424	57.7885969569691	0	0.661585483503515	0.708037766187985
QualEngag	=~	QIadvisor		0.712408707942394	0.0112366878663117	63.4002400367674	0	0.690385204418905	0.734432211465884
QualEngag	=~	QIfaculty		0.691435902788923	0.0116303944183118	59.4507699326407	0	0.668640748603037	0.71423105697481
QualEngag	=~	QIstaff		0.694905703270543	0.0112584497468929	61.7230363765069	0	0.672839547244879	0.716971859296207
DevAdj	~	x_FASt	c_total	-0.168945550483424	0.0248060098870202	-6.81067012602557	9.71445146547012e-12	-0.217564436462128	-0.12032666450472
sbvalued	~~	sbvalued		0.510830469731793	0.0190921067768808	26.7561079403963	0	0.473410628060114	0.548250311403473
sbmyself	~~	sbmyself		0.5021290301563	0.0189014601860895	26.5656211325853	0	0.465082848936347	0.539175211376253
sbcommunity	~~	sbcommunity		0.447876074361431	0.0193090354040033	23.1951552726748	0	0.410031060393376	0.485721088329486
