lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.515971092115279	0.698427962868492	0.698427962868492
Belong	=~	sbmyself		0.96992264076366	0.0311674388086688	31.1197415584206	0	0.908835583208313	1.03100969831901	0.500452044222161	0.705861369872663	0.705861369872663
Belong	=~	sbcommunity		1.13174844838595	0.0359426161113162	31.4876481133389	0	1.06130221529762	1.20219468147428	0.58394948291347	0.739397061098871	0.739397061098871
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.394421633237293	0.629844089935004	0.629844089935004
Gains	=~	pgthink		0.669723230280608	0.0360320266348531	18.586887633814	0	0.599101755786308	0.740344704774908	0.264153330304233	0.45767326043252	0.45767326043252
Gains	=~	pgwork		0.774179035074732	0.0380430862610123	20.3500586088919	0	0.699615956142397	0.848742114007067	0.305352959432247	0.521977530287504	0.521977530287504
Gains	=~	pgvalues		0.756322837039163	0.0404740623242405	18.6866055346807	0	0.676995132575622	0.835650541502704	0.29831008863965	0.516491748918149	0.516491748918149
Gains	=~	pgprobsolve		0.911105469356898	0.0427363912044565	21.319195273135	0	0.827343681766949	0.994867256946847	0.359359707275178	0.594685930666025	0.594685930666025
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.292432475889647	0.558219967900631	0.558219967900631
SupportEnv	=~	SEwellness		1.26292542205837	0.0555870592278509	22.719773983395	0	1.15397678796528	1.37187405615145	0.369320408036506	0.620635696986996	0.620635696986996
SupportEnv	=~	SEnonacad		1.28353705767659	0.0561486993842387	22.8596044387965	0	1.17348762910472	1.39358648624847	0.375347919672479	0.616955619470272	0.616955619470272
SupportEnv	=~	SEactivities		1.42599784957573	0.0603302759671648	23.6365212443557	0	1.30775268150273	1.54424301764874	0.417008081764744	0.667075328857308	0.667075328857308
SupportEnv	=~	SEdiverse		1.11083075541128	0.0524064011196049	21.1964708829381	0	1.0081160966575	1.21354541416507	0.324842988099288	0.560046168798179	0.560046168798179
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.456518353897546	0.700022700612691	0.700022700612691
Satisf	=~	evalexp		1.12151194422642	0.0748286364928296	14.9877372726669	0	0.974850511688236	1.26817337676461	0.511990786654682	0.739085347506903	0.739085347506903
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.502756957288793	0.502756957288793	0.502756957288793
DevAdj	=~	Gains		0.883944153075806	0.0808250448881026	10.9365129867799	0	0.725529976046292	1.04235833010532	0.581363229910932	0.581363229910932	0.581363229910932
DevAdj	=~	SupportEnv		0.446747910406896	0.0439200548796879	10.1718431734817	0	0.360666184643685	0.532829636170107	0.396296638229019	0.396296638229019	0.396296638229019
DevAdj	=~	Satisf		0.972362258596632	0.0889893159415292	10.9267303418258	0	0.797946404342379	1.14677811285088	0.552526752514568	0.552526752514568	0.552526752514568
EmoDiss	=~	MHWdacad		1	0	NA	NA	1	1	0.797516915185142	0.5397176812847	0.5397176812847
EmoDiss	=~	MHWdlonely		0.882777103587246	0.0413362143618589	21.3560220067416	0	0.801759612180775	0.963794594993716	0.704029672448974	0.491716365845053	0.491716365845053
EmoDiss	=~	MHWdmental		1.15693330760586	0.0449646012454883	25.7298691761877	0	1.0688043085855	1.24506230662622	0.922673882556769	0.617222726673202	0.617222726673202
EmoDiss	=~	MHWdexhaust		1.04025914103955	0.0455969024429901	22.8142502078994	0	0.950890854444707	1.1296274276344	0.82962426115501	0.566695760989164	0.566695760989164
EmoDiss	=~	MHWdsleep		1.05900652181088	0.0443271553587123	23.8906943890487	0	0.972126893770688	1.14588614985106	0.844575614435556	0.586021392884404	0.586021392884404
EmoDiss	=~	MHWdfinancial		1.10793801095791	0.0474744685514545	23.3375547902572	0	1.01488976241188	1.20098625950394	0.883599304715517	0.587883128989284	0.587883128989284
QualEngag	=~	QIadmin		1	0	NA	NA	1	1	1.05322995539682	0.732301130623637	0.732301130623637
QualEngag	=~	QIstudent		0.860476653298162	0.0249027935378587	34.5534187556113	0	0.811668074849522	0.909285231746801	0.90627978717323	0.682666150491771	0.682666150491771
QualEngag	=~	QIadvisor		0.927670478430976	0.0253011604400465	36.6651356023444	0	0.878081115201415	0.977259841660536	0.977050336620806	0.714219349581033	0.714219349581033
QualEngag	=~	QIfaculty		0.899738761904142	0.0250724961134036	35.8854881394576	0	0.85059757251935	0.948879951288933	0.947631816069092	0.695571240535952	0.695571240535952
QualEngag	=~	QIstaff		0.872888115094673	0.0252711506375308	34.5408931953547	0	0.823357569997226	0.92241866019212	0.91935191052758	0.690061073110751	0.690061073110751
EmoDiss	~	x_FASt	a1	0.211676056811892	0.0427849344769803	4.94744375326273	7.51944220445111e-07	0.127819126156104	0.295532987467679	0.265418893043481	0.13270944652174	0.265418893043481
EmoDiss	~	XZ_c	a1z	0.166315002794403	0.0166234781708795	10.0048257702018	0	0.133733584281691	0.198896421307115	0.208541034839109	0.272484993822199	0.208541034839109
EmoDiss	~	cohort	g1	0.0140964050704949	0.0307451375508554	0.458492177736338	0.646598881054913	-0.0461629572289116	0.0743557673699015	0.0176753681358878	0.00883718168992318	0.0176753681358878
EmoDiss	~	hgrades_c		0.0130003107996989	0.0162170032269	0.801646926858511	0.42275722432399	-0.0187844314621949	0.0447850530615927	0.0163009844081877	0.0156040486057301	0.0163009844081877
EmoDiss	~	bparented_c		-0.058286105487699	0.0126848370997651	-4.59494316160973	4.32867242605717e-06	-0.0831479293529961	-0.033424281622402	-0.0730844755489205	-0.0895132217301713	-0.0730844755489205
EmoDiss	~	pell		0.175340064298948	0.030992885085483	5.65742956215059	1.53656845025552e-08	0.114595125754413	0.236085002843483	0.219857486355939	0.109476597983488	0.219857486355939
EmoDiss	~	hapcl		-0.00729921126114088	0.0308269069296333	-0.236780526758729	0.812827059415104	-0.0677188385979902	0.0531204160757085	-0.00915242187615091	-0.00456872423155657	-0.00915242187615091
EmoDiss	~	hprecalc13		-0.0429392809934195	0.0323991611265774	-1.32532076449955	0.185064784796448	-0.106440469930821	0.0205619079439823	-0.0538412166260465	-0.0258592416138392	-0.0538412166260465
EmoDiss	~	hchallenge_c		0.0395077677024396	0.0186881295884103	2.11405681427536	0.034510415090216	0.00287970677073816	0.0761358286341411	0.0495384699060182	0.0405896269968702	0.0495384699060182
EmoDiss	~	cSFcareer_c		0.0247017414003875	0.0167414688283755	1.47548232796156	0.140082915953441	-0.00811093455152855	0.0575144173523035	0.0309733134558695	0.0285681848967683	0.0309733134558695
QualEngag	~	x_FASt	a2	0.043898530930606	0.0531151829202101	0.826478014705336	0.408532984505221	-0.0602053146252628	0.148002376486475	0.0416799111207072	0.0208399555603536	0.0416799111207072
QualEngag	~	XZ_c	a2z	-0.262288739000481	0.0209655284782633	-12.510475911562	0	-0.303380419734726	-0.221197058266236	-0.249032737491462	-0.325392477261078	-0.249032737491462
QualEngag	~	cohort	g2	0.0322286342369563	0.0394141549656883	0.817691874023754	0.413533151616858	-0.0450216899768733	0.109478958450786	0.0305998078309628	0.0152990341926687	0.0305998078309628
QualEngag	~	hgrades_c		0.010646872279982	0.0206659929950209	0.515188032946068	0.606421630672233	-0.0298577296950159	0.05115147425498	0.0101087822516125	0.00967658919541537	0.0101087822516125
QualEngag	~	bparented_c		0.0400863068072038	0.0156576504570219	2.56017382155995	0.0104619821197869	0.00939787582892364	0.0707747377854839	0.038060355767322	0.0466159884071278	0.038060355767322
QualEngag	~	pell		-0.117337799762777	0.0398065383329996	-2.94770167607125	0.0032014585011706	-0.195357181244669	-0.039318418280885	-0.111407579286489	-0.0554746757638945	-0.111407579286489
QualEngag	~	hapcl		0.00615810310565267	0.0396349290644206	0.155370609990082	0.876529152609021	-0.0715249303904116	0.083841136601717	0.00584687425010856	0.00291865436567586	0.00584687425010856
QualEngag	~	hprecalc13		0.13340962982131	0.0417148195148205	3.198135132142	0.00138319447432989	0.0516500859506735	0.215169173691947	0.126667143426476	0.0608365945582195	0.126667143426476
QualEngag	~	hchallenge_c		-0.0239522998390294	0.023243544727753	-1.03049255694766	0.302778844438671	-0.069508810378471	0.0216042107004123	-0.022741757121791	-0.0186335880090389	-0.022741757121791
QualEngag	~	cSFcareer_c		-0.0192774724247503	0.0209448172739349	-0.920393440182478	0.357367195379663	-0.060328559944435	0.0217736150949344	-0.0183031942131642	-0.0168819211812175	-0.0183031942131642
DevAdj	~	x_FASt	c	-0.0129971370050291	0.0168057035590642	-0.773376547988617	0.439299565136489	-0.0459357107156516	0.0199414367055934	-0.0501030584376045	-0.0250515292188023	-0.0501030584376045
DevAdj	~	XZ_c	cz	0.0240680128239473	0.0084970045148367	2.83252913211026	0.00461813578532921	0.00741418999839315	0.0407218356495015	0.0927805140877289	0.121229367771767	0.0927805140877289
DevAdj	~	EmoDiss	b1	-0.151435688243884	0.013096213910078	-11.5633181684172	0	-0.177103795841469	-0.125767580646299	-0.465569669076976	-0.465569669076976	-0.465569669076976
DevAdj	~	QualEngag	b2	0.109583000742415	0.0101546783590772	10.7913807673149	0	0.0896801968840352	0.129485804600794	0.444921027593026	0.444921027593026	0.444921027593026
DevAdj	~	cohort	g3	-0.0213401646700657	0.0126835448669758	-1.6825079182421	0.0924703907840274	-0.0461994558056361	0.00351912646550468	-0.082264849337103	-0.0411300864964769	-0.082264849337103
DevAdj	~	hgrades_c		0.0293143308795773	0.00610057266582809	4.80517690474853	1.54614734082514e-06	0.0173574281694848	0.0412712335896699	0.113004705001603	0.108173277476146	0.113004705001603
