"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hprecalc13","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","firstgen","re_all","living18","sex","StemMaj","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","SFcareer","SFotherwork","SFdiscuss","SFperform","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band"
0,6,-0.2412,5,2.9974234338206,0.133126158920496,1,0,0,2.03037542220148,-0.994654618798656,3.23794722218141,0.0536879291123347,0,"White","Off-campus (rent/apartment)","Male",0,3,0,-0.9,-0.638559999999991,0,-9,-0.9,0,4,3,3,3,3,2,2,2,2,3,2,2,3,3,3,4,4,3,6,6,6,5,6,6,7,5,3,3,3,3,1,1,3,1,10,"Continuing-Gen Cruiser","non_FASt_1_11"
1,7,0.7588,6,4.22955771225573,1.36526043735563,1,0,0,3.34697478456845,0.321944743568314,1.75150662758065,-1.43275266548843,0,"Asian","With family (commuting)","Female",0,0,0,-1.2,-0.93855999999999,0,-12,-1.2,0,2,3,2,3,2,2,2,4,2,2,2,2,2,3,3,5,3,6,6,2,6,4,5,4,4,4,2,2,3,2,2,0,1,0,8,"Multiracial Bridge-Builder","non_DE"
1,7,0.7588,8,3.21949142227686,0.355194147376756,0,0,0,2.26302616477496,-0.762003876225176,3.92750512911991,0.743245836050835,0,"White","Off-campus (rent/apartment)","Female",0,0,0,-1.2,-0.93855999999999,0,-12,-1.2,0,4,3,3,2,3,2,3,2,2,3,3,3,2,4,3,2,3,2,3,3,1,4,4,6,5,3,2,2,3,3,3,0,1,0,2,"Latino First-Gen Striver","non_DE"
1,5,-1.2412,4,3.5159368349502,0.651639560050096,0,0,0,2.62914018613876,-0.395889854861376,3.59857151404227,0.414312220973195,0,"Asian","With family (commuting)","Male",0,6,0,-0.6,-0.338559999999991,0,-6,-0.6,0,3,3,3,2,3,2,2,2,3,2,2,2,3,2,2,1,2,4,3,5,2,5,4,6,5,2,3,2,2,2,4,1,4,1,2,"Latino First-Gen Striver","non_FASt_1_11"
1,5,-1.2412,5,2.28024105943651,-0.584056215463594,0,0,0,3.14692871838965,0.121898677389514,5.10962480742619,1.92536551435711,1,"White","Off-campus (rent/apartment)","Female",0,0,0,-1.2,-0.93855999999999,0,-12,-1.2,0,2,3,2,3,2,3,3,4,2,3,2,3,2,3,3,4,4,6,6,6,5,3,2,4,4,4,3,3,2,2,5,0,1,0,9,"Hispanic On-Campus Transitioner","non_DE"
1,7,0.7588,6,3.20830343583599,0.344006160935886,0,0,0,1.35574961278754,-1.6692804282126,3.3393497346834,0.155090441614325,0,"Other/Multiracial/Unknown","With family (commuting)","Male",0,0,0,-1.2,-0.93855999999999,0,-12,-1.2,0,2,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,6,3,3,6,6,5,4,5,2,3,3,2,6,0,1,0,1,"Latina Commuter Caretaker","non_DE"
0,5,-1.2412,6,1.6631161734007,-1.2011811014994,1,0,0,1.98043418355962,-1.04459585744052,3.171161853138,-0.0130974399310753,0,"Hispanic/Latino","With family (commuting)","Male",0,1,0,-1.1,-0.838559999999991,0,-11,-1.1,0,2,3,2,3,3,3,3,3,4,2,2,3,3,4,3,4,1,1,3,4,1,6,5,4,5,4,3,3,2,3,7,1,2,1,2,"Latino First-Gen Striver","non_FASt_1_11"
0,7,0.7588,8,5.98243902322776,3.11814174832766,1,1,0,2.92822583622593,-0.0968042047742057,3.60145131119648,0.417192018127405,0,"Hispanic/Latino","With family (commuting)","Male",1,25,1,1.3,1.56144000000001,1.56144000000001,13,0,1.3,3,2,3,4,3,2,3,3,3,3,4,4,3,4,4,6,4,5,5,4,3,4,6,5,5,7,3,2,2,3,8,2,7,1,7,"White Commuter Working","FASt_12plus"
0,7,0.7588,7,4.55285110140707,1.68855382650697,1,0,0,2.78633313113895,-0.238696909861186,3.23398801167915,0.049728718610075,0,"White","On-campus (residence hall)","Male",1,9,0,-0.3,-0.0385599999999905,0,-3,-0.3,0,2,3,3,3,4,3,3,3,2,3,2,2,2,3,3,3,3,4,5,6,2,7,5,5,3,5,3,3,3,3,9,1,6,1,2,"Latino First-Gen Striver","non_FASt_1_11"
1,7,0.7588,8,3.25114904423394,0.386851769333836,1,1,1,2.53452678665749,-0.490503254342646,4.76040748608051,1.57614819301143,0,"Hispanic/Latino","With family (commuting)","Male",0,14,1,0.2,0.461440000000009,0.461440000000009,2,0,0.2,2,3,1,3,4,3,4,3,3,3,3,3,2,4,4,4,4,2,4,4,3,5,4,5,6,4,2,2,3,3,10,2,7,1,1,"Latina Commuter Caretaker","FASt_12plus"
