lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.531074501901116	0.712942291644935	0.712942291644935
Belong	=~	sbmyself		0.941254770023994	0.0249371152247699	37.7451345731062	0	0.499876408152542	0.694893108901121	0.694893108901121
Belong	=~	sbcommunity		1.07907043406612	0.02841298872814	37.9780685654311	0	0.573066793287886	0.726014572776189	0.726014572776189
Gains	=~	pganalyze		1	0	NA	NA	0.37561357530257	0.609803902179526	0.609803902179526
Gains	=~	pgthink		0.728493857477725	0.0294649807031122	24.7240568326854	0	0.27363218239317	0.485382110371541	0.485382110371541
Gains	=~	pgwork		0.758399711329234	0.0301903474995462	25.1206022501276	0	0.284865227080811	0.493965869387485	0.493965869387485
Gains	=~	pgvalues		0.810702144441532	0.0306245270018181	26.4723156179164	0	0.304510730979145	0.533028117880382	0.533028117880382
Gains	=~	pgprobsolve		0.972407835055145	0.03454297166291	28.1506711276741	0	0.365249583577295	0.598875547484981	0.598875547484981
SupportEnv	=~	SEacademic		1	0	NA	NA	0.289339702556266	0.550613299384994	0.550613299384994
SupportEnv	=~	SEwellness		1.21898097141126	0.0427172051419989	28.5360656756257	0	0.352699591689881	0.602804270793762	0.602804270793762
SupportEnv	=~	SEnonacad		1.27829695420235	0.0441340489945193	28.9639628206579	0	0.36986206050749	0.619479086262425	0.619479086262425
SupportEnv	=~	SEactivities		1.42059314900817	0.0468744304781885	30.3063553949567	0	0.411033999187494	0.666330207847682	0.666330207847682
SupportEnv	=~	SEdiverse		1.10748902139937	0.0402865098979224	27.4903193204255	0	0.320440544036024	0.55875581652468	0.55875581652468
Satisf	=~	sameinst		1	0	NA	NA	0.441014556034198	0.689019313266173	0.689019313266173
Satisf	=~	evalexp		1.13624999677474	0.0544287913480172	20.8758998433306	0	0.501102787871473	0.73995467731394	0.73995467731394
DevAdj	=~	Belong		1	0	NA	NA	0.546108888003747	0.546108888003747	0.546108888003747
DevAdj	=~	Gains		0.686454536990699	0.0433895991880245	15.8207162508235	0	0.530035789048349	0.530035789048349	0.530035789048349
DevAdj	=~	SupportEnv		0.352815181191597	0.0265070769607041	13.3102258583485	0	0.353650216743835	0.353650216743835	0.353650216743835
DevAdj	=~	Satisf		0.834606796675093	0.0531429476302344	15.7049398629944	0	0.548862662992	0.548862662992	0.548862662992
EmoDiss	=~	MHWdacad		1	0	NA	NA	0.81448752466476	0.546924178824762	0.546924178824762
EmoDiss	=~	MHWdlonely		0.876610733367452	0.0344180918235283	25.469475119716	0	0.713988506315016	0.496029988567885	0.496029988567885
EmoDiss	=~	MHWdmental		1.15508097684347	0.0387838543461844	29.7825215238596	0	0.940799045616593	0.626173873953273	0.626173873953273
EmoDiss	=~	MHWdexhaust		1.07332081171536	0.0377296392025948	28.4476828933352	0	0.874206411105218	0.590801335590911	0.590801335590911
EmoDiss	=~	MHWdsleep		1.02579122061741	0.0368290066125553	27.852807201911	0	0.835494152103516	0.566021615533373	0.566021615533373
EmoDiss	=~	MHWdfinancial		1.07364434123009	0.0380927962606758	28.1849705619653	0	0.874469921858821	0.582674181163966	0.582674181163966
QualEngag	=~	QIadmin		1	0	NA	NA	1.01235949785261	0.724512302665396	0.724512302665396
QualEngag	=~	QIstudent		0.892948907885147	0.0206297100580394	43.2846077512933	0	0.903985307994645	0.687204079868492	0.687204079868492
QualEngag	=~	QIadvisor		0.941921367475406	0.0211553887870164	44.5239450316076	0	0.953563042594047	0.708743674576642	0.708743674576642
QualEngag	=~	QIfaculty		0.939124355254228	0.0214580003667241	43.765697604823	0	0.950731460706328	0.702287146682904	0.702287146682904
QualEngag	=~	QIstaff		0.903977237262292	0.0209602190572524	43.1282342418797	0	0.915149941985045	0.684279686512577	0.684279686512577
EmoDiss	~	x_FASt	a1	0.21282723724655	0.0431522911739107	4.9320031789001	8.13905919327951e-07	0.261302022193832	0.116223144678005	0.261302022193832
EmoDiss	~	XZ_c	a1z	0.166388925230428	0.0176010409587267	9.45335708385656	0	0.204286646746263	0.215114337328394	0.204286646746263
EmoDiss	~	cohort	g1	-0.0107161613562996	0.0255970976224052	-0.418647516776267	0.67547375734208	-0.0131569373769234	-0.0065782981723434	-0.0131569373769234
EmoDiss	~	hgrades_c		0.00876383685283191	0.0118166143039346	0.741653795868907	0.458297120686611	0.0107599399468262	0.0125159081243245	0.0107599399468262
EmoDiss	~	bparented_c		-0.0455550193872509	0.0104293497812859	-4.3679635205057	1.25410433602369e-05	-0.0559308988876179	-0.0689024084168206	-0.0559308988876179
EmoDiss	~	pell		0.163937938691095	0.0259018038043063	6.32920934502019	2.46420661653701e-10	0.201277409078268	0.100251822266659	0.201277409078268
EmoDiss	~	hapcl		0.0179838228023201	0.026438475631715	0.680214058209435	0.496368932150281	0.0220799241949374	0.0109451153038472	0.0220799241949374
EmoDiss	~	hprecalc13		-0.0409639849779491	0.0283509384958921	-1.44488991021883	0.148488810853657	-0.0502941834435214	-0.0230608368686837	-0.0502941834435214
EmoDiss	~	hchallenge_c		0.0187973503842688	0.0158722746044758	1.18428838037922	0.236298926867634	0.0230787456100149	0.0186199477691875	0.0230787456100149
EmoDiss	~	cSFcareer_c		0.0255791032204653	0.0140071020938183	1.82615240819542	0.0678273078030707	0.031405150411596	0.0286954796636609	0.031405150411596
QualEngag	~	x_FASt	a2	0.0292831305491979	0.0512432199315755	0.571453756971154	0.567692098181944	0.0289256243570712	0.0128656754981396	0.0289256243570712
QualEngag	~	XZ_c	a2z	-0.251315384747169	0.0208239344414154	-12.0685831706877	0	-0.248247174329132	-0.261404880103521	-0.248247174329132
QualEngag	~	cohort	g2	0.0240614586756356	0.0306151347428514	0.785933456695104	0.431906472636129	0.0237677018160782	0.0118835428746314	0.0237677018160782
QualEngag	~	hgrades_c		0.011847449671156	0.0141330338601742	0.838280710877032	0.401873066604346	0.0117028088305453	0.013612648476058	0.0117028088305453
QualEngag	~	bparented_c		0.0435826596584284	0.0124221971598506	3.50845016365468	0.000450725671714114	0.0430505761548884	0.0530348776758216	0.0430505761548884
