"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hprecalc13","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","firstgen","re_all","living18","sex","StemMaj","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","SFcareer","SFotherwork","SFdiscuss","SFperform","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band"
1,6,-0.6164,7,5,-1.0412,1,0,1,5,0.5182,1,-1.3158,1,"Asian","With family (commuting)","Male",0,3,0,-0.9,-1.59138,0,33,2.8,3.8,3,2,2,3,4,3,3,4,2,3,2,2,1,2,2,4,4,5,4,4,4,4,4,5,4,5,1,4,2,2,1,1,1,0,4,"Asian First-Gen Navigator","non_FASt_1_11"
0,8,1.3836,7,6,-0.0411999999999999,0,0,0,6,1.5182,3,0.6842,1,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Female",0,9,0,-0.3,-0.991380000000004,0,-9,-1.4,-0.4,3,3,3,4,3,3,4,3,3,2,3,3,3,4,4,1,2,2,2,2,2,7,6,NA,6,6,3,2,3,2,2,1,1,0,10,"Continuing-Gen Cruiser","non_FASt_1_11"
0,8,1.3836,7,5,-1.0412,1,1,1,4,-0.4818,2,-0.3158,0,"White","Off-campus (rent/apartment)","Male",0,8,0,-0.4,-1.09138,0,2,-0.3,0.7,2,1,2,4,2,3,3,2,2,2,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,2,2,1,2,3,1,2,1,13,"White Working-Class Striver","non_FASt_1_11"
1,7,0.3836,7,6,-0.0411999999999999,0,0,1,4,-0.4818,2,-0.3158,0,"Asian","With family (commuting)","Male",0,2,0,-1,-1.69138,0,-1,-0.6,0.4,3,3,3,3,4,4,3,3,2,2,3,2,2,2,3,NA,4,4,4,4,3,6,7,6,6,6,2,2,1,1,4,1,1,0,3,"Asian High-Pressure Achiever","non_FASt_1_11"
0,6,-0.6164,7,5,-1.0412,1,0,0,3,-1.4818,3,0.6842,0,"Hispanic/Latino","With family (commuting)","Female",1,8,0,-0.4,-1.09138,0,6,0.1,1.1,3,2,3,3,3,3,4,3,3,3,3,2,3,3,3,4,4,4,4,4,5,6,7,6,6,6,3,3,2,3,5,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,5,-1.6164,6,5,-1.0412,1,0,0,5,0.5182,2,-0.3158,1,"Hispanic/Latino","With family (commuting)","Female",1,20,1,0.8,0.108619999999996,0.108619999999996,-12,-1.7,-0.7,3,3,3,3,3,3,3,2,3,3,2,3,3,4,4,4,4,5,5,4,4,5,5,5,5,5,2,3,2,3,6,2,6,1,1,"Latina Commuter Caretaker","FASt_12plus"
0,5,-1.6164,7,7,0.9588,0,1,0,4,-0.4818,2,-0.3158,0,"Other/Multiracial/Unknown","With family (commuting)","Male",0,11,0,-0.1,-0.791380000000004,0,3,-0.2,0.8,3,2,2,3,3,3,3,3,2,3,2,2,2,4,4,5,5,4,4,4,4,6,6,7,6,5,2,2,2,2,7,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11"
1,5,-1.6164,7,6,-0.0411999999999999,1,0,0,6,1.5182,4,1.6842,1,"White","Off-campus (rent/apartment)","Female",0,10,0,-0.2,-0.891380000000005,0,-8,-1.3,-0.3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,2,5,5,4,5,4,4,4,1,3,8,1,1,0,13,"White Working-Class Striver","non_FASt_1_11"
1,7,0.3836,7,8,1.9588,1,0,0,3,-1.4818,2,-0.3158,0,"Hispanic/Latino","With family (commuting)","Male",0,0,0,-1.2,-1.89138,0,-1,-0.6,0.4,1,1,1,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,4,4,4,5,4,4,5,2,2,3,2,9,0,2,1,2,"Latino First-Gen Striver","non_DE"
1,7,0.3836,7,5,-1.0412,1,1,1,6,1.5182,1,-1.3158,1,"Hispanic/Latino","With family (commuting)","Male",1,80,1,6.8,6.10862,6.10862,8,0.3,1.3,4,4,4,2,3,3,3,3,2,2,3,3,2,4,4,3,3,4,3,3,3,7,7,7,NA,7,1,3,2,2,10,2,6,1,2,"Latino First-Gen Striver","FASt_12plus"
1,6,-0.6164,7,5,-1.0412,1,0,0,5,0.5182,3,0.6842,1,"Hispanic/Latino","With family (commuting)","Male",0,5,0,-0.7,-1.39138,0,22,1.7,2.7,3,4,4,3,2,3,3,3,3,3,3,3,4,2,2,4,4,5,5,5,5,6,6,6,6,NA,3,2,3,1,11,1,1,0,2,"Latino First-Gen Striver","non_FASt_1_11"
