lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.686603827836145	0.872976990467141	0.872976990467141
Belong	=~	sbmyself		0.996096307642427	0.0129943189226444	76.6562921513795	0	0.68392353772074	0.84464107020182	0.84464107020182
Belong	=~	sbcommunity		1.00784120473395	0.0122559910745221	82.2325341627462	0	0.691987629021324	0.892934371484637	0.892934371484637
Gains	=~	pganalyze		1	0	NA	NA	0.517310021414457	0.723471152737561	0.723471152737561
Gains	=~	pgthink		1.00227699042545	0.0198584022914659	50.4711796908343	0	0.518487931380208	0.779195023776089	0.779195023776089
Gains	=~	pgwork		0.990268056958656	0.0202617659934779	48.8737288387111	0	0.512275589751335	0.747680431733832	0.747680431733832
Gains	=~	pgvalues		0.976388217261632	0.0214702730294853	45.4762832275467	0	0.505095409580439	0.693788855772954	0.693788855772954
Gains	=~	pgprobsolve		0.997983203914237	0.020088887188316	49.6783716568769	0	0.516266712588142	0.762555811502862	0.762555811502862
SupportEnv	=~	SEacademic		1	0	NA	NA	0.640186671000188	0.845137680903453	0.845137680903453
SupportEnv	=~	SEwellness		0.988948880166394	0.0138171643364357	71.573939202456	0	0.633111891383087	0.82972717610254	0.82972717610254
SupportEnv	=~	SEnonacad		0.982204849688801	0.0149289172128582	65.7921023798588	0	0.628794452962513	0.785434940112974	0.785434940112974
SupportEnv	=~	SEactivities		0.976816969775923	0.0154134310197039	63.3744017491759	0	0.625345204057339	0.763976564177579	0.763976564177579
SupportEnv	=~	SEdiverse		0.978626574828943	0.0144309874722829	67.8142487968035	0	0.626503689092057	0.800228601801755	0.800228601801755
Satisf	=~	sameinst		1	0	NA	NA	0.592998229879356	0.878262620537272	0.878262620537272
Satisf	=~	evalexp		1.00400304342503	0.0204539752237288	49.0859616501483	0	0.595372027544531	0.864206487668522	0.864206487668522
DevAdj	=~	Belong		1	0	NA	NA	0.537796251530782	0.537796251530782	0.537796251530782
DevAdj	=~	Gains		0.441972448970209	0.0256744235281942	17.2145033163007	0	0.315477432157206	0.315477432157206	0.315477432157206
DevAdj	=~	SupportEnv		0.983211297219613	0.0362877199886651	27.0948766559798	0	0.567105975591965	0.567105975591965	0.567105975591965
DevAdj	=~	Satisf		0.956509366378255	0.0351164492457206	27.2382141965796	0	0.595607038420241	0.595607038420241	0.595607038420241
EmoDiss	=~	MHWdacad		1	0	NA	NA	1.07865052960672	0.916061742156713	0.916061742156713
EmoDiss	=~	MHWdlonely		1.00900467064042	0.00883222155173813	114.241322495115	0	1.08836342236194	0.935005303298072	0.935005303298072
EmoDiss	=~	MHWdmental		1.01564265640987	0.00833306585619362	121.881030815925	0	1.09552348922768	0.95212733987312	0.95212733987312
EmoDiss	=~	MHWdexhaust		1.0180612774137	0.00856666047778873	118.839923684765	0	1.09813233605438	0.942759012614968	0.942759012614968
EmoDiss	=~	MHWdsleep		1.00418080117328	0.00896123934570081	112.058250252521	0	1.08316015300646	0.926516029255873	0.926516029255873
EmoDiss	=~	MHWdfinancial		1.00264046995046	0.0105217850055662	95.2918605940007	0	1.08149867391719	0.876047721987966	0.876047721987966
QualEngag	=~	QIadmin		1	0	NA	NA	1.03392424543584	0.897799523367994	0.897799523367994
QualEngag	=~	QIstudent		1.0055705017233	0.009976751841815	100.791371547271	0	1.03968372222679	0.910710417830304	0.910710417830304
QualEngag	=~	QIadvisor		1.0128244968265	0.00959112857112229	105.60013759757	0	1.04718380364027	0.92790595357556	0.92790595357556
QualEngag	=~	QIfaculty		1.00677973369596	0.00923384272102729	109.031501197581	0	1.04093397648169	0.937892171704815	0.937892171704815
QualEngag	=~	QIstaff		1.00251856927787	0.00952600931034835	105.240141660244	0	1.03652825527603	0.926081200963611	0.926081200963611
EmoDiss	~	x_FASt	a1	0.132232433348483	0.0369911586596539	3.57470374380861	0.000350624685499845	0.122590616440615	0.060985592490367	0.122590616440615
EmoDiss	~	XZ_c	a1z	-0.00158295424434631	0.0133633884575725	-0.118454555846524	0.905707500693347	-0.00146753206983866	-0.00206968860752855	-0.00146753206983866
EmoDiss	~	cohort	g1	0.000489365188236542	0.0299665067120288	0.0163304049063586	0.986970801165202	0.000453682796053479	0.000226809383909575	0.000453682796053479
EmoDiss	~	hgrades_c		-0.0555884482006616	0.0163360080935362	-3.40281713147881	0.000666949036945086	-0.051535179073179	-0.0492815113928164	-0.051535179073179
EmoDiss	~	bparented_c		0.00260908827993979	0.0155060799319154	0.168262274630072	0.866376951155065	0.00241884485134502	0.0023445364921137	0.00241884485134502
EmoDiss	~	pell		0.507578590948217	0.0317973523454538	15.962919976285	0	0.470568156243601	0.231628139778305	0.470568156243601
EmoDiss	~	hapcl		-0.0489960681034674	0.0352594168258889	-1.38958815868708	0.164653973547014	-0.0454234868093298	-0.0200565573576396	-0.0454234868093298
EmoDiss	~	hprecalc13		-0.0934589131463244	0.0314344268185554	-2.97313877188804	0.00294771146387518	-0.0866442935696699	-0.0417804461612592	-0.0866442935696699
EmoDiss	~	hchallenge_c		-0.00538658551699016	0.0122929035153018	-0.438186593613554	0.661251026135673	-0.00499381900730549	-0.00608358821064678	-0.00499381900730549
EmoDiss	~	cSFcareer_c		-0.00164952990973475	0.0183420678523326	-0.0899315127942335	0.928341639017209	-0.00152925332576083	-0.00124844626250963	-0.00152925332576083
QualEngag	~	x_FASt	a2	-0.0135636027949712	0.0355107332826541	-0.38195783474842	0.702492640638484	-0.0131185653638035	-0.00652613963910295	-0.0131185653638035
QualEngag	~	XZ_c	a2z	-0.0114627132593899	0.012832693982623	-0.893242936745149	0.371727089138022	-0.0110866084338297	-0.0156356563806814	-0.0110866084338297
