lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.872976990467141	0.00464194065293171	188.06293654698	0	0.863878953969022	0.882075026965259
Belong	=~	sbmyself		0.84464107020182	0.00509861747460357	165.660804013836	0	0.83464796358065	0.854634176822989
Belong	=~	sbcommunity		0.892934371484637	0.00434455160606869	205.529696145706	0	0.884419206807767	0.901449536161507
Gains	=~	pganalyze		0.723471152737561	0.00810169834174172	89.2987028423509	0	0.707592115774139	0.739350189700982
Gains	=~	pgthink		0.779195023776089	0.00709870823075771	109.765748703397	0	0.765281811307046	0.793108236245132
Gains	=~	pgwork		0.747680431733832	0.00766486621107196	97.5464425789717	0	0.732657570013813	0.762703293453851
Gains	=~	pgvalues		0.693788855772954	0.00863007982868755	80.3919395353339	0	0.676874210125021	0.710703501420887
Gains	=~	pgprobsolve		0.762555811502862	0.00739640592499812	103.098155947012	0	0.748059122274827	0.777052500730897
SupportEnv	=~	SEacademic		0.845137680903453	0.0050163860624061	168.475406475809	0	0.835305744888589	0.854969616918318
SupportEnv	=~	SEwellness		0.82972717610254	0.00532383959528686	155.851272611047	0	0.819292642236309	0.84016170996877
SupportEnv	=~	SEnonacad		0.785434940112974	0.00622348842574447	126.204933050714	0	0.773237126940313	0.797632753285635
SupportEnv	=~	SEactivities		0.763976564177579	0.00665000800687654	114.883555536712	0	0.750942787987198	0.77701034036796
SupportEnv	=~	SEdiverse		0.800228601801755	0.00592123340908065	135.145593243216	0	0.788623197575901	0.811834006027608
Satisf	=~	sameinst		0.878262620537272	0.00859512894845055	102.181436230296	0	0.861416477355831	0.895108763718713
Satisf	=~	evalexp		0.864206487668522	0.00859655900993608	100.52934978631	0	0.847357541618074	0.88105543371897
DevAdj	=~	Belong		0.537796251530782	0.0129735351457655	41.4533313771704	0	0.512368589892918	0.563223913168647
DevAdj	=~	Gains		0.315477432157206	0.0150185631419903	21.0058331928682	0	0.286041589299365	0.344913275015048
DevAdj	=~	SupportEnv		0.567105975591965	0.0126189833243827	44.9407025125543	0	0.542373222754663	0.591838728429266
DevAdj	=~	Satisf		0.595607038420241	0.0126832799950794	46.9600165455082	0	0.570748266424048	0.620465810416434
