cohort,hgrades,bparented,bparented_c,pell,hapcl,hprecalc13,hchallenge,hchallenge_c,cSFcareer,cSFcareer_c,firstgen,re_all,living18,sex,trnsfr_cr,x_FASt,credit_dose,credit_dose_c,XZ_c,EmoDiss,QualEngag,DevAdj,sbmyself,sbvalued,sbcommunity,pgthink,pganalyze,pgwork,pgvalues,pgprobsolve,SEwellness,SEnonacad,SEactivities,SEacademic,SEdiverse,evalexp,sameinst,MHWdacad,MHWdlonely,MHWdmental,MHWdexhaust,MHWdsleep,MHWdfinancial,QIstudent,QIadvisor,QIfaculty,QIstaff,QIadmin,SFcareer,SFotherwork,SFdiscuss,SFperform
0,5,3.8245375234301093,0.977876724233858,1,0,0,2.463221106872633,-0.5309993309240735,2.8250292394614216,-0.36628054833283485,1,Hispanic/Latino,Off-campus (rent/apartment),Man,5,0,-0.7,-0.4460333333333333,-0.0,,,,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,4,3,3,6,5,5,6,6,3,3,2,3
0,7,2.826338846701786,-0.020321952494465556,0,0,0,1.7435092090271072,-1.2507112287695992,2.998939953834657,-0.1923698339595994,0,Hispanic/Latino,With family (commuting),Woman,3,0,-0.9,-0.6460333333333333,-0.0,,,,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,3,3,5,5,6,4,5,3,3,3,2
1,7,1.779585389727276,-1.0670754094689754,1,0,0,3.731865830056964,0.7376453922602577,3.3409772107827833,0.14966742298852687,1,Hispanic/Latino,Off-campus (rent/apartment),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,4,2,2,3,3,3,2,3,3,3,2,3,2,2,3,2,2,2,3,1,2,5,6,6,5,6,2,2,2,3
1,7,2.6346745973391466,-0.21198620185710482,0,0,0,3.1158938707667283,0.12167343297002198,4.061881919732905,0.8705721319386481,1,Hispanic/Latino,With family (commuting),Man,7,0,-0.5,-0.24603333333333333,-0.0,,,,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,1,2,3,2,3,2,5,4,5,5,4,2,3,3,2
0,8,6.13845586899776,3.291795069801509,0,1,0,1.8967895052255432,-1.097430932571163,3.282712829251963,0.09140304145770672,0,Hispanic/Latino,With family (commuting),Man,12,1,0.0,0.2539666666666667,0.2539666666666667,,,,3,2,2,2,3,3,3,3,3,3,2,2,2,3,3,3,2,2,3,3,3,5,4,5,4,4,2,3,3,2
1,7,1.8045929285257105,-1.0420678706705409,1,1,0,3.875816929367332,0.8815964915706256,3.3577583822997212,0.1664485945054648,1,Hispanic/Latino,Off-campus (rent/apartment),Man,23,1,1.1,1.3539666666666668,1.3539666666666668,,,,3,3,3,3,3,2,3,3,4,3,3,4,2,3,3,2,3,2,3,3,3,6,5,6,5,4,3,3,3,2
1,4,5.107676421032582,2.2610156218363304,0,0,0,2.328016814662536,-0.6662036231341704,2.1294450855317355,-1.061864702262521,0,Other/Multiracial/Unknown,Off-campus (rent/apartment),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,4,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,2,2,2,1,6,4,4,4,4,3,3,2,3
0,7,4.208488096220587,1.3618272970243357,1,0,1,1.8087226814155042,-1.1854977563812021,2.0754204584685194,-1.115889329325737,0,Hispanic/Latino,On-campus (residence hall),Woman,5,0,-0.7,-0.4460333333333333,-0.0,,,,4,4,2,3,3,3,3,3,3,1,3,3,3,3,2,2,2,1,2,3,2,5,5,5,6,3,3,3,3,3
1,7,1.6400295483816496,-1.2066312508146018,1,0,0,1.8961593179722576,-1.0980611198244488,4.125036301821473,0.9337265140272168,1,Black/African American,With family (commuting),Woman,24,1,1.2,1.4539666666666666,1.4539666666666666,,,,2,2,3,1,2,2,2,3,2,2,2,2,3,2,2,3,2,2,3,2,2,5,4,6,3,4,2,2,2,2
0,6,4.006688464848151,1.1600276656518993,1,0,1,1.8093243682366558,-1.1848960695600506,4.38086662037371,1.1895568325794534,0,White,With family (commuting),Man,4,0,-0.8,-0.5460333333333334,-0.0,,,,3,3,3,3,4,3,3,3,3,2,3,3,3,4,3,4,3,3,2,3,1,5,4,5,4,3,3,3,3,3
