cohort,hgrades,hgrades_c,Cgrades,bparented,bparented_c,pell,hapcl,hprecalc13,hchallenge,hchallenge_c,cSFcareer,cSFcareer_c,firstgen,re_all,living18,sex,StemMaj,trnsfr_cr,x_FASt,credit_dose,credit_dose_c,XZ_c,r,r_minus,r_plus,sbmyself,sbvalued,sbcommunity,pgthink,pganalyze,pgwork,pgvalues,pgprobsolve,SEwellness,SEnonacad,SEactivities,SEacademic,SEdiverse,evalexp,sameinst,MHWdacad,MHWdlonely,MHWdmental,MHWdexhaust,MHWdsleep,MHWdfinancial,QIstudent,QIadvisor,QIfaculty,QIstaff,QIadmin,SFcareer,SFotherwork,SFdiscuss,SFperform,id,DE_group_temp,hdc17,DC_student
1,6,-0.6163999999999996,7,5,-1.0412,1,0,1,5,0.5182000000000002,1,-1.3157999999999999,1,Asian,With family (commuting),Male,0,3,0,0.0,-1.0654885001324295,-0.0,33,2.8,3.8,3,2,2,3,4,3,3,4,2,3,2,2,1,2,2,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,1,4,2,2,1,1,1,0
0,8,1.3836000000000004,7,6,-0.0411999999999999,0,0,0,6,1.5182000000000002,3,0.6842000000000001,1,Other/Multiracial/Unknown,Off-campus (rent/apartment),Female,0,9,0,0.0,-1.0654885001324295,-0.0,-9,-1.4,-0.4,3,3,3,4,3,3,4,3,3,2,3,3,3,4,4,1.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,,6.0,6.0,3,2,3,2,2,1,1,0
0,8,1.3836000000000004,7,5,-1.0412,1,1,1,4,-0.4817999999999998,2,-0.31579999999999986,0,White,Off-campus (rent/apartment),Male,0,8,0,0.0,-1.0654885001324295,-0.0,2,-0.3,0.7,2,1,2,4,2,3,3,2,2,2,2,2,2,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,1,2,3,1,2,1
1,7,0.3836000000000004,7,6,-0.0411999999999999,0,0,1,4,-0.4817999999999998,2,-0.31579999999999986,0,Asian,With family (commuting),Male,0,2,0,0.0,-1.0654885001324295,-0.0,-1,-0.6,0.4,3,3,3,3,4,4,3,3,2,2,3,2,2,2,3,,4.0,4.0,4.0,4.0,3.0,6.0,7.0,6.0,6.0,6.0,2,2,1,1,4,1,1,0
0,6,-0.6163999999999996,7,5,-1.0412,1,0,0,3,-1.4817999999999998,3,0.6842000000000001,0,Hispanic/Latino,With family (commuting),Female,1,8,0,0.0,-1.0654885001324295,-0.0,6,0.09999999999999998,1.1,3,2,3,3,3,3,4,3,3,3,3,2,3,3,3,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,6.0,6.0,6.0,3,3,2,3,5,1,3,1
0,5,-1.6163999999999996,6,5,-1.0412,1,0,0,5,0.5182000000000002,2,-0.31579999999999986,1,Hispanic/Latino,With family (commuting),Female,1,20,1,0.89780099186911,-0.16768750826331946,-0.16768750826331946,-12,-1.7,-0.7,3,3,3,3,3,3,3,2,3,3,2,3,3,4,4,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,2,3,2,3,6,2,6,1
0,5,-1.6163999999999996,7,7,0.9588000000000001,0,1,0,4,-0.4817999999999998,2,-0.31579999999999986,0,Other/Multiracial/Unknown,With family (commuting),Male,0,11,0,0.0,-1.0654885001324295,-0.0,3,-0.2,0.8,3,2,2,3,3,3,3,3,2,3,2,2,2,4,4,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0,6.0,5.0,2,2,2,2,7,1,1,0
1,5,-1.6163999999999996,7,6,-0.0411999999999999,1,0,0,6,1.5182000000000002,4,1.6842000000000001,1,White,Off-campus (rent/apartment),Female,0,10,0,0.0,-1.0654885001324295,-0.0,-8,-1.3,-0.30000000000000004,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3.0,3.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,4,4,1,3,8,1,1,0
1,7,0.3836000000000004,7,8,1.9588,1,0,0,3,-1.4817999999999998,2,-0.31579999999999986,0,Hispanic/Latino,With family (commuting),Male,0,0,0,0.0,-1.0654885001324295,-0.0,-1,-0.6,0.4,1,1,1,3,3,3,3,3,2,2,3,2,2,3,3,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2,2,3,2,9,0,2,1
1,7,0.3836000000000004,7,5,-1.0412,1,1,1,6,1.5182000000000002,1,-1.3157999999999999,1,Hispanic/Latino,With family (commuting),Male,1,80,1,6.8,5.734511499867571,5.734511499867571,8,0.30000000000000004,1.3,4,4,4,2,3,3,3,3,2,2,3,3,2,4,4,3.0,3.0,4.0,3.0,3.0,3.0,7.0,7.0,7.0,,7.0,1,3,2,2,10,2,6,1
1,6,-0.6163999999999996,7,5,-1.0412,1,0,0,5,0.5182000000000002,3,0.6842000000000001,1,Hispanic/Latino,With family (commuting),Male,0,5,0,0.0,-1.0654885001324295,-0.0,22,1.7000000000000002,2.7,3,4,4,3,2,3,3,3,3,3,3,3,4,2,2,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,,3,2,3,1,11,1,1,0
0,7,0.3836000000000004,6,6,-0.0411999999999999,1,0,0,5,0.5182000000000002,3,0.6842000000000001,0,Black/African American,On-campus (residence hall),Female,1,11,0,0.0,-1.0654885001324295,-0.0,7,0.19999999999999996,1.2,3,3,3,3,4,3,3,3,2,3,3,3,2,3,3,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,3,2,4,1,12,1,3,1
0,6,-0.6163999999999996,6,6,-0.0411999999999999,1,1,0,4,-0.4817999999999998,2,-0.31579999999999986,0,Hispanic/Latino,On-campus (residence hall),Female,0,42,1,3.0577211395053085,1.992232639372879,1.992232639372879,34,2.9,3.9,2,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,2,3,1,3,13,2,5,1
1,6,-0.6163999999999996,7,7,0.9588000000000001,1,1,0,3,-1.4817999999999998,3,0.6842000000000001,1,Hispanic/Latino,With family (commuting),Male,0,4,0,0.0,-1.0654885001324295,-0.0,-15,-2.0,-1.0,3,3,3,2,3,2,3,2,3,3,3,2,3,4,3,3.0,3.0,,,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3,2,2,1,14,1,2,1
0,7,0.3836000000000004,7,6,-0.0411999999999999,0,1,0,5,0.5182000000000002,1,-1.3157999999999999,0,Asian,With family (commuting),Male,0,80,1,6.8,5.734511499867571,5.734511499867571,-2,-0.7,0.3,3,3,3,3,3,4,3,3,3,2,2,3,3,4,3,3.0,4.0,3.0,3.0,3.0,3.0,7.0,6.0,6.0,6.0,6.0,1,1,3,2,15,2,4,1
1,6,-0.6163999999999996,6,5,-1.0412,0,0,1,1,-3.4818,2,-0.31579999999999986,0,Asian,With family (commuting),Female,0,3,0,0.0,-1.0654885001324295,-0.0,0,-0.5,0.5,4,3,3,3,3,3,4,4,3,4,3,3,4,3,3,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2,2,3,3,16,1,3,1
0,7,0.3836000000000004,7,7,0.9588000000000001,0,1,0,7,2.5182,1,-1.3157999999999999,0,White,On-campus (residence hall),Female,0,62,1,5.057981207497908,3.992492707365478,3.992492707365478,29,2.4,3.4,4,3,4,4,3,4,4,4,3,4,4,3,3,3,4,2.0,2.0,3.0,2.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,1,4,2,3,17,2,6,1
0,8,1.3836000000000004,7,6,-0.0411999999999999,1,0,0,4,-0.4817999999999998,3,0.6842000000000001,1,Asian,With family (commuting),Male,0,54,1,4.218930077979927,3.1534415778474973,3.1534415778474973,-8,-1.3,-0.30000000000000004,2,1,1,3,2,3,3,2,4,4,3,4,4,3,3,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,4.0,4.0,4.0,3,2,2,3,18,2,5,1
1,8,1.3836000000000004,7,8,1.9588,0,1,1,4,-0.4817999999999998,3,0.6842000000000001,0,White,On-campus (residence hall),Female,0,46,1,3.4534786866245852,2.3879901864921558,2.3879901864921558,8,0.30000000000000004,1.3,4,4,4,3,3,4,3,3,4,4,4,4,4,3,3,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,7.0,3,2,3,2,19,2,7,1
